"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"
3114	4056	"Le Fourneau"	48.44444	-0.19167	108	"AWI"	108	10344	11546	10941	0	0	4	0	5	0	12	0	39	2	0	0	0	0	0	2	0	2	0	0	2	3	134	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	35	0	1	0	0	2	4	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	110	"AWI"	110	10510	11894	11270	0	0	0	0	5	0	33	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	83	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	41	0	0	0	0	4	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	112	"AWI"	112	11068	12037	11521	0	0	2	2	3	0	21	0	6	2	0	0	0	0	0	2	0	0	0	2	1	2	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	50	0	0	0	0	5	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	114	"AWI"	114	11376	12276	11810	0	0	1	2	8	0	11	0	3	0	0	0	0	0	0	5	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	49	0	0	2	0	4	1	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	116	"AWI"	116	11534	12540	12030	0	0	3	2	11	0	7	0	6	2	0	0	0	0	0	3	0	0	0	0	1	1	96	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	30	0	1	0	0	3	2	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	118	"AWI"	118	11655	12769	12223	0	0	0	1	2	0	2	0	4	21	0	0	0	0	0	2	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	6	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	120	"AWI"	120	11759	13096	12403	0	0	1	0	2	0	8	0	12	60	0	0	0	0	0	11	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	0	1	0	1	2	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	122	"AWI"	122	11966	13206	12591	0	0	0	0	0	0	2	0	19	76	0	0	0	0	0	7	0	4	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	0	0	1	0	2	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	124	"AWI"	124	12115	13348	12780	0	0	0	2	0	0	3	0	17	18	0	0	0	0	0	10	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	12	0	0	0	0	3	0	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	126	"AWI"	126	12350	13493	12964	0	0	0	0	0	0	4	0	13	37	0	0	0	0	0	2	0	1	0	0	0	2	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	13	0	0	0	1	0	0	0	0	0	0
