"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Violaceae"	"Vitaceae"
16093	24840	"Le Gesvres"	47.27222	-1.59583	450	"AWI"	450	3856	4366	4106	0	2	50	2	3	2	2	0	0	2	0	1	0	0	3	0	0	0	0	0	58	0	0	21	0	2	0	0	0	6	6	0	0	2	0	2	0	0	0	1	0	3	0	3	0	0	1	0	2	2	0	10	0	0	0	1	122	0	0	0	1	0	0	0	2	0	0	3	0	0	0	8	3	1	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	470	"AWI"	470	4280	4915	4599	0	2	109	3	0	2	1	1	0	13	0	0	0	0	3	0	0	0	0	0	25	0	0	5	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	1	0	9	0	1	0	0	0	0	4	0	0	17	0	0	0	1	109	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	490	"AWI"	490	4536	5062	4802	0	0	53	2	4	1	2	0	0	17	0	0	0	0	2	0	0	0	0	0	20	0	0	8	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	34	0	0	0	0	143	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	2	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	500	"AWI"	500	4661	5137	4903	2	0	142	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	12	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	25	0	0	0	0	82	0	0	0	0	0	0	0	4	0	0	0	0	0	0	10	1	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	510	"AWI"	510	4786	5216	5004	0	0	90	2	0	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	13	0	0	25	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	1	10	0	1	0	0	0	0	5	0	0	21	0	0	0	0	110	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	530	"AWI"	530	5025	5392	5206	1	1	70	2	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	16	0	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	33	0	0	0	1	130	0	0	0	0	0	0	0	11	2	0	0	0	0	0	9	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	540	"AWI"	540	5135	5484	5305	1	1	130	3	5	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	0	0	26	0	4	0	0	0	0	3	0	0	0	0	0	1	0	0	4	1	4	0	0	0	0	0	0	1	2	0	25	0	0	5	1	120	0	0	0	0	0	0	0	11	0	0	3	0	0	2	15	3	3	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	560	"AWI"	560	5338	5690	5502	2	0	180	0	5	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	10	0	0	3	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	9	0	0	0	0	62	0	0	0	0	0	1	0	5	0	0	0	0	0	0	7	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	570	"AWI"	570	5425	5798	5603	0	0	152	3	0	2	2	0	0	3	0	0	0	0	1	0	0	0	0	0	30	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	2	1	0	2	0	0	0	1	114	0	0	0	2	0	0	0	10	0	0	0	0	0	0	12	3	2	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	580	"AWI"	580	5509	5914	5703	0	1	144	0	2	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	1	106	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	3	0	0	0
