"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	119	"AWI"	119	1779	2109	1915	0	0	0	0	0	0	0	0.265957446808511	0	0.265957446808511	0	0	0	0	0	0.265957446808511	0	1.32978723404255	0	0	0	0	0	0.265957446808511	0	0	0	0.531914893617021	0	0	0	94.6808510638298	0	0	0	0	0	1.59574468085106	0.265957446808511	0	0	0	0	0.265957446808511	0	0	0.265957446808511	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	124	"AWI"	124	1834	2204	1991	0	0	0	0	1.42450142450142	0	0	0	0	0	0.284900284900285	0	0	0	0	0.284900284900285	0	2.84900284900285	0	0	0	0	0	0.284900284900285	0	0	0	0	0	0	0	90.5982905982906	0	0	0	0	0	2.27920227920228	0	0.854700854700855	0	0	0	0.56980056980057	0.56980056980057	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	128	"AWI"	128	1871	2261	2057	0.279329608938547	0	0	0	0.837988826815642	0	0	0	0	0	0	0	0	0	0	0.279329608938547	0	2.51396648044693	0	0	0	0	0	0.279329608938547	0	0	0	0.558659217877095	0	0	0	90.7821229050279	0	0	0	0	0	2.51396648044693	0.279329608938547	0.279329608938547	0	0	0.279329608938547	0.279329608938547	0.837988826815642	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	132	"AWI"	132	1917	2335	2117	0	0	0	0	0.611620795107034	0	0	0.305810397553517	0	0.305810397553517	0.305810397553517	0	0	0	0	1.8348623853211	0	1.8348623853211	0	0	0	0	0	1.22324159021407	0	0	0	0.611620795107034	0	0.305810397553517	0	88.0733944954129	0	0	0	0	0	3.05810397553517	0.305810397553517	0	0	0	0.305810397553517	0.305810397553517	0.611620795107034	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	136	"AWI"	136	1999	2386	2179	0	0	0	0	0.600600600600601	0	0	0.3003003003003	0	0	0	0	0	0	0	0.600600600600601	0	2.1021021021021	0	0	0	0	0	0.600600600600601	0	0	0	0	0	0	0	90.990990990991	0	0	0	0	0	3.6036036036036	0.3003003003003	0	0	0	0	0.600600600600601	0	0	0	0.3003003003003	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	138	"AWI"	138	2026	2419	2214	0	0.316455696202532	0	0	0.949367088607595	0	0	0.316455696202532	0	0	0	0	0	0	0	0.632911392405063	0	0.316455696202532	0	0	0	0	0	0.316455696202532	0	0	0	0.316455696202532	0	0.316455696202532	0	90.5063291139241	0	0	0.316455696202532	0	0	3.16455696202532	1.26582278481013	0.632911392405063	0	0	0.632911392405063	0	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	140	"AWI"	140	2050	2463	2248	0	0	0	0	0.335570469798658	0	0	0	0	0	0	0	0	0	0	0	0.335570469798658	2.68456375838926	0	0	0	0	0.335570469798658	0	0	0	0	0	0	0	0	90.2684563758389	0	0	0	0	0	5.03355704697987	0.335570469798658	0	0	0	0.335570469798658	0	0.335570469798658	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	142	"AWI"	142	2096	2505	2281	0	0	0	0	0.65359477124183	0	0	0	0	0	0	0	0	0	0	1.63398692810458	0	1.96078431372549	0	0	0	0	0	0.65359477124183	0.326797385620915	0	0	0	0	0	0	89.2156862745098	0	0	0	0	0	3.92156862745098	0.65359477124183	0	0	0	0.326797385620915	0.65359477124183	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	144	"AWI"	144	2148	2559	2315	0	0.341296928327645	0	0	0.68259385665529	0	0	0	0	0.341296928327645	0	0	0	0	0	0.341296928327645	0	2.73037542662116	0	0	0	0	0	0	0	0	0	0.68259385665529	0	0	0	89.7610921501707	0	0	0	0	0	3.7542662116041	0	0	0	0	1.02389078498294	0.341296928327645	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	146	"AWI"	146	2183	2610	2351	0	0	0	0	2.52707581227437	0	0	0.36101083032491	0	0	0	0	0	0	0	2.16606498194946	0	4.69314079422383	0	0	0	0	0	0	0.36101083032491	0	0	1.44404332129964	0	0	0	81.5884476534296	0	0	0	0.36101083032491	0	5.41516245487365	0	0	0	0	0.36101083032491	0	0	0	0	0.72202166064982	0	0	0
