"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acanthaceae"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Aristolochiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Datiscaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Malvaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Punica"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Tamarix"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Zygophyllaceae"
3187	4143	"Kaz Gölü"	40.28333	36.15	480	"AWI"	480	2428	4227	3097	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	9	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	120	"AWI"	120	216	1176	608	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	28	0	3	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	455	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	750	"AWI"	750	5547	8237	6965	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	3	0	0	1	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	100	"AWI"	100	141	1041	488	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	126	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1039	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	430	"AWI"	430	2120	3032	2449	1	1	0	0	1	0	0	0	0	69	0	0	1	0	0	0	0	0	0	1	2	0	0	4	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	850	"AWI"	850	7106	9318	8398	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	122	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	910	"AWI"	910	8270	9845	9239	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	28	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	460	"AWI"	460	2316	3677	2837	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	0	0	3	0	19	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	285	"AWI"	285	1038	2173	1586	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	2	0	1	0	0	0	2	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	1	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	135	"AWI"	135	280	1269	695	1	0	0	0	12	0	0	0	0	31	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	13	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	520	"AWI"	520	2767	4925	3655	0	0	1	0	2	0	0	0	0	178	0	0	2	0	0	0	0	0	0	2	1	0	0	27	0	130	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	770	"AWI"	770	5828	8475	7252	1	0	0	0	1	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	52	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
3187	4143	"Kaz Gölü"	40.28333	36.15	85	"AWI"	85	92	923	405	0	0	0	0	0	0	0	0	0	27	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	68	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	44	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
