"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Pyrus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14635	22955	"Tlstá hora"	48.89417	17.88861	140	"AWI"	140	1115	2220	1602	0	24	113	1	2	0	12	0	28	0	2	0	0	0	0	1	13	24	0	0	0	107	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	29	0	0	0	0	0	0	0	63	0	0	1	0	7	0	0	0	0	0	0	18	3	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	150	"AWI"	150	1208	2403	1776	3	21	109	1	1	1	6	0	13	0	5	0	0	0	0	0	5	32	0	0	0	124	0	6	0	0	1	0	0	0	0	0	0	0	0	8	4	43	0	0	0	0	0	0	0	45	0	0	2	0	0	0	0	0	0	0	0	15	7	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	160	"AWI"	160	1374	2530	1941	2	23	80	2	3	1	11	0	21	0	4	0	0	0	0	0	9	22	0	0	0	77	1	4	0	0	3	7	0	0	0	0	0	0	0	10	5	38	0	0	0	0	1	4	0	82	0	0	0	0	9	5	0	0	0	1	0	11	11	0	1	0
14635	22955	"Tlstá hora"	48.89417	17.88861	170	"AWI"	170	1494	2698	2109	3	17	68	5	3	0	4	0	12	0	2	0	0	0	0	0	8	19	0	0	0	93	0	4	0	0	0	2	0	0	0	0	0	0	0	13	3	97	0	0	0	0	1	4	0	60	0	0	1	0	9	1	0	1	0	1	0	11	5	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	180	"AWI"	180	1681	2810	2275	16	2	129	1	0	0	12	0	13	0	4	0	0	0	0	0	10	26	0	0	0	57	0	6	0	0	2	0	2	0	0	0	0	0	4	22	16	136	0	0	0	0	0	0	0	49	0	0	1	0	28	1	0	0	0	0	0	5	9	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	191	"AWI"	191	1853	2974	2461	10	1	47	3	2	0	11	0	9	0	3	0	0	0	0	0	22	15	0	0	0	80	0	2	0	0	0	0	0	0	0	0	1	0	0	11	8	149	0	0	0	0	0	1	0	26	0	0	2	0	16	1	0	0	0	1	0	14	9	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	200	"AWI"	200	2117	3055	2605	7	6	31	5	1	0	6	0	11	0	2	0	0	0	0	0	8	6	0	0	0	101	0	1	0	1	0	0	2	0	0	0	0	0	0	7	6	93	0	0	0	0	0	2	0	25	0	0	2	0	5	4	0	0	0	1	0	9	2	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	210	"AWI"	210	2324	3210	2775	5	9	13	3	1	0	4	0	11	0	5	0	0	0	0	1	7	12	0	0	0	172	0	2	0	0	0	0	0	0	0	0	0	0	0	15	12	62	0	0	0	0	0	0	0	60	0	0	2	0	5	2	0	0	0	1	1	30	4	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	220	"AWI"	220	2717	3378	2996	2	7	15	5	0	1	2	0	5	0	3	0	0	0	0	0	7	5	0	0	0	242	0	4	0	0	0	0	0	0	0	0	0	0	0	1	9	48	0	0	0	0	0	4	0	44	0	0	0	0	3	0	0	0	0	0	0	34	5	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	230	"AWI"	230	2888	3750	3241	7	6	17	1	3	0	2	0	6	0	1	0	0	0	0	0	4	2	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	60	0	0	0	0	0	0	0	41	0	0	0	0	1	2	0	1	0	0	0	54	5	0	0	0
