"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
16298	25273	"Lac du Lauzon"	44.67528	5.79333	304	"AWI"	304	4477	5216	4885	34	0	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	78	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	60	0	0	15	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	309	"AWI"	309	4608	5304	5004	50	1	24	2	10	0	3	0	1	0	0	1	0	0	1	1	13	0	50	0	0	0	1	12	0	2	0	0	0	1	1	3	0	0	0	0	0	75	0	0	43	0	0	28	2	2	1	0	0	0	0	3	0	0	3	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	314	"AWI"	314	4728	5371	5123	85	1	18	2	5	0	1	0	2	1	0	1	0	0	3	1	15	0	30	0	0	0	0	17	2	5	0	0	0	0	0	2	0	0	0	0	0	89	0	0	0	0	0	31	0	0	0	4	0	0	0	0	0	1	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	319	"AWI"	319	4936	5422	5229	78	3	15	1	11	0	0	0	3	1	0	0	0	0	0	1	28	0	33	0	0	0	0	2	0	6	0	0	0	0	1	1	0	0	1	0	0	63	0	0	45	0	0	20	5	2	1	8	0	0	1	1	2	5	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	324	"AWI"	324	5086	5502	5334	258	1	2	1	2	0	1	0	0	0	0	0	1	2	1	1	1	0	54	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	9	1	0	0	1	0	0	0	0	1	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	329	"AWI"	329	5182	5601	5437	262	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	23	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	255	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	334	"AWI"	334	5290	5760	5533	324	0	1	0	1	0	2	0	0	1	0	0	0	0	1	1	1	0	58	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	0	0	1	276	0	0	0	0	0	14	1	0	1	1	0	0	0	0	0	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	339	"AWI"	339	5372	5962	5622	151	1	11	0	5	0	1	0	0	1	0	0	0	0	0	1	15	0	13	0	0	0	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	85	0	0	0	0	0	21	5	0	0	1	0	0	0	1	1	2	3	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	344	"AWI"	344	5435	6122	5726	263	1	6	1	4	1	0	0	0	0	0	0	0	0	1	1	6	0	16	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	155	0	0	0	0	0	9	1	0	0	0	0	0	0	1	0	1	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	349	"AWI"	349	5516	6245	5828	298	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	10	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	178	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	3	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	354	"AWI"	354	5584	6393	5930	227	0	3	1	4	0	1	0	3	1	0	0	0	0	0	6	1	0	80	0	0	0	0	3	0	0	0	2	0	1	1	1	0	1	0	0	1	111	0	0	0	0	1	9	1	3	0	0	0	0	0	0	2	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	359	"AWI"	359	5653	6513	6037	212	0	6	0	3	0	1	0	0	0	0	0	0	0	0	0	9	0	14	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	74	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	6	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	364	"AWI"	364	5734	6627	6144	165	0	8	1	0	1	2	0	0	0	0	1	1	0	1	0	3	0	53	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	181	0	0	0	0	2	7	0	0	0	3	0	1	1	1	1	2	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	369	"AWI"	369	5818	6756	6253	94	2	14	0	3	0	3	0	1	2	0	1	0	0	2	2	9	0	37	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	70	0	0	0	0	0	25	5	0	0	3	0	0	0	1	2	7	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	374	"AWI"	374	5897	6871	6354	332	1	6	1	1	0	4	0	0	3	0	0	0	0	2	4	7	0	78	0	0	0	0	1	0	3	0	0	0	0	3	1	0	0	0	0	0	328	0	0	19	0	0	21	6	0	0	1	0	0	0	1	2	2	0	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	379	"AWI"	379	5996	6963	6459	129	0	11	0	5	0	3	0	0	1	0	0	0	0	1	0	17	0	28	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	9	2	0	0	4	0	0	0	0	2	6	1	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	384	"AWI"	384	6083	7069	6563	197	0	0	0	1	0	1	0	1	1	0	0	0	0	2	2	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	188	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	389	"AWI"	389	6180	7166	6670	150	2	13	2	5	0	4	0	2	0	0	2	0	0	1	0	15	0	29	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	117	0	3	0	0	0	7	2	0	1	0	1	0	0	0	0	5	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	394	"AWI"	394	6274	7264	6773	455	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
