"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3445	4461	"Saint-Thomas"	47.26861	-1.75	265	"AWI"	265	3933	4995	4517	0	0	152	0	0	2	0	0	2	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	270	"AWI"	270	3980	5102	4588	0	0	163	1	0	2	1	0	5	0	0	0	0	0	1	0	15	5	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	275	"AWI"	275	4123	5127	4651	0	0	216	2	1	1	0	0	2	0	0	0	0	0	0	0	9	10	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	280	"AWI"	280	4253	5148	4713	0	0	192	1	0	5	0	0	4	0	0	0	0	0	0	0	8	7	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	41	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	285	"AWI"	285	4359	5175	4778	0	1	184	2	0	5	0	0	2	1	1	0	0	0	0	0	12	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	290	"AWI"	290	4458	5210	4844	0	0	210	0	1	3	0	0	2	0	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	295	"AWI"	295	4534	5255	4910	0	0	198	2	1	5	0	0	2	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	300	"AWI"	300	4597	5328	4977	0	0	193	1	0	2	1	0	4	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	305	"AWI"	305	4653	5406	5039	0	0	201	0	0	3	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	1	0	0	0	0	6	1	1	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	315	"AWI"	315	4750	5527	5152	0	1	204	0	0	2	0	0	7	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	320	"AWI"	320	4797	5625	5206	0	0	233	2	0	1	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	325	"AWI"	325	4834	5756	5256	0	0	240	0	0	2	1	0	4	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	330	"AWI"	330	4864	5892	5303	0	0	191	2	2	3	0	0	2	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	335	"AWI"	335	4886	6026	5348	0	0	181	2	1	2	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	67	0	0	0	0	1	0	1	0	0	0	0	16	2	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	340	"AWI"	340	4935	6104	5397	0	0	180	1	2	4	0	0	1	0	0	0	0	0	0	0	15	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	69	0	0	0	0	1	0	7	0	0	0	0	12	0	0	0
