"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	200	"AWI"	200	8215	9343	8768	0	4	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	94	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	14	0	0	0	65	2	4	0	0	0	0	2	0	0	0	5	0	8	39	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	205	"AWI"	205	8292	9485	8879	0	4	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	52	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	0	0	0	50	2	9	0	0	0	0	0	0	0	0	0	0	8	47	0	1
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	210	"AWI"	210	8434	9589	8991	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	61	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	24	0	0	0	45	6	3	1	0	0	0	0	0	0	0	1	0	10	45	0	1
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	215	"AWI"	215	8571	9667	9113	2	0	1	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	58	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	33	0	0	0	50	0	6	1	0	0	0	1	0	0	0	0	0	15	28	0	2
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	220	"AWI"	220	8656	9778	9238	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	61	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	46	3	14	0	0	1	0	6	0	0	0	0	0	15	31	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	225	"AWI"	225	8729	9946	9358	1	4	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	61	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	51	2	7	0	0	0	0	5	0	0	0	0	0	12	38	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	230	"AWI"	230	8895	10058	9477	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	46	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	47	2	4	0	0	0	0	9	0	0	0	0	0	14	19	0	1
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	235	"AWI"	235	9089	10117	9602	1	4	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	41	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	37	0	3	0	0	0	0	3	0	0	0	0	0	10	11	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	240	"AWI"	240	9184	10236	9731	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	70	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	80	0	0	0	25	1	7	1	0	0	0	4	0	0	0	0	0	19	17	0	1
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	245	"AWI"	245	9273	10463	9863	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	80	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	162	0	0	0	11	0	0	1	0	1	0	12	0	0	0	0	1	10	22	0	0
