"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cercis"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Loranthaceae"	"Lythraceae"	"Montiaceae"	"Myrtus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	220	"AWI"	220	5517	5824	5684	1	0	0	4	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	205	4	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	211	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	225	"AWI"	225	5606	5860	5742	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	114	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	294	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	235	"AWI"	235	5713	5984	5853	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	105	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	353	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	240	"AWI"	240	5755	6048	5902	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	88	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	432	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	250	"AWI"	250	5843	6156	5998	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	45	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	337	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	260	"AWI"	260	5938	6245	6096	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	470	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	270	"AWI"	270	6056	6325	6197	0	1	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	202	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	151	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	280	"AWI"	280	6185	6401	6292	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	369	4	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	137	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	290	"AWI"	290	6311	6498	6397	0	0	0	5	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	180	0	0	0	0	2	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	188	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	300	"AWI"	300	6389	6630	6503	0	1	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	212	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	305	"AWI"	305	6444	6680	6560	0	0	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	68	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	242	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	310	"AWI"	310	6506	6721	6614	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	550	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	7	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	321	"AWI"	321	6619	6943	6758	1	1	3	4	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	0	0	187	0	0	0	0	6	16	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	186	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	330	"AWI"	330	6719	7113	6887	0	0	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	0	47	3	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	6	0	0	1	0	0	0	17	0	0	1	0	0	0	0	0	1	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	340	"AWI"	340	6828	7341	7043	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	94	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	144	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
