"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	145	"AWI"	145	855	1060	966	0	123	10	0	0	2	0	108	0	0	0	0	0	0	0	76	153	0	0	90	0	0	0	0	0	0	0	0	0	0	30	3	67	5	0	0	0	78	0	0	0	0	0	3	0	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	157	"AWI"	157	930	1138	1039	0	138	4	0	0	1	0	83	0	1	0	0	0	0	0	21	12	0	0	148	0	0	0	0	0	0	0	0	0	0	44	0	12	0	0	0	0	70	0	0	0	0	7	0	1	4	1
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	237	"AWI"	237	1491	1771	1638	0	255	7	0	0	4	0	78	0	0	0	0	0	0	0	73	6	0	0	56	0	0	0	0	0	0	0	3	0	0	15	0	35	0	0	0	0	53	0	0	0	0	1	0	4	4	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	245	"AWI"	245	1544	1842	1697	0	251	6	0	0	3	0	93	0	0	0	0	0	0	0	73	33	0	0	44	0	2	0	0	0	0	0	1	0	0	13	1	27	0	0	0	0	66	0	0	0	0	0	0	0	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	29	"AWI"	29	64	348	200	0	55	14	0	0	2	0	61	0	1	0	0	0	0	0	45	30	0	0	30	0	0	0	0	0	0	0	0	0	0	3	2	76	0	0	0	0	93	0	0	0	0	1	0	0	0	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	353	"AWI"	353	2378	2642	2549	0	205	8	0	0	1	0	217	0	0	0	0	0	0	0	52	13	0	0	12	0	0	0	0	0	0	0	1	0	0	0	2	44	0	43	0	0	13	0	0	0	0	0	0	4	3	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	249	"AWI"	249	1576	1873	1727	0	234	6	0	0	0	0	93	0	0	0	0	0	0	0	93	23	0	0	54	0	0	0	0	0	0	0	0	0	0	16	1	43	0	99	0	0	49	0	0	0	0	1	0	2	8	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	3	"AWI"	3	-94	76	-18	0	44	12	0	0	0	0	152	0	0	0	0	0	0	0	271	11	0	0	5	0	0	0	0	0	0	0	8	0	0	0	10	269	0	235	0	0	16	0	0	0	0	0	0	3	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	265	"AWI"	265	1695	2000	1847	0	179	9	1	0	0	0	105	0	0	0	0	0	0	0	91	20	0	0	81	0	0	0	0	0	0	0	0	0	0	1	3	63	0	0	0	0	22	0	0	0	1	0	1	4	1	0
27230	48658	"Sehestedter Aussendeichsmoor"	53.438402	8.306488	365	"AWI"	365	2475	2742	2665	0	229	9	1	0	1	0	115	0	1	0	0	0	0	0	74	300	0	0	18	0	1	0	0	0	0	0	0	0	0	0	2	39	0	0	0	0	91	0	0	0	0	1	0	1	4	0
