"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Staphylea"	"Syringa"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14630	22944	"Woryty"	53.7525	20.206322	201	"AWI"	201	3641	4153	3859	2	1	223	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	2	1	17	0	0	0	0	0	0	0	0	0	0	0	0	44	0	3	0	0	0	0	9	0	0	80	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	17	8	0	1	0	0
14630	22944	"Woryty"	53.7525	20.206322	205	"AWI"	205	3692	4226	3932	0	1	258	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	5	0	27	0	0	0	0	0	0	0	0	0	0	0	0	32	0	11	0	0	0	0	5	0	0	125	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	31	23	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	210	"AWI"	210	3731	4390	4021	0	2	200	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	1	3	43	0	0	0	0	1	0	0	0	0	0	0	0	32	0	6	0	0	0	0	9	0	0	128	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0
14630	22944	"Woryty"	53.7525	20.206322	215	"AWI"	215	3832	4448	4119	2	2	224	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	1	2	32	0	0	0	0	0	0	0	0	0	0	0	0	18	0	7	0	0	0	0	4	0	0	141	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	49	10	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	220	"AWI"	220	3887	4555	4214	1	2	230	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	17	0	2	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	0	0
14630	22944	"Woryty"	53.7525	20.206322	230	"AWI"	230	4052	4698	4413	0	6	215	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	8	0	36	0	0	0	0	1	0	0	0	0	0	0	0	22	0	6	0	0	0	0	4	0	0	112	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	25	29	10	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	240	"AWI"	240	4304	4810	4596	0	5	182	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	2	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	245	"AWI"	245	4471	4871	4705	0	1	320	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	1	0	10	0	0	0	0	1	0	0	0	0	0	0	0	3	0	13	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	54	20	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	250	"AWI"	250	4558	5086	4811	1	5	277	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	1	0	0	0	4	0	58	0	0	0	0	1	0	0	0	0	0	0	0	4	0	10	0	0	0	0	6	0	0	119	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	31	32	0	0	0	0
14630	22944	"Woryty"	53.7525	20.206322	255	"AWI"	255	4656	5214	4927	0	2	240	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	3	0	30	0	0	0	0	0	0	0	0	1	0	0	0	5	0	7	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	21	0	0	0	0
