"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1398	1434	"Kalsa Mire"	58.19142	27.41146	46	"AWI"	46	93	386	242	0	30.2325581395349	0	1.16279069767442	0	0	0	0	0	0	3.48837209302326	0	1.16279069767442	0	0	0	0	0	11.6279069767442	47.6744186046512	0	0	1.16279069767442	0	0	0	1.16279069767442	0	0	0	2.32558139534884	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	51	"AWI"	51	116	419	271	0	16.7785234899329	0	0	0.671140939597315	0	0	0	0	0	1.00671140939597	0.335570469798658	5.70469798657718	0	0	0	0	0	24.8322147651007	44.9664429530201	0	3.35570469798658	0	0	0	0	1.00671140939597	1.00671140939597	0	0	0	0.335570469798658
1398	1434	"Kalsa Mire"	58.19142	27.41146	56	"AWI"	56	147	440	302	0	20.0854700854701	0.427350427350427	0	0.854700854700855	0	0	0	0	0.427350427350427	2.13675213675214	0.854700854700855	7.26495726495727	0	0	0.427350427350427	0	0	14.1025641025641	42.7350427350427	0	4.7008547008547	0.427350427350427	0	0.854700854700855	0	1.70940170940171	1.28205128205128	0	0.427350427350427	0.427350427350427	0.854700854700855
1398	1434	"Kalsa Mire"	58.19142	27.41146	61	"AWI"	61	177	470	331	0	21.4285714285714	0	0	0.476190476190476	0	0	0	0	0	0	0.476190476190476	3.33333333333333	0	0	0	0	0	9.04761904761905	57.1428571428571	0	6.66666666666667	0	0	0	0	0	1.42857142857143	0	0	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	66	"AWI"	66	211	493	362	0	24.0566037735849	0	0.471698113207547	0	0	0	0	0	0	1.41509433962264	1.41509433962264	5.66037735849057	0	0	0	0	0	9.90566037735849	48.5849056603774	0	5.18867924528302	0.943396226415094	0	0	0	0.943396226415094	0.471698113207547	0	0	0.471698113207547	0.471698113207547
1398	1434	"Kalsa Mire"	58.19142	27.41146	71	"AWI"	71	248	532	395	0	26.8199233716475	0	0	0.383141762452107	0	0	0	0	0	1.53256704980843	0	6.51340996168582	0	0	0.383141762452107	0.383141762452107	0	14.9425287356322	41.7624521072797	0	3.83141762452107	0	0	0	0	1.91570881226054	0.766283524904214	0	0.383141762452107	0	0.383141762452107
1398	1434	"Kalsa Mire"	58.19142	27.41146	76	"AWI"	76	304	588	443	0	24.2718446601942	0.647249190938511	0.323624595469256	0.970873786407767	0	0	0	0	0.323624595469256	1.94174757281553	0	5.17799352750809	0	0	0.323624595469256	0	0	14.5631067961165	47.8964401294498	0	0	1.29449838187702	0	0	0	0	0.647249190938511	0	0.647249190938511	0.970873786407767	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	81	"AWI"	81	347	665	498	0	18.9801699716714	0.28328611898017	0	0.84985835694051	0	0	0	0	0	2.26628895184136	0.56657223796034	1.41643059490085	0	0	0.56657223796034	0	1.41643059490085	15.5807365439093	53.2577903682719	0	0	1.41643059490085	0.28328611898017	0	0	0	1.13314447592068	0	0.28328611898017	1.69971671388102	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	86	"AWI"	86	424	739	582	0	10.7692307692308	0	0	0.384615384615385	0	48.4615384615385	0	0	0	0.769230769230769	0.192307692307692	0.384615384615385	0	0	0	0	0.576923076923077	4.80769230769231	30	0	0.961538461538462	0.576923076923077	0	0	0	0	0.192307692307692	0	0.384615384615385	1.53846153846154	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	91	"AWI"	91	486	858	663	0	15.2631578947368	0	0.263157894736842	0.526315789473684	0	0	0	0	0	1.05263157894737	2.63157894736842	1.05263157894737	0	0	0	0	0.526315789473684	9.73684210526316	64.7368421052632	0	0	1.84210526315789	0	0	0	0.263157894736842	0	0	0.526315789473684	1.57894736842105	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	96	"AWI"	96	612	906	747	0	21.3333333333333	0	0	0.333333333333333	0	0	0	0	0	3.33333333333333	0	0.666666666666667	0	0	0.333333333333333	0	0.666666666666667	16	50.6666666666667	0	2	0.333333333333333	0	0	0	0	0.666666666666667	0	1.66666666666667	2	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	101	"AWI"	101	691	988	825	0	13.3640552995392	0.460829493087558	0	0.460829493087558	0	0	0	0	0	1.38248847926267	0	5.99078341013825	0	0	0	0	0.460829493087558	26.7281105990783	47.4654377880184	0	1.38248847926267	1.38248847926267	0	0	0.460829493087558	0	0	0	0.460829493087558	0	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	106	"AWI"	106	753	1047	884	0	4	0	0	0.615384615384615	0	0	0	0	0	1.84615384615385	0	4.92307692307692	0	0	0	0	0	23.0769230769231	59.3846153846154	0	0	2.46153846153846	0	0	0	0	0.615384615384615	0	2.15384615384615	0.923076923076923	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	111	"AWI"	111	793	1142	943	0	11.1587982832618	0	0	0	0	0	0	0	0	3.00429184549356	0	5.15021459227468	0	0	0	0	0	24.8927038626609	51.5021459227468	0	0	1.28755364806867	0	0	0	0	0.429184549356223	0.429184549356223	1.71673819742489	0.429184549356223	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	116	"AWI"	116	833	1196	1001	0	11.2734864300626	0	0	0.208768267223382	0	41.9624217118998	0	0	0	1.25260960334029	0	0.208768267223382	0	0	0	0	0.208768267223382	18.580375782881	24.2171189979123	0	0	0.626304801670146	0	0	0	0	0.417536534446764	0	0.417536534446764	0.626304801670146	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	121	"AWI"	121	873	1272	1055	0	25.0825082508251	0	0.33003300330033	0.66006600660066	0	0	0	0	0	7.59075907590759	0.33003300330033	0	0	0	0	0	0.33003300330033	27.0627062706271	32.6732673267327	0	0	1.65016501650165	0	0	0	0	0.66006600660066	0	2.31023102310231	1.32013201320132	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	126	"AWI"	126	926	1314	1110	0	22.6586102719033	0	0	0	0	0	0	0	0	6.04229607250755	0	6.64652567975831	0	0	0	0	0	29.0030211480363	32.3262839879154	0	0	0.906344410876133	0	0	0	0.302114803625378	0	0	1.51057401812689	0.604229607250755	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	131	"AWI"	131	969	1377	1162	0	26.8382352941176	0	0	0.735294117647059	0	0	0	0	0.367647058823529	8.82352941176471	0	0.367647058823529	0	0	0	0	0	30.8823529411765	26.8382352941176	0	0	2.20588235294118	0	0	0	0	0.367647058823529	0	1.10294117647059	1.47058823529412	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	136	"AWI"	136	1040	1410	1217	0	16.0919540229885	0	0	0.574712643678161	0	0	0	0	0	6.32183908045977	0	0.28735632183908	0	0.28735632183908	0	0	0.28735632183908	41.3793103448276	27.0114942528736	0	0	2.58620689655172	0	0	0	0	0	0	2.8735632183908	2.01149425287356	0.28735632183908
1398	1434	"Kalsa Mire"	58.19142	27.41146	141	"AWI"	141	1097	1456	1272	0	21.9512195121951	0	0	0.203252032520325	0	0	0	0	0	7.31707317073171	0	0.609756097560976	0	0.203252032520325	0.609756097560976	0	0.203252032520325	34.349593495935	22.3577235772358	0	0	4.8780487804878	0	0	0	0	0	0	4.47154471544715	2.84552845528455	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	146	"AWI"	146	1187	1487	1319	0	18.510158013544	0	0	0	0	0	0	0	0	4.51467268623025	0.225733634311512	0.451467268623025	0	0	0	0	0.677200902934537	48.0812641083521	18.7358916478555	0	0	3.6117381489842	0	0	0	0	0.225733634311512	0	2.48306997742664	2.48306997742664	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	151	"AWI"	151	1258	1531	1371	0	17.351598173516	0	0	0	0	0	0	0	0	2.28310502283105	0.91324200913242	1.36986301369863	0	0	0.45662100456621	1.36986301369863	0.45662100456621	37.8995433789954	31.0502283105023	0	0	3.19634703196347	0	0	0	0	0	0	0.45662100456621	3.19634703196347	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	154	"AWI"	154	1311	1579	1414	0	28.141592920354	0.176991150442478	0	0	0	0	0	0	0	8.31858407079646	0.530973451327434	0.530973451327434	0	0	0.530973451327434	0	0.176991150442478	35.2212389380531	15.0442477876106	0	0	3.00884955752212	0	0	0	0	0.353982300884956	0	3.71681415929204	4.07079646017699	0.176991150442478
1398	1434	"Kalsa Mire"	58.19142	27.41146	156	"AWI"	156	1326	1628	1449	0.275482093663912	30.8539944903581	0.550964187327824	0.275482093663912	0	0	0	0	0	0	5.50964187327824	0	0	0	0	0.275482093663912	0	0.275482093663912	39.1184573002755	15.702479338843	0	0	2.47933884297521	0	0	0	0	0	0	2.75482093663912	1.92837465564738	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	158	"AWI"	158	1338	1691	1480	0	35.3211009174312	0	0	0.458715596330275	0	0	0	0	0	8.25688073394496	0.458715596330275	1.8348623853211	0	0	0	0	0	25.6880733944954	20.1834862385321	0	0	2.75229357798165	0	0	0	0	0.458715596330275	0	2.29357798165138	2.29357798165138	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	161	"AWI"	161	1365	1756	1522	0	35.2409638554217	0.903614457831325	0	0.301204819277108	0	0	0	0	0	5.72289156626506	0	0.903614457831325	0	0.301204819277108	0	0	0	30.1204819277108	14.7590361445783	0	0	3.91566265060241	0	0	0	0	0.602409638554217	0	4.81927710843374	2.40963855421687	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	166	"AWI"	166	1416	1824	1600	0	19.5754716981132	0	0	0.471698113207547	0	0	0	0	0	6.13207547169811	0	0.943396226415094	0	0	0	0	0.235849056603774	36.0849056603774	27.3584905660377	0	0	3.30188679245283	0	0	0	0	0.471698113207547	0	1.41509433962264	4.00943396226415	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	171	"AWI"	171	1472	1942	1673	0	25.3289473684211	0	0.328947368421053	0.657894736842105	0	0	0	0	0	6.25	0.657894736842105	0.328947368421053	0	0	0	0	0.328947368421053	38.1578947368421	18.4210526315789	0	0	4.93421052631579	0	0	0	0	0.328947368421053	0	1.97368421052632	2.30263157894737	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	176	"AWI"	176	1572	2014	1754	0	18.0952380952381	0	0	0.317460317460317	0	0	0	0	0	7.3015873015873	0	2.22222222222222	0	0	0	0	0	30.1587301587302	33.968253968254	0	0	2.22222222222222	0	0	0	0	0.317460317460317	0	3.17460317460317	2.22222222222222	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	178	"AWI"	178	1597	2055	1787	0	27.8225806451613	0.806451612903226	0	0.403225806451613	0	0	0	0	0	9.67741935483871	0	0.403225806451613	0	0	0	0	1.20967741935484	18.1451612903226	26.2096774193548	0	0	5.24193548387097	0	0	0	0	0.403225806451613	0	6.45161290322581	3.2258064516129	0
1398	1434	"Kalsa Mire"	58.19142	27.41146	181	"AWI"	181	1681	2125	1857	0	27.1241830065359	0	0	0.326797385620915	0	0	0	0	0	9.47712418300654	0.980392156862745	1.63398692810458	0	0	1.30718954248366	0	0.326797385620915	9.47712418300654	34.640522875817	0	0	7.18954248366013	0	0	0	0	0.980392156862745	0.326797385620915	3.92156862745098	2.28758169934641	0
