"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	380	"AWI"	380	7739	9154	8390	0	0	0	1	0	0	0	0	129	0	0	0	0	0	0	0	0	56	1	6	0	0	0	0	0	0	0	1	0	6	0	0	0	0	2	0	0	0	2	0	240	0	0	0	0	0	19	0	0	0	0	0	3	0	1	0	4	4	0	0	0	2	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	388	"AWI"	388	7816	9251	8506	0	1	0	3	0	0	0	0	91	0	0	0	0	0	0	0	0	33	0	5	0	0	0	1	0	0	2	0	0	11	0	0	0	0	0	0	0	0	1	0	237	0	0	0	0	0	20	0	0	0	0	0	12	1	0	0	2	4	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	396	"AWI"	396	7908	9387	8617	0	0	0	4	0	1	0	0	102	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	3	1	0	7	0	0	0	0	0	0	0	0	0	0	243	2	0	0	0	0	16	0	0	0	0	0	8	0	0	0	2	4	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	404	"AWI"	404	8022	9490	8727	0	0	0	5	0	2	0	0	115	0	0	1	0	0	0	0	0	14	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	1	13	0	0	0	0	0	5	0	0	0	3	3	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	412	"AWI"	412	8094	9623	8841	2	0	0	6	0	1	0	0	140	0	0	0	0	0	0	0	0	6	1	7	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	217	3	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	416	"AWI"	416	8178	9668	8899	0	0	0	14	0	0	0	0	181	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	7	0	0	0	0	0	4	0	1	0	1	5	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	420	"AWI"	420	8244	9706	8955	0	1	0	14	0	0	0	0	136	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	10	0	0	0	0	0	13	0	0	0	3	3	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	424	"AWI"	424	8295	9760	9011	0	0	0	9	0	1	0	0	172	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	2	2	0	9	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	428	"AWI"	428	8339	9822	9067	0	0	0	8	0	5	0	0	171	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	1	0	7	0	0	0	0	0	0	0	0	0	0	278	2	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	436	"AWI"	436	8450	9915	9185	0	1	0	3	0	5	0	0	95	0	0	1	0	0	0	0	0	5	0	3	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	326	0	0	0	1	0	5	0	0	0	0	0	5	0	0	0	1	6	0	0	0	0	0	0
10528	16214	"Laguna Mesagosa"	41.964968	-2.81188	444	"AWI"	444	8553	10021	9307	0	0	0	5	0	1	0	0	106	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	300	2	0	0	0	0	6	0	0	0	0	0	5	0	0	0	8	2	0	0	0	0	0	0
