"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16355	25402	"Fontaine Henry"	49.2775	-0.45333	300	"AWI"	300	1866	2330	2116	4	1.33333333333333	0	0	4	0	0	1.33333333333333	0	17.3333333333333	44	0	0	0	0	0	0	0	0	2.66666666666667	0	0	0	20	0	0	0	0	4	0	0	1.33333333333333	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	303	"AWI"	303	1885	2340	2132	9.58904109589041	0	0	0	1.36986301369863	0	1.36986301369863	0	1.36986301369863	21.9178082191781	27.3972602739726	0	2.73972602739726	0	0	0	0	0	0	4.10958904109589	9.58904109589041	0	0	15.0684931506849	0	0	0	0	1.36986301369863	0	1.36986301369863	2.73972602739726	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	311	"AWI"	311	1926	2380	2173	11.1111111111111	0	0	0	0	0	4.27350427350427	0.854700854700855	0	15.3846153846154	32.4786324786325	0	0	0	0	0.854700854700855	0	0	0	0.854700854700855	3.41880341880342	0	0	22.2222222222222	0.854700854700855	0	0	0.854700854700855	4.27350427350427	0	1.70940170940171	0.854700854700855	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	318	"AWI"	318	1964	2412	2211	15.3846153846154	0	0	0	0.961538461538462	0	0.961538461538462	1.92307692307692	0	20.1923076923077	40.3846153846154	0	0.961538461538462	0	0	0	0	0	0	0.961538461538462	3.84615384615385	0	0	13.4615384615385	0	0	0	0	0	0	0.961538461538462	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	325	"AWI"	325	2006	2442	2247	10.6382978723404	1.06382978723404	0	1.06382978723404	2.12765957446809	0	0	1.06382978723404	0	21.2765957446809	24.468085106383	0	2.12765957446809	0	0	0	0	0	0	2.12765957446809	2.12765957446809	0	0	29.7872340425532	0	1.06382978723404	0	0	0	0	1.06382978723404	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	330	"AWI"	330	2028	2464	2273	7.60869565217391	1.08695652173913	0	0	0	0	0	0	0	20.6521739130435	26.0869565217391	0	1.08695652173913	0	0	0	0	0	0	2.17391304347826	5.43478260869565	0	0	33.695652173913	0	0	0	0	1.08695652173913	0	1.08695652173913	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	335	"AWI"	335	2059	2482	2298	16.6666666666667	0	0	0.793650793650794	0.793650793650794	0	1.58730158730159	0.793650793650794	1.58730158730159	19.8412698412698	29.3650793650794	0	0.793650793650794	0	0	0	0	0	0	0	2.38095238095238	0	0	23.8095238095238	0.793650793650794	0	0	0.793650793650794	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	345	"AWI"	345	2111	2523	2351	12.0481927710843	3.6144578313253	1.20481927710843	1.20481927710843	1.20481927710843	0	0	2.40963855421687	1.20481927710843	13.2530120481928	18.0722891566265	0	1.20481927710843	0	0	0	0	0	0	2.40963855421687	1.20481927710843	0	0	34.9397590361446	0	0	0	1.20481927710843	2.40963855421687	0	0	2.40963855421687	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	348	"AWI"	348	2129	2538	2368	22.5	1.25	1.25	0	2.5	0	1.25	1.25	0	10	30	0	1.25	0	0	0	0	0	0	1.25	1.25	0	0	23.75	0	0	0	0	2.5	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	354	"AWI"	354	2163	2562	2400	1.72413793103448	0	0.862068965517241	0	1.72413793103448	0	0.862068965517241	0	0	6.03448275862069	25.8620689655172	0	1.72413793103448	0	0	1.72413793103448	0	0	0	1.72413793103448	4.31034482758621	41.3793103448276	0	12.0689655172414	0	0	0	0	0	0	0	0	0
