"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
27171	48072	"Dárko"	49.639158	15.87283	480	"AWI"	480	7399	8141	7684	0	0	4.31519699812383	0	0	0	0.562851782363977	0	0	0	0	0	0	0	0	0	0	0	27.0168855534709	21.3883677298311	0	0	0	0	0.187617260787992	0	0	0	0	0	0	0	0	0	0	0	0	0	21.9512195121951	0	0	0	0	0	0	7.69230769230769	0	0.187617260787992	0	0.187617260787992	0	0	0.187617260787992	0	0	0	0	0	0	16.1350844277674	0.187617260787992
27171	48072	"Dárko"	49.639158	15.87283	490	"AWI"	490	7629	8335	8041	0	0.295420974889217	3.54505169867061	0	0	0	1.03397341211226	0	0	0	0	0	0	0	0	0	0	0	31.7577548005908	6.49926144756278	0	0	0	0	0.886262924667651	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3028064992614	0	0	0	0	0	0	7.97636632200886	0	0	0	0.147710487444609	0	0.295420974889217	0	0	0	0	0	0.295420974889217	0	11.9645494830133	0
27171	48072	"Dárko"	49.639158	15.87283	500	"AWI"	500	8193	8435	8348	0.14367816091954	0.14367816091954	9.91379310344828	0	0	0	0.718390804597701	0	0	0	0	0	0	0.14367816091954	0	0	0	0	39.5114942528736	6.75287356321839	0	0	0	0	1.4367816091954	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9597701149425	0	0	0	0	0	0	11.0632183908046	0	0	0	0.28735632183908	0	0	0	0	0	0	0	0.14367816091954	0	11.7816091954023	0
27171	48072	"Dárko"	49.639158	15.87283	510	"AWI"	510	8278	9005	8539	0.113765642775882	0.113765642775882	6.14334470989761	0	0	0	0.568828213879408	0	0	0	0	0	0	0	0	0	0	0	52.1046643913538	4.77815699658703	0	0	0	0	0.113765642775882	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4061433447099	0	0	0	0	0	0	6.37087599544937	0	0	0	0	0.113765642775882	0.341296928327645	0	0.341296928327645	0	0	0	0.68259385665529	0	10.8077360637088	0
27171	48072	"Dárko"	49.639158	15.87283	520	"AWI"	520	8433	9218	8794	0.0932835820895522	0.186567164179104	5.22388059701492	0.186567164179104	0	0.0932835820895522	1.21268656716418	0	0	0	0	0	0	0.0932835820895522	0	0	0	0	42.0708955223881	6.43656716417911	0	0	0	0	0.652985074626866	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1679104477612	15.7649253731343	0	0	0	0	0	7.18283582089552	0	0	0	0.0932835820895522	0	0.0932835820895522	0	0	0	0	0	0.373134328358209	0	10.0746268656716	0
27171	48072	"Dárko"	49.639158	15.87283	530	"AWI"	530	8620	9363	9033	0	0.0623441396508728	3.24189526184539	0.249376558603491	0	0	1.18453865336658	0	0	0	0	0	0	0	0	0	0	0	66.5211970074813	1.80798004987531	0	0	0	0	0.187032418952618	0.0623441396508728	0	0	0.0623441396508728	0	0	0	0	0	0	0	0	0	3.49127182044888	11.9700748129676	0	0	0	0	0	5.67331670822943	0	0	0	0.0623441396508728	0	0.124688279301746	0.0623441396508728	0	0	0	0	0.0623441396508728	0	5.17456359102244	0
27171	48072	"Dárko"	49.639158	15.87283	540	"AWI"	540	8865	9476	9262	0	0.0429922613929493	1.16079105760963	0	0	0	0.214961306964746	0	0	7.86758383490972	0	0	0	0	0	0	0	0	71.7970765262253	1.59071367153912	0	0	0	0	0.0859845227858985	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28976784178848	8.42648323301806	0	0	0	0	0	3.65434221840069	0	0	0	0	0	0.214961306964746	0.0429922613929493	0	0	0	0	0.0429922613929493	0	3.48237317282889	0.0859845227858985
27171	48072	"Dárko"	49.639158	15.87283	550	"AWI"	550	9300	9533	9472	0	0	0.58343057176196	0	0	0	0.58343057176196	0	0	16.8028004667445	0	0.116686114352392	0	0	0	0	0	0	26.1376896149358	12.8354725787631	0	0	0	0	0.116686114352392	0.233372228704784	0	0	0	0	0	0	0.116686114352392	0	0	0	0	0	0.58343057176196	32.3220536756126	0	0	0	0	0	3.38389731621937	0	0	0	0	0	0.116686114352392	0	0	0	0	0	0.350058343057176	0	5.71761960326721	0
27171	48072	"Dárko"	49.639158	15.87283	560	"AWI"	560	9457	10334	9757	0	0	0.533617929562433	0	0	0.106723585912487	0.853788687299893	0	0	19.1035218783351	0	0	0	0	0	0	0	0	17.3959445037353	1.17395944503735	0	0	0	0	0	0	0	0	0	0	0	0	0.106723585912487	0	0	0	0	0	0.32017075773746	50.6937033084312	0	0	0	0	0	1.81430096051227	0	0	0	0.106723585912487	0.213447171824973	0.32017075773746	0.106723585912487	0	0	0	0	0.32017075773746	0	6.72358591248666	0.106723585912487
27171	48072	"Dárko"	49.639158	15.87283	570	"AWI"	570	9657	10755	10115	0	0.102774922918808	0.616649537512847	0	0	0	0.822199383350462	0	0	11.7163412127441	0	0	0	0	0	0	0	0	11.7163412127441	11.7163412127441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23329907502569	54.7790339157246	0	0	0	0	0	0.92497430626927	0	0	0	0.205549845837616	0.102774922918808	1.3360739979445	0	0	0	0	0	0.102774922918808	0	4.62487153134635	0
