"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26167	45636	"Litlvatnet"	68.526744	14.930456	888	"AWI"	888	6559	7488	7071	7.14285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7142857142857	0	0	0	0	0	0	35.7142857142857	0	0	0	0	0	0	42.8571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57142857142857	0
26167	45636	"Litlvatnet"	68.526744	14.930456	896	"AWI"	896	6793	7653	7282	1.85185185185185	0	0	0	0	83.7037037037037	0	0	0	0	0	0.37037037037037	0.37037037037037	0	2.22222222222222	0	1.48148148148148	0	0	0	0	2.22222222222222	0	0	0	0.37037037037037	0	0	5.18518518518519	0	0	0	0	0	0	0	0	0	0.37037037037037	0	0	1.48148148148148	0	0	0.37037037037037	0
26167	45636	"Litlvatnet"	68.526744	14.930456	904	"AWI"	904	7076	7793	7491	1.83246073298429	0	0	0	0	86.3874345549738	0	0	0	0	0	0.261780104712042	1.04712041884817	0	0.785340314136126	0	0	0	0	0	0	0.785340314136126	0	0	0	0.261780104712042	0	0	7.32984293193717	0	0	0	0	0	0.261780104712042	0	0	0	0	0	0	0.261780104712042	0	0	0.523560209424084	0.261780104712042
26167	45636	"Litlvatnet"	68.526744	14.930456	912	"AWI"	912	7445	7920	7683	15.7894736842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.9473684210526	0	0	0	0	0	0	44.7368421052632	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	2.63157894736842	0	2.63157894736842	0
26167	45636	"Litlvatnet"	68.526744	14.930456	920	"AWI"	920	7653	8198	7893	3.21637426900585	0	0	0	0	87.719298245614	0	0	0	0	0	0	0.292397660818713	0.584795321637427	0	0	0	0	0	0	0	2.33918128654971	0	0	0	0	0	0	3.80116959064327	0	0	0	0.584795321637427	0	0	0	0	0	0.292397660818713	0	0	0.87719298245614	0	0	0.292397660818713	0
26167	45636	"Litlvatnet"	68.526744	14.930456	928	"AWI"	928	7807	8516	8102	3.80710659898477	0	0	0	0	87.3096446700508	0	0	0	0	0	0	0.50761421319797	0	0	0	0.761421319796954	0	0.50761421319797	0	0	2.03045685279188	0	0	0	0	0	0	3.55329949238579	0	0	0	0.50761421319797	0	0	0	0	0	0	0	0	0.761421319796954	0	0	0.253807106598985	0
26167	45636	"Litlvatnet"	68.526744	14.930456	936	"AWI"	936	7973	8772	8334	2.17983651226158	0	0	0	0	83.3787465940054	0	0	0	0	0	0	0.272479564032698	0	2.72479564032698	0	1.08991825613079	0	0	0	0.272479564032698	3.81471389645777	0	0	0	0	0	0	3.81471389645777	0	0	0	0.272479564032698	0	0	0	0	0	0	0	0	1.63487738419619	0	0	0.544959128065395	0
26167	45636	"Litlvatnet"	68.526744	14.930456	944	"AWI"	944	8150	9007	8561	22.0338983050847	0	0	0	0	0	0	0	0	0	0	0	1.69491525423729	0	6.77966101694915	0	0	0	0	0	0	11.864406779661	0	0	0	0	0	0	44.0677966101695	0	0	0	0	0	0	1.69491525423729	0	0	0	0	0	11.864406779661	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	952	"AWI"	952	8354	9224	8790	13.7931034482759	0	0	3.44827586206897	0	0	0	0	0	0	0	0	3.44827586206897	0	0	0	0	0	0	0	0	13.7931034482759	0	0	0	0	0	0	55.1724137931034	0	0	0	0	0	0	0	0	0	0	0	0	10.3448275862069	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	960	"AWI"	960	8606	9405	9011	1.74563591022444	0	0	0	0	88.5286783042394	0	0	0	0	0	0	0	0.249376558603491	0.498753117206983	0	0	0	0	0	0	3.24189526184539	0	0	0	0	0	0	4.98753117206983	0	0	0	0	0	0	0	0	0	0	0	0	0.748129675810474	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	968	"AWI"	968	8954	9631	9238	0.302114803625378	0	0	0	0	93.0513595166163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20845921450151	0	0	0	0	0	0	4.53172205438066	0	0	0	0	0	0	0	0	0	0	0	0	0.604229607250755	0	0	0.302114803625378	0
26167	45636	"Litlvatnet"	68.526744	14.930456	976	"AWI"	976	9211	10293	9629	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	8.33333333333333	0	0	0	0	0	0	33.3333333333333	0	0	0	0	0	8.33333333333333	0	0	0	0	0	0	8.33333333333333	8.33333333333333	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	984	"AWI"	984	9507	11136	10175	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	33.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	8.33333333333333	0	0	8.33333333333333	0
26167	45636	"Litlvatnet"	68.526744	14.930456	992	"AWI"	992	9947	11698	10766	0	0	15.7894736842105	0	0	0	0	0	0	0	0	0	21.0526315789474	0	0	0	0	0	0	0	0	47.3684210526316	0	0	0	10.5263157894737	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	1000	"AWI"	1000	10455	12164	11348	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909	18.1818181818182	0	0	0	0	0	0	0	36.3636363636364	0	0	0	0	0	0	36.3636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	1004	"AWI"	1004	10713	12389	11648	0	0	1.16959064327485	0	0	0	0	0	0	0	0	0	0	1.75438596491228	0	0.584795321637427	52.046783625731	0	0	0	0	0	0	0	0	0.584795321637427	0	0	3.50877192982456	0	0	0	0	0	0	0	0	0	0	39.766081871345	0	0	0	0	0.584795321637427	0
26167	45636	"Litlvatnet"	68.526744	14.930456	1008	"AWI"	1008	11037	12525	11931	0	8.33333333333333	12.5	0	0	0	0	0	0	0	0	0	0	12.5	29.1666666666667	0	0	0	0	0	0	25	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	1012	"AWI"	1012	11426	12668	12212	0	0	0	2.7027027027027	0	0	0	0	0	0	0	0	0	13.5135135135135	8.10810810810811	0	0	0	0	0	0	16.2162162162162	0	0	0	0	0	0	10.8108108108108	0	0	0	0	0	0	0	0	0	0	0	48.6486486486487	0	0	0	0	0
26167	45636	"Litlvatnet"	68.526744	14.930456	1016	"AWI"	1016	11770	12833	12534	0	0	7.01754385964912	10.5263157894737	0	0	0	0	0	0	0	0	0	3.50877192982456	17.5438596491228	0	0	0	0	0	1.75438596491228	5.26315789473684	0	0	0	0	0	0	8.7719298245614	0	0	0	0	0	0	0	0	0	0	0	45.6140350877193	0	0	0	0	0
