"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	225	"AWI"	225	3768	4097	3928	1	377	2	1	1	9	0	68	0	0	0	0	0	412	2	0	0	0	4	0	46	0	0	0	0	1	1	36	0	0	0	0	0	233	0	0	0	1	0	5	0	2	0	14	24	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	230	"AWI"	230	3806	4153	3976	0	365	2	1	0	17	0	63	0	0	0	0	0	380	8	1	2	0	1	2	109	0	0	0	0	2	1	32	0	0	0	0	0	299	0	0	0	0	0	25	0	0	0	20	34	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	235	"AWI"	235	3865	4199	4022	2	382	1	0	0	27	0	62	0	0	2	0	0	388	6	1	2	0	3	0	51	0	0	0	0	0	1	32	0	0	0	0	0	268	0	0	0	1	0	4	0	0	0	29	44	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	240	"AWI"	240	3896	4270	4066	2	292	1	0	0	4	0	55	0	0	0	0	0	526	7	1	2	0	1	0	56	0	0	0	0	1	1	26	0	0	0	0	0	180	0	0	0	0	0	1	1	3	0	41	44	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	245	"AWI"	245	3928	4323	4113	4	308	0	1	2	6	0	77	0	0	0	0	0	463	1	0	1	0	3	0	45	0	0	0	0	3	3	22	0	0	0	0	0	231	0	0	0	0	0	1	1	3	0	53	60	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	250	"AWI"	250	3954	4402	4155	1	287	0	1	1	2	0	71	0	0	0	0	0	359	1	0	1	0	1	3	53	0	0	0	0	4	1	31	0	0	0	0	0	250	0	0	0	1	0	0	0	1	0	41	87	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	255	"AWI"	255	3995	4442	4204	4	275	1	1	1	3	0	94	0	0	0	0	0	331	5	0	0	0	0	0	76	0	0	0	0	1	1	23	0	0	0	0	0	352	0	0	0	0	0	2	1	2	0	31	70	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	260	"AWI"	260	4018	4508	4248	3	277	0	0	2	2	0	68	0	0	0	0	0	446	3	0	2	0	0	1	75	0	0	0	0	1	2	36	0	0	0	0	0	348	1	0	0	0	0	1	0	3	0	22	72	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	265	"AWI"	265	4060	4547	4296	5	374	0	0	1	4	0	88	0	0	0	0	0	533	5	0	0	0	1	0	64	0	0	0	0	0	2	64	0	0	0	0	0	396	0	0	0	0	0	0	0	5	0	16	55	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	270	"AWI"	270	4088	4619	4343	4	217	0	0	3	5	0	69	0	0	0	0	0	355	1	0	0	0	1	0	63	0	0	0	0	0	2	22	0	0	0	0	0	303	0	0	0	1	0	2	0	2	0	21	24	0	1	0
