"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Morus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Ulmus"	"Urticaceae"
15846	24386	"Asi Gonia"	35.248806	24.277954	200	"AWI"	200	421	735	575	0	0	0	2	2	0	19	0	0	0	0	6	0	0	0	7	0	2	242	0	135	0	3	0	0	0	2	0	0	1	2	0	3	9	0	6	0	0	0	9	34	1	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	205	"AWI"	205	438	747	590	0	0	5	9	7	0	7	0	0	0	0	8	0	4	0	8	0	0	258	0	103	0	0	0	0	0	0	0	0	0	6	0	0	4	0	3	12	0	0	5	24	0	0	0	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	210	"AWI"	210	451	764	606	0	0	0	0	9	0	3	0	5	0	0	3	0	0	0	0	0	0	280	0	101	0	4	0	0	0	3	0	0	0	4	0	0	2	0	2	18	0	0	17	28	3	0	0	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	215	"AWI"	215	469	776	621	0	0	0	1	1	0	6	1	15	0	0	2	0	1	0	11	0	0	241	0	123	0	8	0	0	0	2	2	0	0	3	0	1	9	1	2	13	0	0	15	62	0	0	0	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	220	"AWI"	220	482	792	636	0	0	0	0	4	0	6	0	6	0	0	4	0	2	1	6	2	0	138	0	98	0	7	0	0	0	4	0	0	0	5	0	0	2	1	2	31	0	0	52	80	0	0	0	0	2	0	0	0	0	2	0
15846	24386	"Asi Gonia"	35.248806	24.277954	225	"AWI"	225	499	804	651	0	0	0	0	0	0	9	0	0	0	1	16	0	6	0	0	3	1	212	0	144	0	12	0	0	0	5	0	0	0	3	0	0	3	1	3	16	0	0	22	57	4	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	230	"AWI"	230	512	820	666	0	1	0	0	1	0	3	0	8	0	0	0	0	0	0	13	0	1	192	0	100	0	4	0	0	0	0	0	0	0	9	0	0	9	0	1	23	35	0	25	108	0	0	0	0	0	0	0	0	1	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	235	"AWI"	235	531	831	682	0	0	0	0	2	0	5	1	8	0	0	2	0	1	0	10	0	0	241	0	84	0	6	0	1	0	1	0	0	0	5	0	0	3	1	2	25	0	0	31	77	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	240	"AWI"	240	546	846	697	0	0	0	0	6	1	4	0	8	0	0	3	0	0	0	5	0	0	208	0	86	0	2	0	0	0	1	0	0	0	10	0	0	6	0	0	27	0	1	51	109	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	245	"AWI"	245	565	858	712	0	0	0	2	4	0	5	0	15	0	0	5	0	1	0	16	1	1	227	0	121	0	8	0	0	0	4	2	0	0	2	0	0	6	1	0	19	0	0	29	51	0	0	4	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	250	"AWI"	250	579	874	728	0	0	0	0	4	0	1	0	9	0	0	6	0	0	0	0	2	1	143	1	143	0	13	0	0	0	5	0	0	0	3	0	0	4	3	1	18	0	1	46	132	0	0	0	0	3	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	255	"AWI"	255	600	888	743	1	2	2	0	48	0	8	0	17	0	0	2	0	2	0	22	2	0	103	0	100	0	43	0	1	0	4	1	0	0	13	0	1	7	0	3	21	0	0	40	133	2	0	5	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	260	"AWI"	260	616	903	758	0	0	1	1	6	0	1	0	4	0	0	4	0	1	0	30	1	0	204	0	83	0	11	0	0	0	6	0	0	0	11	0	0	2	0	1	28	0	0	28	122	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	265	"AWI"	265	633	915	773	0	0	0	0	6	0	0	0	9	0	0	0	0	2	1	22	0	0	174	0	156	8	27	0	5	0	8	0	0	0	11	0	3	2	0	1	25	0	0	8	60	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	270	"AWI"	270	649	929	788	0	1	0	0	6	0	4	0	26	0	4	12	0	0	0	47	0	0	69	0	214	0	21	0	6	0	14	1	0	0	4	0	0	1	0	0	17	0	1	7	33	1	0	6	7	4	1	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	275	"AWI"	275	670	942	803	0	0	0	1	1	0	0	0	158	0	0	0	0	2	0	13	0	0	147	0	127	1	8	0	2	0	3	0	0	0	10	0	2	5	4	0	14	0	0	12	17	1	1	2	0	0	0	0	3	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	280	"AWI"	280	685	960	819	0	0	0	0	2	0	7	0	7	1	0	2	0	1	0	21	0	0	155	1	115	0	4	0	0	0	4	0	0	0	6	0	0	5	0	1	13	0	0	24	119	2	0	6	0	0	0	0	1	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	285	"AWI"	285	705	971	833	0	0	0	1	4	0	3	0	9	0	0	2	0	0	0	14	0	0	264	0	88	0	8	0	1	0	3	2	0	0	6	0	2	5	0	0	35	0	0	20	65	1	0	7	0	1	0	0	0	0	0	0
