"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Lamiaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
14549	22805	"Les Palanques"	42.16222	2.43806	378	"AWI"	378	3747	5134	4410	9.04761904761905	0	1.42857142857143	1.42857142857143	0	0.476190476190476	0	0.476190476190476	0	0	0.476190476190476	3.33333333333333	1.9047619047619	0	4.76190476190476	0	2.38095238095238	0	0	0	22.8571428571429	1.42857142857143	10	0	30	8.09523809523809	0.476190476190476	0.476190476190476	0	0.476190476190476	0.476190476190476
14549	22805	"Les Palanques"	42.16222	2.43806	388	"AWI"	388	3872	5293	4550	4.97512437810945	0	3.98009950248756	1.49253731343284	0.497512437810945	3.48258706467662	0	0	6.46766169154229	0	0	5.97014925373134	0.497512437810945	0	2.48756218905473	0	6.46766169154229	0	0	0.497512437810945	11.9402985074627	2.48756218905473	6.46766169154229	0	34.8258706467662	4.97512437810945	0.497512437810945	0	0.995024875621891	0.497512437810945	0.497512437810945
14549	22805	"Les Palanques"	42.16222	2.43806	398	"AWI"	398	4010	5435	4694	3.42857142857143	0	10.5714285714286	0.571428571428571	0.571428571428571	2	11.1428571428571	0.571428571428571	0.857142857142857	0	0	7.42857142857143	1.71428571428571	0	1.71428571428571	0.285714285714286	3.71428571428571	0	0.285714285714286	0.571428571428571	22.8571428571429	2	0	0.285714285714286	24	2.57142857142857	1.71428571428571	0.285714285714286	0	0.571428571428571	0.285714285714286
14549	22805	"Les Palanques"	42.16222	2.43806	408	"AWI"	408	4141	5571	4845	6.97674418604651	0.387596899224806	0.387596899224806	0	0	0.387596899224806	0	0.387596899224806	1.16279069767442	0	0	3.10077519379845	0	0.387596899224806	1.93798449612403	0	0.387596899224806	0	0	0	70.9302325581395	0	0	0	10.077519379845	0	0.775193798449612	0.387596899224806	0.387596899224806	1.16279069767442	0.775193798449612
14549	22805	"Les Palanques"	42.16222	2.43806	428	"AWI"	428	4422	5841	5133	4.49438202247191	0	0	0	0	0	1.12359550561798	0	0.561797752808989	0	0	2.80898876404494	8.42696629213483	0.561797752808989	0	0	0	0	0	0	75.8426966292135	0.561797752808989	0	0	5.0561797752809	0	0	0	0	0	0.561797752808989
14549	22805	"Les Palanques"	42.16222	2.43806	438	"AWI"	438	4563	5983	5276	0	0.462962962962963	0	0.462962962962963	0.462962962962963	0.462962962962963	0	0.462962962962963	0.925925925925926	0	0	5.55555555555556	30.0925925925926	0	0.462962962962963	0	0	0	0	0	43.9814814814815	0	0	0	15.2777777777778	0	0.462962962962963	0	0	0.462962962962963	0.462962962962963
14549	22805	"Les Palanques"	42.16222	2.43806	448	"AWI"	448	4703	6119	5418	0	0	0	0	0	0	0	0	0	0	0	17.6470588235294	5.88235294117647	0	3.92156862745098	0	0	0	0	0	64.7058823529412	0	0	0	7.84313725490196	0	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	458	"AWI"	458	4844	6254	5554	0	1.58730158730159	0	0	0	0	0	0	0	0	0	7.93650793650794	3.17460317460317	0	0	0	0	0	0	0	69.8412698412698	0	0	0	14.2857142857143	0	0	0	0	0	3.17460317460317
14549	22805	"Les Palanques"	42.16222	2.43806	468	"AWI"	468	4975	6395	5699	1.69491525423729	0	0	0	0	0	0	0	0.564971751412429	0	0.564971751412429	9.03954802259887	2.25988700564972	0	1.12994350282486	0	0	0	0	0	74.0112994350282	0	0	0	7.34463276836158	0	0	0	1.12994350282486	0	2.25988700564972
14549	22805	"Les Palanques"	42.16222	2.43806	478	"AWI"	478	5127	6527	5843	0.50251256281407	0.753768844221105	0	0.251256281407035	0.251256281407035	0.753768844221105	0	0.50251256281407	0.251256281407035	0	0	52.7638190954774	0	0	0	0.251256281407035	0	0	0	0.251256281407035	18.0904522613065	0.753768844221105	0	0	18.3417085427136	0.50251256281407	0	0	0	0	5.77889447236181
