"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	250	"AWI"	250	9061	12370	10429	0	0	0	0	0	0	155	0	0	0	0	99	90	0	0	0	0	0	1	38	39	0	87	0	3	0	0	0	8	18	0	4	0	4	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	255	"AWI"	255	9235	12582	10623	0	0	0	0	0	0	189	0	0	0	0	175	21	0	0	0	0	0	0	8	6	0	18	0	4	0	0	0	4	11	0	0	0	1	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	260	"AWI"	260	9357	12864	10817	1	0	0	0	0	0	171	0	0	0	0	81	37	0	0	0	0	0	0	53	17	0	51	0	6	0	22	0	17	16	0	1	0	5	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	265	"AWI"	265	9525	13081	11007	0	0	0	0	0	0	169	0	0	0	0	120	38	33	0	0	0	0	0	18	21	0	27	0	5	0	0	0	2	15	0	1	0	5	0	1
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	270	"AWI"	270	9641	13359	11206	0	0	0	0	0	0	184	1	0	0	0	138	128	103	0	0	0	0	0	3	12	0	29	0	2	0	0	0	1	16	0	0	0	3	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	275	"AWI"	275	9835	13593	11405	0	0	0	0	0	0	171	0	0	0	0	147	92	96	0	0	0	0	0	5	20	0	64	0	2	0	0	0	0	17	0	2	0	7	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	280	"AWI"	280	9965	13875	11610	0	0	0	0	0	0	133	0	0	0	0	52	49	0	0	0	0	0	0	7	14	0	21	0	2	0	0	0	3	3	0	3	0	1	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	290	"AWI"	290	10278	14347	12004	0	1	0	0	0	0	128	0	0	0	0	69	22	240	0	0	0	0	0	1	19	0	15	0	0	0	0	0	0	9	0	0	0	3	0	1
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	300	"AWI"	300	10607	14835	12384	0	0	0	0	0	0	137	0	0	0	0	70	36	0	0	0	0	0	0	6	10	0	22	0	0	0	8	0	3	6	0	0	0	3	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	310	"AWI"	310	10936	15315	12774	0	0	0	0	0	0	142	0	0	0	0	58	77	0	0	0	0	1	0	0	8	0	22	0	0	0	0	0	1	8	0	0	0	1	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	320	"AWI"	320	11272	15817	13176	0	0	0	0	0	0	138	0	0	0	0	34	233	0	4	0	0	26	0	1	10	0	74	0	1	0	0	0	24	31	0	0	0	1	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	325	"AWI"	325	11452	16041	13362	0	0	0	0	0	2	93	0	1	0	0	26	157	52	0	0	0	15	0	1	6	0	74	0	1	9	0	0	9	17	1	0	0	0	0	0
