"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16168	25481	"Lac des Boites"	45.05611	5.88528	310	"AWI"	310	4061	4931	4532	126	1	28	1	0	0	0	0	54	0	0	0	1	0	0	0	0	0	0	31	0	10	0	0	0	0	0	90	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	54	2	4	0	0	0	1	1	0	0	0	1	0	1	5	0	0	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	315	"AWI"	315	4312	4994	4670	205	3	0	1	0	0	2	0	57	0	0	0	0	0	0	0	0	0	0	57	0	17	0	0	0	0	0	71	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	63	0	0	0	0	0	0	0	0	50	2	4	0	0	0	2	0	0	0	0	0	0	0	2	16	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	320	"AWI"	320	4457	5119	4813	125	1	24	1	0	0	2	0	51	0	0	0	0	0	0	0	0	0	0	25	0	8	0	0	0	0	0	54	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	45	0	2	0	0	0	4	1	0	0	0	1	0	0	3	7	0	1	0
16168	25481	"Lac des Boites"	45.05611	5.88528	325	"AWI"	325	4623	5212	4932	183	2	0	0	0	0	1	0	59	0	0	0	0	0	0	0	0	0	0	62	0	4	0	0	0	0	0	67	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	76	0	4	0	0	0	2	0	0	0	1	0	0	0	3	14	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	330	"AWI"	330	4700	5417	5049	121	2	36	0	0	0	0	0	43	0	0	0	1	0	0	0	0	0	0	26	0	4	0	0	0	0	0	103	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	50	0	2	0	0	0	6	2	0	0	0	0	0	1	6	14	0	0	3
16168	25481	"Lac des Boites"	45.05611	5.88528	335	"AWI"	335	4799	5516	5157	216	2	0	1	0	0	1	0	41	0	0	0	0	0	0	0	0	0	0	46	0	7	0	0	0	0	0	64	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	48	0	1	0	0	1	2	3	0	0	0	0	0	0	5	10	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	340	"AWI"	340	4862	5689	5257	166	4	0	0	0	0	2	0	51	0	0	0	2	0	0	0	0	0	0	47	0	17	0	0	0	0	0	37	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	49	1	2	0	0	2	1	1	0	0	0	0	0	0	12	5	0	0	2
16168	25481	"Lac des Boites"	45.05611	5.88528	345	"AWI"	345	4976	5764	5368	217	1	0	0	0	0	1	0	75	0	0	0	2	0	0	0	0	0	0	59	0	15	0	0	0	0	0	60	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	71	0	0	0	0	0	0	0	0	46	1	3	0	0	0	0	2	0	0	0	0	0	0	7	13	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	350	"AWI"	350	5041	5906	5474	108	4	29	0	0	1	3	0	56	0	0	0	1	0	0	0	0	0	0	28	0	7	0	0	0	0	0	43	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	0	50	0	2	0	0	0	2	2	0	1	0	0	0	1	5	7	1	0	2
16168	25481	"Lac des Boites"	45.05611	5.88528	355	"AWI"	355	5192	5971	5586	226	6	0	0	0	0	1	0	74	0	0	0	0	0	0	0	0	0	1	52	0	6	0	0	0	0	0	58	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	1	0	0	0	0	0	0	0	64	3	4	0	0	0	1	1	0	0	0	0	0	0	8	16	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	360	"AWI"	360	5277	6074	5696	144	4	28	0	0	0	2	0	53	0	0	0	3	0	0	0	0	0	0	31	0	12	0	0	0	0	0	55	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	3	2	0	0	0	1	0	1	0	0	0	0	1	8	28	3	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	365	"AWI"	365	5461	6134	5799	279	1	0	0	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	24	0	2	0	0	0	0	0	35	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	93	0	0	0	0	0	0	0	0	46	1	1	0	0	0	0	0	0	1	0	0	0	2	5	8	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	370	"AWI"	370	5565	6240	5902	108	1	0	0	0	0	1	0	40	0	0	0	0	0	0	0	0	0	0	20	0	6	0	0	0	0	0	14	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0	0	0	0	0	44	0	0	0	0	1	1	1	0	0	0	0	0	0	4	13	1	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	375	"AWI"	375	5700	6326	6011	205	4	0	2	0	0	3	0	67	0	0	0	0	0	0	0	0	0	0	53	0	9	0	0	0	0	0	41	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	47	0	4	0	0	0	1	2	0	0	0	0	0	1	4	24	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	380	"AWI"	380	5762	6499	6118	90	4	0	0	0	1	1	0	48	0	0	0	1	0	0	0	0	0	0	29	0	5	0	0	0	0	0	48	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	2	0	0	0	0	1	0	0	0	0	1	0	4	22	0	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	385	"AWI"	385	5857	6603	6220	207	4	0	1	0	1	1	0	44	0	0	0	0	0	0	0	0	0	0	42	0	10	0	0	0	0	0	36	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	37	0	3	0	0	0	1	2	0	0	0	0	0	1	5	13	0	0	0
