"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13338	19913	"Abborrtjärnen"	63.88333	14.45	784	"AWI"	784	3526	4403	3981	0	74	0	0	0	0	624	0	0	0	0	0	11	0	2	0	0	0	0	0	1	0	0	6	4	0	0	0	0	0	0	530	0	0	0	10	0	5	0	0	0	0	1	11	4	0	0	6	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	786	"AWI"	786	3622	4459	4071	0	64	0	0	1	0	454	0	0	0	0	0	5	0	6	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	584	0	0	0	8	0	4	0	0	0	0	1	7	0	0	1	5	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	788	"AWI"	788	3684	4548	4161	0	74	0	0	1	0	527	0	0	0	0	0	10	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	819	0	0	0	6	0	5	0	0	0	0	1	7	0	1	0	10	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	790	"AWI"	790	3811	4585	4244	0	67	0	0	0	0	460	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	599	0	0	0	13	0	2	0	0	0	0	0	4	2	1	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	792	"AWI"	792	3901	4643	4336	0	113	0	1	0	0	551	0	0	0	0	0	17	0	5	0	0	0	0	0	4	0	0	1	4	0	0	0	1	0	0	755	0	0	0	11	0	12	0	0	0	0	0	6	4	0	0	13	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	794	"AWI"	794	4020	4694	4416	0	48	0	0	1	0	598	0	0	0	0	0	3	0	5	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	455	0	0	0	8	0	3	0	0	0	0	1	5	4	0	0	5	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	796	"AWI"	796	4137	4724	4493	0	64	0	0	0	0	556	0	0	0	0	0	9	0	2	0	0	0	0	0	1	0	0	5	3	0	0	0	0	0	0	595	0	0	0	3	0	3	0	0	0	0	0	6	3	0	0	7	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	798	"AWI"	798	4206	4780	4573	0	63	0	0	1	0	478	0	0	0	0	0	2	0	3	0	0	0	0	1	4	0	0	0	8	0	0	0	0	0	0	600	0	0	0	5	0	2	0	0	0	0	0	3	8	0	0	12	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	800	"AWI"	800	4440	4804	4647	0	62	0	0	1	0	420	0	0	0	0	0	3	0	3	1	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	569	0	0	0	5	0	4	0	0	0	0	0	3	0	0	0	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	802	"AWI"	802	4560	4869	4731	0	91	0	0	1	0	383	0	1	0	0	0	7	0	5	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	691	0	0	0	5	0	2	0	0	0	0	0	7	7	0	0	8	1	0
