"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Scrophulariaceae"	"Tilia"	"Urticaceae"
23924	41527	"Monte Areo mire"	43.52889	-5.76889	80	"AWI"	80	6579	7166	6852	37.3188405797101	0	0	0	0	0	0	0	1.08695652173913	0	0	0	0	0	0	0	0	0	0	6.15942028985507	1.44927536231884	53.9855072463768	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	83.5	"AWI"	83.5	6770.5	7261	7060.5	24.3956043956044	0	0	0.21978021978022	0	0	0	0	0.659340659340659	9.23076923076923	0	0	0	0	0	0	0	5.05494505494505	0	0	0	60	0.43956043956044	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	86	"AWI"	86	6902	7361	7182	35.5633802816901	0	2.11267605633803	0.352112676056338	0.352112676056338	0	0	0.352112676056338	0.352112676056338	0	0	0.704225352112676	0	0	0	0	0	0	0	0	0	59.1549295774648	0.704225352112676	0	0.352112676056338
23924	41527	"Monte Areo mire"	43.52889	-5.76889	89.5	"AWI"	89.5	7034	7487	7315.5	26.8382352941176	0.367647058823529	0.735294117647059	0.367647058823529	0.367647058823529	0	0	0.735294117647059	1.10294117647059	29.7794117647059	0	0	0.735294117647059	0.735294117647059	0.367647058823529	0	0	9.19117647058824	0	0	0.735294117647059	22.4264705882353	4.77941176470588	0	0.735294117647059
23924	41527	"Monte Areo mire"	43.52889	-5.76889	92	"AWI"	92	7094	7581	7376	14.4050104384134	0	0	0.626304801670146	0	0	18.580375782881	0	0.835073068893528	16.9102296450939	0	0	0	0	0	0	0	6.05427974947808	0	0	0	42.5887265135699	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	94.5	"AWI"	94.5	7137.5	7686	7425.5	15.7492354740061	0	0	0	0	0	25.8409785932722	0	3.97553516819572	14.2201834862385	0	8.56269113149847	0	0	0	0	0	0	0	0	0	31.651376146789	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	97	"AWI"	97	7194	7769	7482	22.2222222222222	0	0	0.258397932816538	0	0	35.4005167958656	0	0	0	0	0	0	0	0	0	0	3.87596899224806	0	0	0	38.2428940568475	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	99.5	"AWI"	99.5	7234	7871	7539	19.3396226415094	0	0	0.943396226415094	0	0	35.1415094339623	0	0	13.2075471698113	0	0.235849056603774	0	0	0	0	0	0	0	0	0	31.1320754716981	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	102.5	"AWI"	102.5	7320.5	7973.5	7605.5	26.1160714285714	0	0	0.669642857142857	0	0	0	0	0.223214285714286	36.3839285714286	0	0	0	0	0	0	0	5.80357142857143	0	0	0	30.8035714285714	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	105	"AWI"	105	7383	8063	7659	50.7299270072993	0	0	0.72992700729927	0	0	0	0	0.364963503649635	0	0	0	0	0	0	0	0	4.74452554744525	0	0	0	43.4306569343066	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	107.5	"AWI"	107.5	7452	8150	7712.5	34.4569288389513	0	0	0.749063670411985	0	0	0	0	0	0	0	0	0	0	0.374531835205993	0	0	5.2434456928839	0	0	0	59.1760299625468	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	110	"AWI"	110	7506	8238	7769	37.2340425531915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.7659574468085	0	0	0
