"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Larix"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Tilia"	"Ulmus"
26146	45389	"Väike Juusa"	58.05917	26.51722	675	"AWI"	675	6805	7560	7197	66	0	0	0	1	196	0	0	0	0	0	50	0	0	0	0	0	0	0	0	10	34	0	0	21	0	0	3	1	0	50	72
26146	45389	"Väike Juusa"	58.05917	26.51722	695	"AWI"	695	6949	7655	7324	90	0	1	2	0	145	0	0	0	0	0	42	0	0	0	0	0	0	0	0	11	49	0	0	28	0	0	3	1	0	56	79
26146	45389	"Väike Juusa"	58.05917	26.51722	715	"AWI"	715	7110	7750	7451	82	0	0	2	0	145	0	0	0	0	0	42	0	0	0	0	1	0	0	0	16	40	0	0	23	4	0	0	0	0	85	66
26146	45389	"Väike Juusa"	58.05917	26.51722	735	"AWI"	735	7260	7836	7580	83	1	0	5	0	165	0	0	0	0	0	50	0	0	0	0	3	0	0	0	12	39	0	0	5	0	0	0	1	0	60	77
26146	45389	"Väike Juusa"	58.05917	26.51722	755	"AWI"	755	7444	7927	7695	115	0	0	0	1	157	0	0	0	0	0	41	0	0	0	0	0	0	0	0	7	48	0	0	9	0	0	0	1	0	51	72
26146	45389	"Väike Juusa"	58.05917	26.51722	775	"AWI"	775	7654	8018	7818	131	0	0	1	0	147	0	0	0	0	0	36	0	0	0	0	0	0	0	0	7	49	0	0	7	0	0	1	1	0	46	77
26146	45389	"Väike Juusa"	58.05917	26.51722	795	"AWI"	795	7771	8369	8010	110	0	0	1	0	171	0	0	0	0	0	61	0	0	0	0	0	0	0	0	12	30	0	0	3	0	0	1	0	0	73	40
26146	45389	"Väike Juusa"	58.05917	26.51722	815	"AWI"	815	7915	8594	8222	126	0	0	1	0	161	0	0	0	0	0	56	0	0	0	0	1	0	0	0	9	51	0	0	9	0	0	2	0	0	36	51
26146	45389	"Väike Juusa"	58.05917	26.51722	835	"AWI"	835	8083	8793	8429	61	0	0	1	0	234	0	0	0	0	0	41	0	0	0	0	1	0	0	0	6	75	0	0	3	0	0	0	2	0	28	51
26146	45389	"Väike Juusa"	58.05917	26.51722	855	"AWI"	855	8304	8973	8637	88	0	0	2	0	228	0	0	0	0	0	49	0	0	0	0	0	0	0	0	3	55	0	0	8	0	0	0	1	0	22	47
26146	45389	"Väike Juusa"	58.05917	26.51722	875	"AWI"	875	8601	9216	8864	94	0	0	1	0	225	0	0	0	0	0	54	0	1	0	0	1	0	0	0	0	86	0	0	3	0	0	0	0	0	4	33
26146	45389	"Väike Juusa"	58.05917	26.51722	885	"AWI"	885	8741	9380	9033	66	1	0	1	1	196	0	0	0	0	0	30	0	0	0	0	0	0	0	0	3	161	0	0	4	0	0	0	1	0	0	40
26146	45389	"Väike Juusa"	58.05917	26.51722	890	"AWI"	890	8793	9518	9142	51	0	0	1	0	180	0	0	0	0	0	50	0	0	0	0	1	0	0	0	3	186	0	0	0	0	0	0	3	0	2	27
26146	45389	"Väike Juusa"	58.05917	26.51722	895	"AWI"	895	8836	9731	9249	65	1	0	1	0	198	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	155	0	0	35	0	0	0	1	0	3	40
26146	45389	"Väike Juusa"	58.05917	26.51722	900	"AWI"	900	8958	9852	9365	24	0	0	1	0	238	0	0	0	0	0	52	0	0	0	0	1	0	0	0	2	132	0	0	2	0	0	0	1	0	0	49
26146	45389	"Väike Juusa"	58.05917	26.51722	905	"AWI"	905	9097	9911	9489	9	0	0	1	0	264	1	0	0	0	0	28	0	0	0	0	1	0	0	0	2	170	0	0	1	0	0	0	1	0	0	25
26146	45389	"Väike Juusa"	58.05917	26.51722	910	"AWI"	910	9187	9996	9622	6	0	0	2	0	328	1	0	0	0	0	11	0	0	0	0	0	0	0	0	1	129	0	0	3	5	0	0	3	0	0	22
26146	45389	"Väike Juusa"	58.05917	26.51722	915	"AWI"	915	9284	10121	9741	0	0	1	3	0	324	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	141	0	0	0	0	0	0	7	0	0	29
26146	45389	"Väike Juusa"	58.05917	26.51722	920	"AWI"	920	9506	10166	9860	4	0	1	5	0	329	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	125	0	0	0	3	0	0	2	0	0	32
26146	45389	"Väike Juusa"	58.05917	26.51722	925	"AWI"	925	9617	10263	9984	4	0	0	1	1	380	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	91	0	0	1	4	0	0	6	0	0	21
26146	45389	"Väike Juusa"	58.05917	26.51722	930	"AWI"	930	9691	10509	10095	4	0	0	2	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	98	0	0	1	0	0	0	6	0	0	4
26146	45389	"Väike Juusa"	58.05917	26.51722	935	"AWI"	935	9767	10671	10198	0	1	1	2	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	51	0	0	0	0	0	0	9	0	0	2
26146	45389	"Väike Juusa"	58.05917	26.51722	940	"AWI"	940	9818	10840	10301	4	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	2	0	0	1	0	0	1
26146	45389	"Väike Juusa"	58.05917	26.51722	945	"AWI"	945	9861	11079	10392	0	1	0	16	2	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	79	0	0	0	5	0	0	5	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	950	"AWI"	950	9922	11301	10485	6	2	0	5	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	49	0	0	0	0	0	0	6	0	0	1
26146	45389	"Väike Juusa"	58.05917	26.51722	953	"AWI"	953	9977	11362	10546	0	0	1	10	0	461	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	36	0	0	0	0	0	0	5	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	965	"AWI"	965	10126	11754	10799	0	2	2	14	0	139	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	59	0	0	0	0	0	0	2	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	975	"AWI"	975	10294	11963	11010	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	995	"AWI"	995	10588	12439	11427	0	4	0	5	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	1015	"AWI"	1015	10927	12902	11874	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
26146	45389	"Väike Juusa"	58.05917	26.51722	1035	"AWI"	1035	11272	13341	12296	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0
