"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrtus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3186	24356	"Lake Orestiás"	40.55194	21.32222	167	"AWI"	167	4944	6529	5657	2	0	0	2	0	14	0	0	3	0	0	0	3	0	0	0	1	1	1	0	0	0	0	0	22	0	0	0	3	0	0	0	0	1	0	0	8	0	77	0	1	51	0	68	5	0	0	0	2	0	0	0	0	0	0	0	0	1	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	172	"AWI"	172	4984	6598	5754	5.5	2	3	1	0	0	0	0	0	0	2	0	0	0	0	0	5	1	3	2	0	3	0	0	39	0	1	0	0	3	0	0	0	0	0	0	27	0	300	0	0	39	0	164	2	0	0	0	1	0	0	0	0	0	0	1	3	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	176	"AWI"	176	5012	6686	5832	1	2	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	28	1	0	0	5	2	0	0	0	0	0	0	4	0	75.5	0	0	49	6	107	2	1	0	0	1	0	0	0	0	0	0	0	0	2	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	178	"AWI"	178	5026	6732	5867	2.5	1	1	0	0	8	0	0	3	0	2	2	0	0	0	0	0	1	1	2	0	0	0	0	21	0	0	0	8	4	0	0	0	0	0	1	7	0	78	1	3	52	1	68	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	183	"AWI"	183	5057	6885	5958	8	0	1	0	0	16	0	0	10	0	0	0	0	0	0	2	0	4	1	0	0	0	0	3	18	0	0	0	0	3	0	0	0	0	0	0	4	0	34	0	1	140	0	56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	189	"AWI"	189	5233	6935	6066	4	0	0	2	0	11	0	0	0	0	4	0	0	1	0	0	1	0	0	1	0	1	0	1	27	0	0	0	9	1	3	0	0	0	0	0	9	0	33.5	0	0	108	0	68	9	0	0	0	1	0	1	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	196	"AWI"	196	5401	6982	6201	4	0	0	0	0	20	0	0	9	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	13	0	0	0	0	0	0	0	0	3	0	0	2	1	44	0	1	100	0	91	2	0	0	0	2	0	0	0	0	1	0	0	4	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	202	"AWI"	202	5500	7033	6311	4.5	0	1	1	0	24	0	0	1	0	1	0	0	1	2	0	0	0	1	0	0	1	0	1	28	0	0	0	5	0	0	0	0	0	0	1	16	0	65.5	0	3	69	0	123	2	0	0	0	1	0	0	0	0	0	0	1	2	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	208	"AWI"	208	5586	7100	6434	13	0	0	1	0	13	0	0	9	0	3	0	0	0	0	0	1	0	3	0	0	0	0	0	19	0	0	0	3	3	0	0	0	1	0	0	19	0	41	0	2	49	0	101	9	0	0	0	1	0	1	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	215	"AWI"	215	5680	7214	6574	5	0	1	0	0	13	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	22	0	0	0	7	0	0	0	0	0	0	0	10	0	66	0	0	45	0	116	5	0	3	0	2	0	0	0	0	0	0	0	0	0	0
