"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	71	"AWI"	71	2425	2668	2554	0	1	0	0	0	0	164	0	0	0	0	3	0	9	0	0	0	0	3	8	0	0	0	16	288	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	73	"AWI"	73	2446	2693	2579	0	3	0	0	1	0	170	0	0	0	0	2	0	17	0	0	0	0	3	14	0	0	0	12	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	75	"AWI"	75	2477	2704	2608	0	1	0	0	0	0	83	0	1	0	0	0	0	12	0	0	0	0	1	8	0	0	0	16	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	77	"AWI"	77	2497	2722	2637	0	2	1	0	0	0	118	0	0	0	0	0	0	20	0	16	0	0	3	28	0	0	0	14	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	79	"AWI"	79	2535	2739	2672	0	5	0	0	1	0	212	0	0	0	0	0	0	24	0	0	0	0	10	14	0	0	0	7	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	81	"AWI"	81	2560	2770	2710	0	3	0	0	0	0	196	0	0	0	0	2	0	19	0	0	0	0	10	21	0	0	1	12	221	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	83	"AWI"	83	2589	2848	2745	0	2	0	0	2	0	183	0	0	0	0	0	0	20	0	0	0	0	3	15	0	0	0	18	252	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	85	"AWI"	85	2637	2948	2799	0	3	0	0	1	0	204	0	0	0	0	2	0	17	0	0	0	0	3	49	0	0	0	20	185	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	87	"AWI"	87	2664	3086	2851	0	1	0	0	2	0	190	0	0	0	0	3	0	22	0	0	0	0	5	16	0	0	0	14	228	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	89	"AWI"	89	2729	3138	2916	0	0	0	0	0	0	155	0	0	0	0	1	0	9	0	0	0	0	3	6	0	0	0	23	287	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	91	"AWI"	91	2770	3197	2985	0	2	0	0	1	0	165	0	0	0	0	0	0	6	0	0	0	0	3	7	0	0	0	28	266	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	93	"AWI"	93	2826	3258	3045	0	1	0	0	0	0	132	0	0	0	0	2	0	15	0	0	0	0	7	7	0	0	0	19	300	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
