"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14573	22849	"Lake Racze"	53.96802	14.60637	920	"AWI"	920	2024	2740	2421	1	0	140	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	40	0	15	0	0	0	1	0	0	85	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	0	0	240	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	922	"AWI"	922	2179	2799	2510	1	0	159	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	42	0	18	0	0	0	0	0	0	62	0	6	0	0	0	0	0	0	0	0	0	0	0	4	31	0	0	339	0	0	0	0	0	5	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	924	"AWI"	924	2305	2866	2606	0	0	125	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	34	0	13	0	0	0	0	0	0	45	1	1	0	0	0	4	0	0	0	0	0	0	0	0	21	0	0	359	0	0	0	0	0	1	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	926	"AWI"	926	2387	2990	2702	0	0	107	2	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	66	0	20	0	0	0	0	0	0	26	2	5	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	347	0	0	0	0	0	1	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	928	"AWI"	928	2428	3157	2789	2	0	150	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	88	0	18	1	0	0	0	0	0	24	1	6	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	323	0	0	0	0	0	3	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	12	5	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	930	"AWI"	930	2462	3352	2870	0	0	141	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	101	0	14	0	0	0	0	0	0	34	0	15	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	306	0	0	0	0	0	2	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	3	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	932	"AWI"	932	2614	3390	2962	0	1	134	1	0	2	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	85	0	23	0	0	0	0	0	0	29	0	6	0	0	0	1	0	0	0	0	0	0	0	0	18	0	2	246	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	934	"AWI"	934	2747	3429	3053	0	0	150	1	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	93	0	24	0	0	0	0	0	0	16	0	9	0	1	0	1	0	0	0	0	0	0	0	0	16	0	1	185	0	0	0	0	0	1	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	5	3	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	936	"AWI"	936	2847	3508	3148	0	0	205	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	109	0	37	0	0	0	0	0	0	24	0	13	0	0	0	1	0	0	0	0	0	0	0	0	10	0	4	235	0	0	0	0	0	2	0	115	0	0	0	1	0	0	0	0	0	0	0	0	1	0	11	11	1	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	938	"AWI"	938	2926	3600	3241	0	0	201	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	98	0	22	0	0	0	0	0	0	18	1	7	0	0	0	1	0	0	0	0	0	0	0	0	15	0	2	232	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	6	9	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	940	"AWI"	940	2982	3719	3333	1	1	213	1	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	119	0	14	0	0	0	0	0	0	19	1	4	0	0	0	0	0	0	0	0	2	0	0	0	20	0	2	256	0	0	0	0	0	7	0	115	0	0	0	2	0	0	0	0	0	0	0	0	1	0	20	7	11	0	0
