"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	206	"AWI"	206	203	694	450	4	1	0	3	0	0	0	3	0	0	23	0	0	0	0	1	0	0	0	0	0	0	38	9	0	0	0	0	0	9	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	4	0	1	32	0	23	0	1	0	0	41	0	0	0	0	2	4	0	0	0	0	0	3	4	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	208	"AWI"	208	210	701	459	7	1	0	0	0	0	0	2	0	0	11	0	0	1	0	0	0	0	0	1	0	0	77	13	0	0	0	0	0	33	0	2	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	4	0	6	29	0	0	0	0	0	0	45	0	0	0	0	1	1	1	0	0	0	0	1	5	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	210	"AWI"	210	217	712	470	16	0	0	3	0	0	0	11	0	0	13	0	1	0	0	2	0	0	1	0	0	0	51	11	0	0	0	0	0	30	0	1	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	10	0	14	50	0	62	0	1	0	0	76	0	0	0	0	5	3	0	0	0	0	0	1	3	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	212	"AWI"	212	225	721	480	7	6	0	3	0	0	0	2	0	0	26	0	1	0	0	4	0	0	0	0	0	0	46	9	0	0	0	0	0	28	0	3	0	0	0	0	0	9	10	0	0	1	0	0	0	0	0	9	0	11	40	0	52	0	0	0	0	53	0	0	0	1	4	9	0	0	0	0	0	4	7	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	214	"AWI"	214	229	729	491	7	0	28	2	0	0	0	5	0	0	39	0	0	1	0	8	0	0	0	0	0	0	64	10	0	0	0	0	0	19	0	6	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	2	0	11	48	0	44	0	0	0	0	57	0	0	0	0	6	10	0	0	0	0	0	2	11	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	216	"AWI"	216	234	737	500	5	0	0	0	0	0	0	2	0	0	39	0	0	0	0	2	0	0	0	0	0	0	29	19	0	0	0	0	0	12	0	2	0	0	0	0	0	10	6	0	0	1	0	0	0	0	0	5	0	0	15	0	37	0	0	0	1	38	0	0	0	3	4	4	0	0	0	0	0	3	8	2
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	218	"AWI"	218	242	748	510	12	0	0	0	0	0	0	9	0	0	57	0	0	0	0	4	0	0	3	0	0	0	75	11	0	0	0	0	0	23	0	4	0	0	1	0	0	8	10	0	0	1	0	0	0	0	0	7	0	9	43	0	89	0	0	0	0	59	0	0	0	3	5	1	0	0	0	0	0	2	7	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	220	"AWI"	220	256	751	519	8	0	0	0	0	0	0	2	0	0	39	0	0	0	0	1	0	0	0	0	0	0	57	13	0	0	0	0	0	67	0	1	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	9	0	9	57	0	0	0	0	0	0	60	0	0	0	0	2	3	0	0	0	0	0	3	3	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	222	"AWI"	222	269	757	528	4	0	0	5	0	0	0	6	0	0	17	0	1	0	0	2	0	0	0	0	0	0	47	8	0	0	0	0	0	32	0	3	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	8	0	17	50	0	29	0	0	0	1	56	0	0	0	0	3	0	0	0	0	0	0	0	10	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	224	"AWI"	224	285	764	539	9	0	0	1	0	0	0	1	0	0	51	0	1	0	0	1	0	0	0	0	0	0	51	6	0	0	0	0	0	60	0	3	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	16	0	7	33	0	51	0	0	0	0	48	0	0	0	0	6	4	0	0	0	0	0	4	3	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	226	"AWI"	226	297	770	549	10	1	0	0	0	0	0	6	0	0	39	0	0	0	0	3	0	0	0	0	0	0	85	6	0	0	0	0	0	63	0	0	0	0	0	0	0	26	2	0	0	0	0	0	0	0	0	15	0	6	40	0	29	0	0	0	2	72	0	0	0	1	2	2	0	0	0	0	0	5	6	0
