"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	170	"AWI"	170	7626	8259	7935	1	0	104	0	0	0	0	0	0	18	0	0	2	0	0	0	2	1	0	10	0	77	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	8	0	0	0	0	0	5	0	0	80	706	0	0	0	1	0	0	0	0	1	7	0	0	1	2	2	2	6	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	175	"AWI"	175	7679	8375	8013	0	0	61	0	0	0	0	0	0	33	0	0	1	0	0	0	4	0	0	3	0	107	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	11	0	0	0	0	0	4	0	0	146	581	0	0	0	2	0	0	0	1	0	6	0	0	0	0	1	2	5	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	180	"AWI"	180	7761	8449	8095	0	1	93	0	0	2	0	0	0	22	0	0	2	5	0	0	0	0	0	4	0	986	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	2	0	0	7	0	0	74	632	0	0	0	4	0	0	0	0	2	7	0	0	0	0	2	2	5	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	185	"AWI"	185	7819	8531	8179	0	0	88	0	0	0	0	1	0	47	0	0	2	0	0	0	0	0	0	13	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	10	0	0	94	663	0	0	0	2	0	0	0	0	0	7	0	0	1	0	1	3	1	2	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	190	"AWI"	190	7913	8605	8260	0	0	61	0	0	0	0	0	0	56	0	0	2	0	0	0	2	0	0	14	0	194	0	0	0	0	0	0	0	4	0	0	1	0	0	3	0	7	0	0	0	0	0	4	0	0	50	621	0	0	0	6	0	0	0	0	3	3	0	0	1	0	0	2	3	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	195	"AWI"	195	7990	8680	8343	0	1	80	0	0	0	0	0	0	43	0	0	1	0	0	0	1	0	0	5	0	599	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	3	0	0	68	683	0	0	0	2	0	0	0	0	1	14	0	0	0	0	1	1	5	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	200	"AWI"	200	8088	8753	8423	0	0	54	0	0	0	0	1	0	52	0	0	1	0	0	0	2	0	0	1	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	55	622	0	0	0	5	0	0	0	0	9	6	0	0	3	0	5	0	1	3	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	205	"AWI"	205	8204	8807	8501	0	0	159	0	0	0	0	1	0	46	0	0	1	0	0	0	1	0	0	14	0	765	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	19	0	0	0	0	0	9	0	0	41	567	0	0	0	3	0	0	0	0	1	7	0	0	1	2	1	2	7	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	210	"AWI"	210	8283	8884	8579	0	1	92	1	0	0	0	3	0	15	0	0	6	0	0	0	1	1	0	8	0	212	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	34	0	0	0	0	0	11	0	0	40	552	0	0	0	3	0	0	0	0	1	45	0	0	1	0	1	2	6	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	215	"AWI"	215	8389	8941	8647	0	0	88	0	0	0	0	2	0	13	0	0	1	0	0	1	0	0	0	11	0	332	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18	0	0	3	0	0	4	0	0	45	637	0	0	0	1	0	0	2	0	2	16	0	0	1	0	4	2	7	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	220	"AWI"	220	8432	9025	8718	0	0	395	0	0	0	0	2	0	65	0	0	1	0	0	0	0	0	0	5	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	3	0	0	46	346	0	0	0	3	0	0	0	0	5	4	0	0	0	0	2	2	4	3	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	225	"AWI"	225	8482	9072	8774	0	0	144	1	0	0	0	3	0	88	0	0	0	0	0	0	1	0	0	19	0	342	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	1	2	0	23	0	0	70	532	0	0	0	0	0	0	0	1	3	2	0	0	0	0	4	3	8	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	230	"AWI"	230	8517	9141	8829	1	0	114	0	0	0	0	0	0	82	0	0	1	0	0	0	0	0	0	27	0	1159	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	19	0	0	0	0	0	18	0	0	90	506	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	2	7	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	235	"AWI"	235	8568	9195	8884	0	1	110	0	0	0	0	1	0	31	0	0	2	0	0	0	0	0	0	4	0	972	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	12	0	0	0	0	0	10	0	0	77	771	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	6	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	240	"AWI"	240	8613	9251	8939	0	0	78	0	0	0	0	1	0	69	1	0	1	0	0	0	0	0	0	9	0	853	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	17	0	0	1	0	0	10	0	0	74	572	0	0	0	3	0	0	0	0	3	2	0	0	0	0	3	2	13	2	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	245	"AWI"	245	8669	9304	8995	1	1	86	0	0	0	0	1	0	20	0	0	0	0	0	0	6	0	0	5	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	2	0	0	50	931	0	0	0	0	0	0	3	0	7	8	0	0	0	0	0	1	5	3	0	0	0
