"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15700	24078	"Jelení louže"	50.891816	14.276158	245	"AWI"	245	5690	6102	5913	0.12453300124533	0.37359900373599	2.98879202988792	0.12453300124533	0	0.24906600249066	0	18.3063511830635	0	0	0.12453300124533	0	0	17.6836861768369	0	0.87173100871731	0	0	0	0.74719800747198	0.12453300124533	3.98505603985056	0.12453300124533	0	0	0.12453300124533	0.12453300124533	12.5778331257783	12.3287671232877	0	0	0	18.3063511830635	0	0	0	0	0.62266500622665	0	0	0.12453300124533	0.12453300124533	3.48692403486924	6.35118306351183	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	250	"AWI"	250	5788	6158	5984	0.357142857142857	0.238095238095238	6.42857142857143	0.119047619047619	0	0.119047619047619	0	15.8333333333333	0	0	0.119047619047619	0	0	21.9047619047619	0	1.07142857142857	0	0	0	0.476190476190476	0	4.28571428571429	0	0	0	0.476190476190476	0.595238095238095	11.7857142857143	8.92857142857143	0	0	0.833333333333333	12.6190476190476	0	0	0	0	1.07142857142857	0	0	0.119047619047619	0.238095238095238	4.16666666666667	8.21428571428571	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	255	"AWI"	255	5907	6214	6059	0	0	4.06698564593301	0	0	0	0	8.61244019138756	0	0	0	0	0	23.444976076555	0	1.91387559808612	2.39234449760766	0.119617224880383	0	0.239234449760766	0	4.1866028708134	0	0	0	0.717703349282297	0.239234449760766	8.13397129186603	11.4832535885167	0	0	0.119617224880383	20.2153110047847	0	0	0.239234449760766	0	1.31578947368421	0	0.119617224880383	0	0.119617224880383	4.54545454545455	7.6555023923445	0.119617224880383	0
15700	24078	"Jelení louže"	50.891816	14.276158	260	"AWI"	260	6016	6284	6141	0.13986013986014	0.27972027972028	4.33566433566433	0	0	0.41958041958042	0	6.99300699300699	0	0	0	0	0	16.2237762237762	0	0.699300699300699	1.25874125874126	0	0	0.27972027972028	0.13986013986014	2.23776223776224	0	0	0	1.81818181818182	0.13986013986014	10.6293706293706	15.1048951048951	0	0	0	28.6713286713287	0	0	0	0	0.13986013986014	0	0	0.13986013986014	0	4.61538461538462	5.45454545454545	0.13986013986014	0.13986013986014
15700	24078	"Jelení louže"	50.891816	14.276158	265	"AWI"	265	6068	6373	6219	0.106837606837607	0.106837606837607	3.52564102564103	0	0	0.213675213675214	0	15.7051282051282	0	0	0.106837606837607	0	0	13.2478632478632	0	0	0	0.213675213675214	0	0.106837606837607	0.106837606837607	2.02991452991453	0	0	0	0.641025641025641	0	6.83760683760684	9.4017094017094	0	0	0.106837606837607	38.6752136752137	0	0	0	0	0.213675213675214	0	0	0	0	3.73931623931624	4.91452991452991	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	270	"AWI"	270	6137	6448	6293	0	0.239520958083832	3.59281437125748	0	0	0.119760479041916	0	29.1017964071856	0	0	0	0	0	9.10179640718563	0	0	0	0.239520958083832	0	0.359281437125749	0	1.43712574850299	0	0	0.239520958083832	0.359281437125749	0	4.4311377245509	4.67065868263473	0	0	0	41.0778443113772	0	0	0	0	0	0	0	0	0	1.55688622754491	3.47305389221557	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	275	"AWI"	275	6214	6527	6368	0	0.16750418760469	5.86264656616415	0	0	0.16750418760469	0	10.8877721943049	0	0	0	0	0	13.2328308207705	0	0.16750418760469	0	0.16750418760469	0	0.33500837520938	0	2.34505862646566	0	0	0	0.16750418760469	0	6.86767169179229	6.19765494137353	0	0	0	43.21608040201	0	0	0	0	0.16750418760469	0	0	0.16750418760469	0.16750418760469	4.35510887772194	5.36013400335008	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	280	"AWI"	280	6324	6600	6442	0	0	2.25563909774436	0	0	0	0	4.13533834586466	0	0	0	0	0	11.2781954887218	0	0.75187969924812	0	0	0	0	0	0.75187969924812	0	0	0	0	0	7.89473684210526	10.1503759398496	0	0	0.37593984962406	42.8571428571429	0	0	0.37593984962406	0	0	0	0	0	0	16.9172932330827	2.25563909774436	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	285	"AWI"	285	6375	6792	6535	0	0	2.23214285714286	0	0	0	0	5.35714285714286	0	0	0	0	0	14.7321428571429	0	0.446428571428571	0	0	0	0	0	0.892857142857143	0	0	0	0	0	7.58928571428571	7.14285714285714	0	0	0.446428571428571	41.9642857142857	0	0	0	0	0	0	0	0	0	16.0714285714286	3.125	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	290	"AWI"	290	6432	6964	6634	0	0	2.8169014084507	0	0	0	0	14.0845070422535	0	0	0	0	0	36.6197183098592	0	1.40845070422535	0	0	0	1.40845070422535	0	1.40845070422535	0	0	0	0	0	2.8169014084507	11.2676056338028	0	0	0	5.63380281690141	0	0	0	0	0	0	0	0	0	18.3098591549296	4.22535211267606	0	0
