"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lentibulariaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26221	45731	"Isbenttjønn"	59.76475	7.433998	1086	"AWI"	1086	5165	5804	5516	0	48	0	0	0	0	141	0	0	0	0	0	0	15	0	18	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	8	0	0	0	0	2	2	0	1	7	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1090	"AWI"	1090	5316	6056	5667	0	43	0	0	0	0	140	0	0	0	0	0	0	14	0	30	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	302	0	0	0	0	1	0	0	12	2	0	0	0	1	1	0	1	4	2
26221	45731	"Isbenttjønn"	59.76475	7.433998	1094	"AWI"	1094	5410	6348	5806	0	38	0	0	0	0	153	0	0	0	0	0	0	15	1	16	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	10	0	0	0	0	1	1	0	1	7	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1098	"AWI"	1098	5544	6500	5969	0	54	0	0	0	0	0	0	0	0	0	0	0	18	0	22	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	15	0	0	0	0	1	1	1	3	7	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1102	"AWI"	1102	5630	6708	6132	0	36	0	0	0	0	170	0	0	0	0	0	0	3	0	11	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	2	2	0	0	7	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1106	"AWI"	1106	5786	6839	6302	0	37	0	0	1	0	0	0	0	0	0	0	0	9	0	13	0	10	0	0	0	2	0	0	2	0	0	0	0	0	0	0	237	0	0	0	0	4	0	0	14	0	0	0	0	2	1	0	1	5	2
26221	45731	"Isbenttjønn"	59.76475	7.433998	1110	"AWI"	1110	5921	6998	6462	0	49	0	0	0	0	152	0	0	0	0	0	0	6	0	17	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	14	0	0	0	0	3	1	0	2	10	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1114	"AWI"	1114	6070	7102	6628	0	66	0	0	1	0	0	0	0	0	0	0	0	22	0	17	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	7	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1118	"AWI"	1118	6262	7204	6782	0	40	0	0	0	0	129	0	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	298	0	0	0	0	1	0	0	10	0	0	0	0	2	1	0	2	10	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1122	"AWI"	1122	6412	7300	6948	0	87	0	0	1	0	188	0	0	1	1	0	0	20	0	25	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	1	0	2	1	0	1	12	1
