"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14524	22757	"Plešné jezero"	48.775332	13.864648	33	"AWI"	33	435	1782	1264	52.3076923076923	0	0	0	0	0	0.615384615384615	0	0	0	0	0	0	0	0	4	0.923076923076923	0	0	0	0	34.4615384615385	0	0	0	0	0	0	0	0	0	0	0.615384615384615	0	0	0	0	0	0	0	0	5.84615384615385	0	0	0	0	0	0	0	0	0	0	0.615384615384615	0.615384615384615	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	36	"AWI"	36	487	1878	1370	34.8958333333333	0.520833333333333	0	0.260416666666667	0	0	0.260416666666667	0	0	0.260416666666667	0	0	0	0	0	2.86458333333333	0	0	0	0	0	53.3854166666667	0	0	0	0	0	0	0	0	0	0	0.78125	0	0	0	0	0	0	0.260416666666667	0	5.46875	0	0	0	0	0	0	0	0	0	0	0.260416666666667	0.260416666666667	0.260416666666667	0.260416666666667
14524	22757	"Plešné jezero"	48.775332	13.864648	39	"AWI"	39	673	1947	1475	58.6206896551724	0	0	0	0	0	0	0	0	0	0	0.574712643678161	0	0	0	4.59770114942529	0.574712643678161	0	0	0	0	27.0114942528736	0	0	0	0	0	0	0	0	0	0	2.29885057471264	0	0	0	0	0	0	0	0	3.44827586206897	0	0	0	0	0	0	0	0	0	0	0.574712643678161	1.14942528735632	1.14942528735632	0
14524	22757	"Plešné jezero"	48.775332	13.864648	42	"AWI"	42	946	1973	1577	29.4314381270903	0.334448160535117	14.7157190635452	0	0	0	0.334448160535117	0	0	0	0	0.334448160535117	0	0.334448160535117	0	3.01003344481605	0.334448160535117	0	0	0	0	39.7993311036789	1.33779264214047	0	0	0	0	0	0	0	0	0	4.34782608695652	0	0	0	0	0	0	0	0	3.67892976588629	0	0	0.334448160535117	0	0	0	0	0	0	0	0.668896321070234	1.00334448160535	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	45	"AWI"	45	1214	2009	1678	29.4964028776978	0	0	0	0	0	0.719424460431655	0	0	0	0	0	0	0	0	32.3741007194245	1.07913669064748	0	0	0	0	30.9352517985612	0.719424460431655	0	0	0	0	0	0	0	0	0	1.07913669064748	0	0	0	0	0	0	0	0	2.87769784172662	0	0	0	0	0	0	0	0	0	0	0	0.719424460431655	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	48	"AWI"	48	1457	2059	1778	25.5725190839695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19847328244275	1.90839694656489	0	0	0	0	61.0687022900763	0	0	0	0	0	0	0	0	0	0	2.67175572519084	0	0	0	0	0	0	0	0	3.81679389312977	0	0	0	0	0	0	0	0	0	0	0.381679389312977	0.381679389312977	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	51	"AWI"	51	1674	2157	1885	40.5857740585774	0.418410041841004	0	0	0	0	0.418410041841004	0	0	0	0	0	0	0.418410041841004	0	3.76569037656904	0.836820083682008	0	0	0	0	48.5355648535565	0.418410041841004	0	0	0	0	0	0	0	0	0	0.836820083682008	0	0	0	0	0	0	0	0	2.92887029288703	0	0	0	0	0	0	0	0	0	0	0	0.836820083682008	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	54	"AWI"	54	1789	2284	1997	35.632183908046	0.383141762452107	0	0	0	0	0.383141762452107	0	0	0	0	0	0	0	0	2.29885057471264	0	0	0	0	0	44.8275862068966	0.766283524904214	0	0	0	0	0	0	0	0	0	4.21455938697318	0	0	0	0	0	0	0	0	11.1111111111111	0	0	0	0	0	0	0	0	0	0	0.383141762452107	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	57	"AWI"	57	1877	2405	2106	33.6363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42424242424242	3.03030303030303	0	0	0	0	20.3030303030303	0	0	0	0	0	0	0	0	0	0	3.63636363636364	32.4242424242424	0	0	0	0	0	0	0	3.63636363636364	0	0	0.303030303030303	0	0	0	0	0	0	0	0.303030303030303	0.303030303030303	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	60	"AWI"	60	1949	2523	2213	44.1025641025641	0	8.46153846153846	0	0	0	1.02564102564103	0	12.5641025641026	0.256410256410256	0	0	0	0	0	2.82051282051282	0.769230769230769	0	0	0	0	23.0769230769231	0.256410256410256	0	0	0	0	0	0	0	0	0	0.769230769230769	0	0	0	0	0	0	0	0	5.38461538461539	0	0	0	0	0	0	0	0	0	0	0.256410256410256	0.256410256410256	0	0
