"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3110	4047	"Mobeche Forest"	48.51667	-1	117	"AWI"	117	571	780	665	0	182	0	3	2	0	0	3	0	0	1	23	3	0	0	11	0	0	0	0	0	0	0	0	1	1	37	0	17	0	0	0	1	2	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	120	"AWI"	120	578	795	677	0	240	1	7	3	0	0	4	0	0	0	16	2	0	0	2	2	0	0	0	0	0	2	0	1	2	42	0	18	0	0	0	0	6	0	0	1	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	122	"AWI"	122	582	807	684	0	245	0	4	1	0	0	2	0	0	0	29	3	0	0	5	3	0	3	0	0	0	0	0	0	0	36	0	21	0	0	0	4	3	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	125	"AWI"	125	589	824	694	0	263	1	4	6	3	0	3	0	0	2	32	9	0	0	1	2	0	0	0	0	0	0	0	0	3	58	0	34	0	0	0	5	5	0	0	2	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	127	"AWI"	127	598	831	701	0	222	0	2	6	1	0	10	0	0	1	37	2	0	0	4	1	0	2	0	0	0	1	0	0	3	0	0	24	0	0	0	1	4	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	130	"AWI"	130	609	842	713	0	252	0	3	0	1	0	2	0	0	0	19	0	0	0	4	1	0	0	0	1	0	1	0	0	3	0	0	15	0	0	0	0	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	132	"AWI"	132	615	849	720	0	131	0	1	1	0	0	3	0	0	0	27	4	0	0	5	0	0	1	0	0	0	0	0	0	2	33	0	15	0	0	0	0	6	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	135	"AWI"	135	622	863	732	0	125	0	1	1	0	0	4	0	0	0	18	2	0	0	7	1	0	0	0	0	0	0	0	0	4	0	0	24	0	0	0	0	2	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	137	"AWI"	137	625	874	740	0	102	0	2	1	0	0	7	0	0	0	20	0	0	0	7	0	0	0	0	0	0	0	0	0	1	27	1	19	0	0	0	0	7	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	140	"AWI"	140	637	884	750	0	121	0	0	0	0	0	2	0	0	0	16	1	0	0	5	2	0	0	0	0	0	0	0	0	0	18	0	24	0	0	0	0	2	0	0	1	0	0
