"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
9591	14110	"Kelly's Lough"	52.958352	-6.426246	190	"AWI"	190	1407	2025	1675	0	46	0	1	0	0	0	27	0	0	1	0	0	0	219	0	23	0	0	0	10	0	0	95	0	0	0	1	0	0	0	0	0	9	6	0	0	0	59	0	0	0	0	4	0	0	1	4	0	1	12	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	195	"AWI"	195	1476	2091	1767	0	41	0	0	2	1	0	45	0	0	1	0	0	0	194	0	19	0	0	0	17	0	0	97	0	0	0	0	3	0	0	0	0	9	9	138	0	0	49	6	15	1	9	5	0	0	0	1	0	1	16	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	200	"AWI"	200	1516	2220	1853	0	45	1	2	0	0	0	35	0	0	1	0	0	0	213	0	14	0	0	0	13	0	1	83	0	0	0	0	1	0	0	0	0	10	13	0	0	0	60	3	0	1	0	7	0	0	0	4	0	0	27	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	205	"AWI"	205	1592	2278	1936	0	61	0	2	2	1	0	31	0	0	0	0	0	0	191	0	25	0	0	0	17	0	1	116	0	0	1	0	2	0	0	0	0	15.5	7	0	0	0	58	0	14	0	0	7	0	0	0	3	0	0	19	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	210	"AWI"	210	1630	2372	2019	0	57	0	2	0	1	0	14	0	0	0	0	1	0	176	0	28	0	0	1	15	0	0	89	0	0	3	0	0	0	0	0	0	14	0	0	0	0	50	3	0	0	0	4	0	0	0	2	0	0	22	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	215	"AWI"	215	1745	2423	2109	0	61	0	2	0	1	0	22	0	0	1	0	0	0	189	0	17	75	0	0	12	0	0	103	0	0	0	0	0	0	0	0	0	14	4	0	0	1	59	4	10	2	0	1	0	0	0	4	0	0	27	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	220	"AWI"	220	1794	2507	2206	0	56	0	0	2	0	0	17	0	0	0	0	0	0	170	0	23	0	0	0	14	0	0	47	0	0	0	0	0	0	0	0	0	21.5	5	0	0	0	58	0	0	0	0	4	0	0	0	1	0	0	22	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	225	"AWI"	225	1928	2543	2281	0	58	0	0	0	2	0	35	0	0	0	0	0	0	178	0	32	0	0	0	26	0	0	100	0	0	0	0	0	0	0	0	0	14	6	0	0	0	90	0	0	0	0	4	0	0	0	7	0	2	30	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	230	"AWI"	230	2005	2610	2364	0	54	1	0	1	1	0	29	0	0	0	0	0	0	176	0	25	0	0	0	13	0	1	118	0	0	0	1	0	0	0	0	0	19.5	10	0	0	0	79	6	11	0	0	7	0	0	2	5	0	0	19	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	235	"AWI"	235	2169	2642	2444	0	39	0	1	2	1	0	29	0	0	1	0	0	0	183	0	21	0	0	0	22	0	3	109	0	0	2	0	0	0	0	0	0	10	0	0	0	0	50	8	0	1	0	7	0	0	0	5	0	1	26	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	240	"AWI"	240	2264	2704	2526	0	53	0	1	0	0	0	43	0	0	0	0	1	0	218	0	13	0	0	0	30	0	2	75	0	0	5	0	0	0	0	0	0	7.5	10	0	0	0	64	0	10	0	0	5	0	0	0	5	0	0	22	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	245	"AWI"	245	2458	2740	2641	0	38	0	2	0	0	0	33	0	0	3	0	0	0	227	0	18	0	0	0	20	0	5	70	0	0	1	0	1	0	0	0	0	4	0	0	0	0	68	0	11	1	0	8	0	0	0	5	0	0	25	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	250	"AWI"	250	2535	2973	2742	0	87	1	0	1	0	0	22	0	0	0	0	0	0	253	0	28	0	0	1	17	0	0	137	0	0	0	1	2	0	0	0	0	17.5	9	0	0	0	111	0	7	0	0	6	0	0	0	1	0	1	35	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	255	"AWI"	255	2665	3570	3028	0	72	0	0	2	1	0	26	0	0	0	0	1	0	177	0	7	0	0	0	7	0	0	79	0	0	1	0	0	0	0	0	0	28.5	6	0	0	0	115	0	0	0	0	8	0	0	0	4	0	0	25	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	260	"AWI"	260	2721	4335	3301	0	89	0	1	0	0	0	27	0	0	0	0	0	0	235	0	15	0	0	0	14	0	0	127	0	0	0	0	2	0	0	0	0	26	0	0	0	0	154	0	5	0	0	5	0	0	0	5	0	1	31	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	265	"AWI"	265	2928	4468	3616	0	91	0	2	0	1	0	25	0	0	1	0	0	0	189	0	6	0	0	0	15	0	1	82	0	0	1	0	0	0	0	0	0	24.5	0	0	0	0	106	0	0	0	0	3	0	0	0	1	0	1	24	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	270	"AWI"	270	3062	4789	3934	0	80	0	2	1	0	0	27	0	0	0	0	0	0	185	0	9	0	0	0	11	0	2	90	0	0	1	0	0	0	0	0	0	33	5	0	0	0	104	0	10	0	0	2	0	0	0	3	0	0	21	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	275	"AWI"	275	3485	4911	4223	0	70	1	0	1	0	0	30	0	0	0	0	0	0	212	0	3	0	0	0	13	0	1	102	0	0	1	0	0	0	0	0	0	23.5	0	0	0	0	127	0	0	0	0	6	0	0	0	3	0	0	37	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	280	"AWI"	280	3682	5143	4555	0	56	0	0	1	0	0	30	0	0	0	0	0	0	262	0	11	0	0	0	17	0	0	97	0	0	1	0	1	0	0	0	0	24	0	0	0	0	156	0	0	0	0	2	0	0	0	5	0	0	41	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	285	"AWI"	285	4291	5232	4809	0	55	0	1	0	1	0	18	0	0	0	0	0	0	236	0	8	0	0	0	16	0	0	78	0	0	0	0	1	0	0	0	0	35.5	0	0	0	0	131	0	0	0	0	3	0	0	0	2	0	0	44	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	290	"AWI"	290	4695	5397	5073	0	81	0	2	0	0	0	24	0	0	1	0	1	0	201	0	8	0	0	0	14	0	1	113	0	0	0	0	0	0	0	0	0	42	2	0	0	0	70	3	0	0	0	3	0	0	0	0	0	2	48	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	295	"AWI"	295	4969	5470	5210	0	80	0	2	1	0	0	27	0	0	0	0	0	0	276	0	9	0	0	0	8	0	1	108	0	0	0	0	0	0	0	0	0	54	0	0	0	0	151	8	6	1	0	2	0	0	0	0	0	0	31	0
