"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cucurbitaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14556	22820	"Löddigsee"	53.43333	11.85	112	"AWI"	112	1356	1576	1509	0	0	164	0	0	0	0	2	0	108	0	5	0	1	0	0	0	0	0	22	0	143	0	0	0	0	0	0	40	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	65	0	0	0	0	0	0	92	0	0	0	2	0	5	0	0	0	0	0	0	0	0	3	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	115	"AWI"	115	1406	1590	1533	0	3	136	3	0	0	0	5	0	77	0	2	2	1	0	0	0	0	0	29	0	222	0	0	0	0	0	0	60	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	0	0	3	100	0	0	0	0	0	0	78	0	0	0	3	0	3	0	0	0	0	0	1	0	0	4	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	119	"AWI"	119	1459	1610	1564	0	1	87	0	0	0	0	4	0	41	0	1	0	0	0	0	0	0	0	25	0	284	0	0	0	0	0	0	78	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	72	0	0	0	0	0	0	141	0	0	0	6	0	3	0	0	0	0	0	1	0	0	1	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	122	"AWI"	122	1490	1626	1588	0	0	149	1	0	0	0	4	0	35	0	0	0	0	0	0	0	0	0	55	0	1055	0	0	0	0	0	0	81	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	59	0	0	0	0	0	0	93	0	0	0	1	0	3	0	0	0	0	0	0	0	0	4	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	127	"AWI"	127	1540	1667	1633	0	8	122	3	0	0	0	1	0	47	0	0	0	0	0	0	0	0	0	62	0	107	0	0	0	0	0	0	136	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	32	0	0	0	0	0	0	94	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	129	"AWI"	129	1558	1690	1653	0	0	124	1	0	0	0	2	0	51	0	0	0	0	0	0	0	0	0	31	0	133	0	0	0	0	0	0	116	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	3	58	0	0	0	0	0	0	102	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	131	"AWI"	131	1570	1715	1673	0	0	114	1	0	0	0	4	0	44	0	1	0	0	0	0	0	0	0	33	0	108	0	0	0	0	0	0	45	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	41	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
14556	22820	"Löddigsee"	53.43333	11.85	137	"AWI"	137	1605	1814	1729	0	0	116	0	0	0	0	5	0	68	0	0	0	0	0	0	0	0	0	35	0	83	0	0	0	0	0	0	79	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	63	0	0	0	0	0	0	96	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	138	"AWI"	138	1610	1831	1738	0	0	168	1	0	0	0	9	0	45	0	0	0	0	0	0	0	0	0	44	0	139	0	0	0	0	0	0	49	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	65	0	0	0	0	0	0	135	0	0	0	2	0	3	0	0	0	0	0	0	0	0	3	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	143	"AWI"	143	1628	1917	1782	1	1	102	1	0	0	0	11	0	69	0	3	0	0	0	0	0	0	0	33	0	495	0	0	0	0	0	0	97	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	46	0	0	0	0	0	0	119	0	0	0	4	0	7	0	0	0	0	0	0	0	0	4	0	0	0
