"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26142	45377	"Mustjärve bog"	59.075	24.1	125	"AWI"	125	1853	2437	2132	0	201	1	0	4	0	382	0	0	0	0	0	0	18	14	0	0	0	0	0	0	2	0	4	0	0	1	104	265	0	0	0	1	1	0	9	0	0	0	1	0	2	0	0	2	10	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	135	"AWI"	135	1923	2517	2196	0	164	1	0	6	0	292	0	0	0	0	0	0	5	21	0	0	43	0	0	0	4	0	0	0	0	1	126	404	0	0	0	0	0	0	13	0	0	0	1	0	3	0	0	1	1	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	145	"AWI"	145	2007	2565	2264	0	180	0	0	4	0	388	0	0	0	0	0	0	30	23	0	0	25	0	0	0	6	0	0	0	0	1	143	250	0	0	0	0	0	0	13	0	0	0	1	0	6	0	0	2	4	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	155	"AWI"	155	2052	2641	2327	0	207	0	0	7	0	482	0	0	0	0	0	0	30	10	0	0	28	0	0	0	2	0	0	0	0	4	75	180	0	0	0	0	0	0	12	0	0	0	0	0	4	0	0	2	3	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	165	"AWI"	165	2190	2704	2432	0	192	2	0	6	0	295	0	0	0	0	0	1	9	7	0	0	34	0	3	0	5	0	0	0	0	4	193	214	0	0	0	0	0	0	18	0	0	0	0	0	5	0	0	4	9	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	170	"AWI"	170	2222	2808	2488	1	107	0	0	1	0	410	0	0	0	0	0	0	18	4	0	0	128	0	1	0	4	0	1	0	0	1	206	205	0	0	0	0	0	0	23	0	0	0	0	0	1	0	2	1	15	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	175	"AWI"	175	2246	2946	2543	0	163	2	2	7	0	356	0	0	0	0	1	0	23	9	0	0	57	0	0	0	9	0	0	0	0	1	212	216	0	0	0	0	0	0	14	0	0	0	0	0	3	0	1	3	2	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	180	"AWI"	180	2267	3084	2601	1	314	0	0	6	0	349	0	0	0	0	0	0	31	8	0	0	230	0	1	0	6	0	2	0	0	2	162	88	0	0	0	0	0	0	17	0	0	0	1	0	4	0	0	8	25	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	185	"AWI"	185	2341	3190	2694	1	169	1	1	6	0	236	0	0	0	0	0	0	38	18	0	0	0	0	1	0	6	0	2	0	0	1	243	224	0	0	0	0	0	0	30	0	0	0	0	0	5	0	0	9	12	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	190	"AWI"	190	2393	3312	2789	0	230	0	0	8	0	358	0	0	0	0	0	0	41	13	0	0	0	0	1	0	9	0	0	0	0	3	122	184	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	13	14	0	0
