"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	415	"AWI"	415	9706	10615	10159	0	0	0	0	0	0	1	0	0	0	50	0	0	0	0	0	0	0	0	0	120	0	0	1	0	0	0	1	0	21	1	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	420	"AWI"	420	9757	10657	10214	0	96	0	0	0	0	14	0	0	0	46	25	0	0	0	0	0	3	0	0	60	0	0	15	0	0	0	0	2	3	17	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	425	"AWI"	425	9801	10716	10268	0	84	1	0	0	0	1	0	0	0	54	0	0	0	1	0	0	0	0	0	100	0	0	1	1	0	0	0	0	0	1	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	430	"AWI"	430	9832	10793	10322	0	0	0	0	0	0	5	0	0	0	29	9	0	0	0	0	0	0	0	0	58	0	0	6	0	0	0	0	0	0	38	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	440	"AWI"	440	9957	10868	10405	0	0	0	0	0	0	0	4	0	0	26	9	0	0	0	0	0	0	0	0	145	0	0	13	3	0	0	0	3	0	28	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	445	"AWI"	445	10011	10914	10447	0	57	0	0	0	0	7	0	0	0	39	7	0	0	0	0	0	0	0	0	90	0	0	5	1	0	0	0	1	0	34	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	450	"AWI"	450	10066	10976	10488	0	0	0	0	0	0	0	4	0	0	34	9	0	0	0	0	0	0	0	0	116	0	0	4	1	0	0	0	5	5	21	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	455	"AWI"	455	10113	11033	10531	0	0	1	0	0	0	4	0	0	0	19	4	0	0	0	1	0	0	0	0	108	0	0	9	4	0	0	1	0	1	15	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	460	"AWI"	460	10146	11088	10573	0	0	1	0	0	0	4	0	0	0	25	10	0	0	0	0	0	0	0	0	74	0	0	0	2	0	0	0	0	0	13	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	465	"AWI"	465	10180	11164	10614	0	0	0	0	0	0	25	0	0	0	16	1	0	0	0	0	7	0	0	0	103	0	0	13	4	0	0	1	0	0	11	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	470	"AWI"	470	10212	11246	10652	0	0	0	0	0	0	12	0	0	0	20	10	0	0	6	0	1	0	0	0	120	0	0	0	4	0	0	0	0	0	7	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	475	"AWI"	475	10251	11319	10688	0	0	0	0	0	0	28	0	0	0	46	1	0	0	0	0	1	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	480	"AWI"	480	10304	11370	10723	0	97	0	0	0	0	16	0	0	0	21	20	0	0	0	0	4	0	0	0	62	0	0	0	1	0	0	0	0	0	10	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	485	"AWI"	485	10348	11419	10758	0	0	0	0	0	0	4	0	0	0	27	1	0	0	0	0	0	0	0	0	96	0	0	0	9	0	0	1	0	0	9	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	490	"AWI"	490	10388	11467	10789	0	0	0	0	0	0	21	0	0	0	56	5	0	0	0	0	0	0	0	0	56	0	0	0	2	0	0	4	0	0	7	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	495	"AWI"	495	10420	11535	10825	0	50	0	0	1	0	5	0	0	0	40	1	0	0	0	0	5	4	0	0	105	0	0	9	6	0	0	18	4	1	7	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	500	"AWI"	500	10444	11610	10859	0	0	3	0	1	0	35	0	0	0	13	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	3	7	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	505	"AWI"	505	10465	11667	10890	0	0	6	0	0	0	17	0	0	0	33	1	0	0	0	0	7	1	0	0	83	0	0	1	27	0	0	6	1	0	10	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	510	"AWI"	510	10484	11745	10923	0	0	3	0	0	0	16	0	0	0	44	0	0	0	5	0	1	0	0	0	76	0	0	0	7	0	0	4	6	0	3	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	515	"AWI"	515	10501	11814	10957	0	0	0	0	1	0	18	0	0	0	54	0	0	0	0	0	0	0	1	0	67	0	0	0	8	0	0	15	1	0	7	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	520	"AWI"	520	10552	11875	10988	0	0	0	0	0	0	46	0	0	0	58	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	20	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	525	"AWI"	525	10611	11931	11023	0	51	1	0	7	0	26	0	0	0	51	7	0	0	0	0	1	0	0	0	110	0	0	0	1	0	0	0	0	0	11	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	530	"AWI"	530	10664	11981	11055	0	0	0	0	0	0	8	0	0	0	62	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	15	0
