"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Iridaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3096	4031	"Lake Ermistu"	58.36667	23.96667	259	"AWI"	259	4498	6785	5682	0	25.4196642685851	0	0	0.959232613908873	0	0	16.5467625899281	0	0	0	0	8.15347721822542	0	0	0.479616306954436	0	0	0	0.239808153477218	0	0	0	16.7865707434053	16.0671462829736	0	1.43884892086331	0	0.479616306954436	0	5.51558752997602	0.479616306954436	0	0	0	0	0	0	1.67865707434053	5.75539568345324	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	264	"AWI"	264	4623	6889	5790	0	20.9026128266033	0	0	0	0	0	16.1520190023753	0	0.712589073634204	0	0	7.60095011876485	0	0	0.237529691211401	0	0	0	2.13776722090261	0	0	0	24.7030878859857	15.9144893111639	0	0	0	0.475059382422803	0	4.75059382422803	0.237529691211401	0	0	0	0.237529691211401	0	0	1.66270783847981	4.27553444180523	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	269	"AWI"	269	4729	7020	5899	0.238663484486874	19.8090692124105	0	0	0.238663484486874	0	0	24.1050119331742	0	0.477326968973747	0	0	5.01193317422434	0	0	0.477326968973747	0	0	0	1.43198090692124	0	0	0	13.8424821002387	21.7183770883055	0	0	0	0.238663484486874	0	4.05727923627685	0	0	0	0	0.477326968973747	0	0	2.86396181384248	5.01193317422434	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	274	"AWI"	274	4857	7117	6009	0	18.2628062360802	0	0	0	0	0	23.162583518931	0	0.89086859688196	0	0	8.01781737193764	0	0	0.66815144766147	0	0	0	1.33630289532294	0	0	0	14.2538975501114	20.0445434298441	0	0.66815144766147	0	0.89086859688196	0	3.78619153674833	0	0	0	0	0	0	0	1.33630289532294	6.45879732739421	0.22271714922049
3096	4031	"Lake Ermistu"	58.36667	23.96667	279	"AWI"	279	4966	7229	6123	0	22.1686746987952	0	0	0	0.240963855421687	0	23.3734939759036	0	0.240963855421687	0	0	7.2289156626506	0	0	0.481927710843374	0	0	0	1.92771084337349	0	0	0	8.67469879518072	21.6867469879518	0	0	0	0.481927710843374	0	4.81927710843374	0	0	0	0	0	0	0	2.89156626506024	4.81927710843374	0.963855421686747
3096	4031	"Lake Ermistu"	58.36667	23.96667	284	"AWI"	284	5086	7320	6234	0	24.7191011235955	0	0	0	0	0	27.247191011236	0	0	0	0	5.61797752808989	0	0	0	0	0	0	2.80898876404494	0	0	0	9.26966292134832	16.2921348314607	0	0	0	0.561797752808989	0	8.70786516853933	0	0	0	0	0	0	0	1.96629213483146	2.80898876404494	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	289	"AWI"	289	5189	7432	6340	0	28.2208588957055	0	0	0	0	0	22.4948875255624	0	0.613496932515337	0	0	8.1799591002045	0	0	0.613496932515337	0	0	0	1.22699386503067	0	0	0	7.56646216768916	17.3824130879346	0	1.22699386503067	0	0.613496932515337	0	5.93047034764826	0	0	0	0	0	0	0	2.04498977505112	3.88548057259714	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	294	"AWI"	294	5315	7531	6458	0.560224089635854	22.6890756302521	0	0	0	0	0	25.4901960784314	0	0.280112044817927	0	0	3.36134453781513	0	0	0.560224089635854	0	0	0	1.12044817927171	0	0	0	5.60224089635854	24.3697478991597	0	0	0	0.840336134453782	0	5.88235294117647	0	0	0	1.12044817927171	0	0	0	3.0812324929972	4.76190476190476	0.280112044817927
3096	4031	"Lake Ermistu"	58.36667	23.96667	299	"AWI"	299	5431	7635	6576	0	21.5633423180593	0	0.269541778975741	0	0	0	29.1105121293801	0	0	0	0	5.12129380053908	0	0	0.269541778975741	0	0	0	1.34770889487871	0	0	0	7.00808625336927	23.1805929919137	0	0	0	0	0	5.12129380053908	0	0	0	0	0.269541778975741	0	0	4.31266846361186	2.42587601078167	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	304	"AWI"	304	5549	7733	6682	0	21.9948849104859	0.51150895140665	0.255754475703325	0.255754475703325	0.255754475703325	0	24.8081841432225	0	0	0	0	5.88235294117647	0	0	1.0230179028133	0	0	0	2.0460358056266	0	0	0	7.41687979539642	20.2046035805627	0	0.767263427109974	0	0	0	6.1381074168798	0.255754475703325	0.51150895140665	0	0	0	0	0	3.32480818414322	4.34782608695652	0
