"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
11582	17344	"Diheen"	52.369384	-8.170892	79	"AWI"	79	342	481	405	0	14.6443514644351	0	2.92887029288703	1.25523012552301	0	0	3.34728033472803	0	1.67364016736402	0	0	0	0	45.1882845188285	5.02092050209205	0	0	0	2.09205020920502	0	0	0.418410041841004	0	0	0	0	0	0.418410041841004	4.60251046025105	0	0	5.02092050209205	1.25523012552301	4.60251046025105	5.02092050209205	0	0.836820083682008	0	0	0	0	0	1.67364016736402	0
11582	17344	"Diheen"	52.369384	-8.170892	82	"AWI"	82	355	496	417	0	12.860310421286	0.443458980044346	0.443458980044346	0	0.443458980044346	0	3.54767184035477	0	2.66075388026608	0	0	0.443458980044346	0	50.1108647450111	4.43458980044346	0	0	0	2.21729490022173	0	0	0.443458980044346	0	0	0.443458980044346	0	0	1.10864745011086	5.7649667405765	0	0	9.31263858093126	0.443458980044346	0	3.99113082039911	0	0	0	0	0	0	0	0.886917960088692	0
11582	17344	"Diheen"	52.369384	-8.170892	85	"AWI"	85	368	511	430	0	8.69565217391304	0	0.404448938321537	0	0	0	1.61779575328615	0	1.61779575328615	0	0	0	0	21.840242669363	3.2355915065723	0	0	0	0.606673407482305	0	0	0	0	0	0	0	0	0.303336703741153	0	53.1850353892821	0.202224469160768	4.04448938321537	1.21334681496461	0	2.22446916076845	0	0	0	0	0	0	0	0.606673407482305	0.202224469160768
11582	17344	"Diheen"	52.369384	-8.170892	88	"AWI"	88	380	524	442	0	10.4384133611691	0.417536534446764	0.835073068893528	0	1.67014613778706	0	3.75782881002088	0	2.08768267223382	0	0	0.417536534446764	0	43.4237995824635	5.8455114822547	0	0	0	0.835073068893528	0	0	0	0	0	0.835073068893528	0	0	0.626304801670146	5.8455114822547	0	0	5.42797494780793	0.835073068893528	7.51565762004175	5.8455114822547	0	0.417536534446764	0	0	1.25260960334029	0	0	1.67014613778706	0
11582	17344	"Diheen"	52.369384	-8.170892	93	"AWI"	93	401	546	463	0	13.0353817504656	0	2.97951582867784	0	0.74487895716946	0	4.09683426443203	0	1.11731843575419	0	0	0	0	50.6517690875233	3.7243947858473	0	0	0	1.11731843575419	0	0	0	0	0	0.37243947858473	0	0	0.558659217877095	4.46927374301676	0	0	4.84171322160149	1.11731843575419	5.95903165735568	2.97951582867784	0	1.11731843575419	0	0	0.37243947858473	0	0	0.74487895716946	0
11582	17344	"Diheen"	52.369384	-8.170892	98	"AWI"	98	422	571	484	0	12.1495327102804	0	2.33644859813084	0	0	0	4.67289719626168	0	1.86915887850467	0	0	0	0	47.6635514018692	6.07476635514019	0	0	0	0.467289719626168	0	0	0	0	0	0	0	0	0.467289719626168	3.27102803738318	0	0	8.41121495327103	0.467289719626168	4.67289719626168	3.73831775700935	0	0.934579439252336	0	0	0	0	0	2.80373831775701	0
11582	17344	"Diheen"	52.369384	-8.170892	102	"AWI"	102	441	589	499	0	14.0096618357488	0	2.41545893719807	0	0	0	2.41545893719807	0	3.38164251207729	0	0	0	0	51.6908212560386	5.79710144927536	0	0	0	0	0	0	0	0	0	0.483091787439614	0	0	2.41545893719807	0	0	0.483091787439614	7.2463768115942	0.966183574879227	0	6.28019323671498	0	0.966183574879227	0	0	0	0	0	1.44927536231884	0
11582	17344	"Diheen"	52.369384	-8.170892	106	"AWI"	106	459	607	516	0	6.50195058517555	0	3.12093628088427	0	0	0	2.08062418725618	0	0.780234070221066	0	0	0.520156046814044	0	22.1066319895969	3.38101430429129	0	0	0	0	0	0	0	0	0.520156046814044	0	0	0	1.1703511053316	2.60078023407022	48.3745123537061	0	3.12093628088427	0	2.3407022106632	2.3407022106632	0	0.260078023407022	0	0	0.260078023407022	0	0	0.520156046814044	0
11582	17344	"Diheen"	52.369384	-8.170892	111	"AWI"	111	484	628	537	0	13.8424821002387	0.477326968973747	3.34128878281623	0.477326968973747	0.477326968973747	0	4.77326968973747	0	0.954653937947494	0	0	0.477326968973747	0	48.2100238663485	6.20525059665871	0	0	0	0.477326968973747	0	0	0	0	0	0.477326968973747	0	0	0.715990453460621	7.15990453460621	0	0	5.25059665871122	0.477326968973747	0	5.25059665871122	0	0.954653937947494	0	0	0	0	0	0	0
11582	17344	"Diheen"	52.369384	-8.170892	116	"AWI"	116	510	649	557	0	5.46792849631966	0	1.89274447949527	0.210304942166141	0.210304942166141	0	2.73396424815983	0	1.68243953732913	0	0	0	0	21.4511041009464	3.36487907465825	0	0	0	0	0	0	0	0	0	0	0.420609884332282	0	0.946372239747634	3.5751840168244	44.3743427970557	0	4.20609884332282	0.841219768664564	3.5751840168244	3.15457413249211	0	0.210304942166141	0	0	0	0	0	1.68243953732913	0
