"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	208.5	"AWI"	208.5	4158.5	4536	4343.5	0	35	0	1	1	0	3	0	0	0	133	59	0	0	1	0	0	7	0	0	0	0	0	1	0	0	0	45	1	0	0	0	0	0	1	0	0	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	212.5	"AWI"	212.5	4215.5	4601.5	4404	0	24	0	0	0	0	3	0	0	0	136	72	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	54	0	0	0	0	0	0	0	0	1	7	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	216.5	"AWI"	216.5	4270.5	4668.5	4465	0	28	0	0	0	0	5	0	0	0	105	69	0	0	3	0	0	5	0	0	0	0	0	3	0	0	0	60	0	0	0	0	0	0	0	0	1	2	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	224.5	"AWI"	224.5	4376	4787.5	4589.5	0	33	0	0	0	0	8	0	0	0	110	76	0	0	1	0	0	5	0	0	0	0	0	2	0	0	0	35	1	0	1	0	0	0	0	0	1	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	232.5	"AWI"	232.5	4506.5	4892.5	4707.5	0	20	0	0	0	0	1	0	0	0	115	89	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	1	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	240.5	"AWI"	240.5	4629	4993.5	4824	0	31	0	0	0	0	7	0	0	0	133	43	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	36	0	0	0	0	0	0	0	0	0	4	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	248.5	"AWI"	248.5	4834	5100.5	4937.5	0	34	0	0	0	0	2	0	0	0	78	69	0	0	1	0	0	12	0	0	0	0	0	3	0	0	0	51	1	0	0	0	0	0	0	0	2	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	256.5	"AWI"	256.5	4923	5240.5	5046.5	0	36	0	0	0	0	7	0	0	0	107	73	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	42	2	0	0	1	0	0	0	0	0	2	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	264.5	"AWI"	264.5	4990.5	5365	5153.5	0	38	0	1	0	0	4	0	0	0	125	15	0	0	3	0	0	3	0	0	0	0	0	0	5	0	0	43	2	0	0	0	0	0	0	0	1	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	272.5	"AWI"	272.5	5079.5	5480.5	5264.5	0	41	0	0	0	0	13	0	0	0	74	34	0	0	0	0	0	3	0	0	1	0	0	2	2	0	0	34	6	0	0	0	0	0	0	0	0	2	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	280.5	"AWI"	280.5	5186	5605	5376	0	14	0	0	0	0	3	0	1	0	92	16	0	0	2	0	0	6	0	0	0	0	0	2	1	0	0	46	4	0	0	0	0	0	0	0	0	8	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	288.5	"AWI"	288.5	5310	5720.5	5485	0	27	0	0	0	0	14	0	0	0	109	16	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0	40	3	0	0	0	0	0	0	0	1	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	296.5	"AWI"	296.5	5453	5834	5585.5	0	29	0	0	0	0	8	0	0	0	112	7	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	57	2	0	0	0	0	0	0	0	6	10	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	304.5	"AWI"	304.5	5603	6068	5758.5	1	42	0	1	0	0	11	0	1	0	69	11	39	0	0	0	0	7	0	0	0	0	0	2	1	0	0	39	5	0	0	0	1	0	0	0	1	16	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	312.5	"AWI"	312.5	5753	6444	6039	0	33	0	0	0	0	4	0	0	0	102	21	0	0	3	0	0	5	0	0	0	0	0	2	0	0	0	23	1	0	0	0	0	0	0	0	1	10	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	320.5	"AWI"	320.5	5930.5	6755	6306	0	33	0	1	0	0	14	0	0	0	101	10	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	32	2	0	1	0	0	0	0	0	1	12	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	328.5	"AWI"	328.5	6163.5	6972.5	6576	0	26	0	0	0	0	9	0	0	0	158	17	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	32	0	0	0	0	0	0	0	0	0	22	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	336.5	"AWI"	336.5	6431	7198.5	6855.5	0	20	0	0	0	0	14	0	0	0	99	6	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	18	0	0	0	0	0	0	0	0	0	7	1
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	344.5	"AWI"	344.5	6713.5	7386	7130	0	7	0	0	0	0	9	0	0	0	175	13	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0	20	1	0	0	0	0	1	0	0	1	9	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	352.5	"AWI"	352.5	7174	7512.5	7385	0	3	1	0	0	0	12	0	0	0	106	6	92	2	0	0	0	2	0	0	0	0	0	13	3	0	0	14	0	0	0	0	0	0	0	0	0	8	0
