"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"
9698	14289	"Lough Camclaun"	52.19429	-10.166208	380	"AWI"	380	4228	5161	4717	0	17	0	0	1	0	0	31	0	0	0	0	15	0	17	29	0	0	0	1	0	0	0	2	3	0	21	0	0	0	38	0	0	0	0	1	0	46	0	3	0	0	5	0	0	0	0	19	4	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	390	"AWI"	390	4306	5371	4829	0	16	0	6	1	0	0	42	0	1	0	0	9	0	4	26	0	0	1	0	0	0	0	2	0	0	12	0	0	0	64	5	0	0	0	0	0	54	2	6	0	0	2	0	0	0	0	5	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	400	"AWI"	400	4389	5621	4938	0	27	0	1	1	0	0	24	1	1	0	0	6	0	14	0	0	0	0	4	0	0	0	4	4	0	13	0	0	0	36	6	0	0	0	0	0	54	0	0	0	3	4	0	0	0	0	3	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	410	"AWI"	410	4493	5733	5063	0	12	1	5	2	0	0	44	0	2	0	0	3	0	18	43	0	3	0	0	0	0	0	1	5	0	13	0	0	0	46	6	0	0	0	0	0	39	0	0	0	1	5	0	0	0	0	2	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	420	"AWI"	420	4576	5893	5188	0	8	0	5	0	0	0	18	0	3	0	0	7	1	34	49	0	0	0	0	0	0	0	1	2	0	8	0	0	0	43	2	0	0	0	0	0	27	1	12	0	0	5	0	0	0	0	3	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	430	"AWI"	430	4676	6062	5306	0	12	0	7	0	1	0	29	0	0	0	0	11	0	31	15	0	0	0	1	0	0	0	0	1	0	17	0	0	0	51	0	0	0	0	0	0	36	0	0	1	2	5	0	0	0	0	5	2	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	440	"AWI"	440	4763	6168	5439	0	14	0	3	1	1	0	23	0	2	0	0	8	0	42	18	0	0	0	0	0	0	0	0	6	0	10	1	0	0	66	0	0	0	0	0	0	45	0	0	0	6	3	0	0	0	1	9	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	450	"AWI"	450	4839	6355	5564	0	11	0	2	1	0	0	39	0	1	0	0	12	0	25	0	0	0	0	0	0	0	0	10	2	0	20	0	0	0	87	0	0	0	0	0	0	43	0	0	0	10	2	0	0	0	0	11	2	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	460	"AWI"	460	4961	6463	5684	0	14	0	2	0	0	0	31	0	0	0	0	4	0	24	23	0	0	0	0	0	0	0	1	4	0	15	0	0	0	103	0	0	0	0	0	0	43	0	0	0	3	4	0	0	0	0	18	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	470	"AWI"	470	5052	6559	5819	0	2	0	4	1	0	0	27	0	0	0	0	11	0	33	13	0	0	0	1	0	0	3	0	4	0	7	0	0	0	92	0	1	0	0	0	0	39	0	0	0	0	5	0	0	0	0	8	0	0
