"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23669	40955	"Burgaschisee"	47.16969	7.66823	449.6	"AWI"	449.6	4100.2	4246.8	4175.4	34	2	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	66	0	6	0	0	0	0	0	104	0	36	0	0	0	4	0	0	0	0	0	0	0	0	0	4	3	0	0	0	1	0	63	0	0	0	0	0	4	0	0	0	2	0	3	6	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	449.95	"AWI"	449.95	4111.4	4254.85	4183.8	29	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	83	0	10	0	0	0	0	0	97	0	23	0	0	0	3	0	0	0	0	0	0	0	0	0	4	4	0	0	0	3	0	70	0	0	0	0	0	3	0	0	0	1	1	0	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	450.25	"AWI"	450.25	4120.75	4261.75	4191	31	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	91	0	3	0	0	0	0	0	126	0	23	0	0	0	4	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	55	0	0	0	0	0	3	0	0	0	0	0	1	8	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	450.55	"AWI"	450.55	4130.05	4268.65	4198.2	51	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	94	0	1	0	0	0	0	0	111	0	23	0	0	0	5	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	450.9	"AWI"	450.9	4140.9	4276.7	4206.6	36	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	82	0	5	0	0	0	0	0	135	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	85	0	0	0	0	0	2	0	0	0	0	0	3	9	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	451.3	"AWI"	451.3	4151.2	4285.9	4216.8	28	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	71	0	5	0	0	0	0	0	128	0	22	0	0	0	2	0	0	0	0	0	0	0	1	0	5	4	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	451.65	"AWI"	451.65	4159.6	4293.95	4225.9	40	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	67	0	5	0	0	0	0	0	121	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	4	3	0	0	0	2	0	74	0	0	0	0	0	0	0	0	0	1	0	8	4	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	452	"AWI"	452	4168	4302	4235	38	0	150	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	68	0	3	0	0	0	0	0	119	0	23	0	0	0	2	0	0	0	0	0	0	0	0	0	3	6	0	0	0	2	0	60	0	0	0	0	0	2	0	1	0	0	0	1	5	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	452.35	"AWI"	452.35	4176.4	4312.85	4244.1	33	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	58	0	5	0	0	0	0	1	159	0	36	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	59	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	452.7	"AWI"	452.7	4184.8	4323.7	4253.2	27	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	63	0	6	0	0	0	0	0	155	0	39	0	0	0	9	0	0	0	0	0	0	0	0	0	6	6	0	0	0	1	0	69	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0
