"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	400	"AWI"	400	6285	6977	6494	9.62732919254658	0	0	0	0	0	0	0.31055900621118	0	5.27950310559006	0	0.62111801242236	0	0	0	0	0	9.3167701863354	0	19.8757763975155	0	0	0	0	0	0.31055900621118	0.31055900621118	0.93167701863354	0	0.62111801242236	0.93167701863354	0	0.62111801242236	0	0	0.31055900621118	25.4658385093168	0	0	0	0	2.79503105590062	2.79503105590062	0	0	0	9.62732919254658	1.5527950310559	0.31055900621118	1.5527950310559	0	6.52173913043478	0.31055900621118	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	410	"AWI"	410	6402	7260	6729	14.9560117302053	0.586510263929619	0	0	0	0	0	0.293255131964809	0	6.158357771261	0	0	0	0	0	0	0	12.6099706744868	0	13.782991202346	0	0	0	0	0	0.293255131964809	0.586510263929619	0.293255131964809	0	0.293255131964809	1.17302052785924	0	0.293255131964809	0	0	0.293255131964809	26.099706744868	0	0	0	0	3.2258064516129	1.75953079178886	0	0	0.293255131964809	5.57184750733138	2.63929618768328	0	1.46627565982405	0	7.33137829912024	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	420	"AWI"	420	6453	7754	6934	10.4868913857678	0.374531835205993	0	0	0	0	0.187265917602996	0.187265917602996	0	5.0561797752809	0	0	0	0	0	0	0	12.7340823970037	0	13.2958801498127	0	0	0	0	0.187265917602996	0	0	0.374531835205993	0	0	1.68539325842697	0	0.749063670411985	0	0	0.187265917602996	31.2734082397004	0	0	0	0	3.18352059925094	0.936329588014981	0.187265917602996	0	0	6.36704119850187	2.24719101123596	0	2.62172284644195	0	7.49063670411985	0.187265917602996	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	430	"AWI"	430	6636	7938	7178	11.0915492957746	0.176056338028169	0	0	0	0	0	1.23239436619718	0	4.40140845070423	0	0.528169014084507	0	0	0	0	0	15.3169014084507	0	10.387323943662	0	0	0	0	0	0	0.528169014084507	0.352112676056338	0	0.352112676056338	0.704225352112676	0	0.880281690140845	0	0	0	29.5774647887324	0	0	0	0	2.46478873239437	1.23239436619718	0	0	0	10.7394366197183	2.64084507042254	0.176056338028169	1.23239436619718	0	5.98591549295775	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	440	"AWI"	440	6721	8243	7413	14.0740740740741	0	6.11111111111111	0	0	0	0	0.740740740740741	0	3.7037037037037	0	0.925925925925926	0	0	0	0	0	14.0740740740741	0	9.62962962962963	0	0	0	0	0	0	0.185185185185185	0	0	0.185185185185185	0.37037037037037	0	0.555555555555556	0	0	0.555555555555556	33.7037037037037	0	0	0	0	1.2962962962963	0.555555555555556	0	0	0	5	0.925925925925926	0	0.185185185185185	0	7.03703703703704	0.185185185185185	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	450	"AWI"	450	6915	8380	7633	13.3507853403141	0.130890052356021	0	0	0	0	0.130890052356021	0.392670157068063	0	6.282722513089	0	0.523560209424084	0	0	0	0	0	15.9685863874346	0	8.37696335078534	0	0	0	0	0	0	0	0.261780104712042	0	0	0	0	0	0	0	0	37.0418848167539	0	0	0	0	2.61780104712042	0	0	0	0.130890052356021	7.32984293193717	2.35602094240838	0	1.43979057591623	0	3.66492146596859	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	460	"AWI"	460	7043	8612	7838	13.1944444444444	0	0	0.347222222222222	0	0	0	0.347222222222222	0	6.94444444444444	0	0.347222222222222	0	0	0	0	0	15.9722222222222	0	7.29166666666667	0	0	0	0.347222222222222	0	0	0.347222222222222	0	0	0.347222222222222	0	0	0	0	0	0	26.3888888888889	0	0	0	0	4.16666666666667	1.73611111111111	0	0	0	7.98611111111111	3.47222222222222	0.347222222222222	2.08333333333333	0	8.33333333333333	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	470	"AWI"	470	7300	8716	8066	10.8996539792388	0	0	0	0	0	0	1.21107266435986	0	2.7681660899654	0	0.69204152249135	0	0	0	0	0	20.242214532872	0	11.0726643598616	0	0	0	0	0.173010380622837	0	0	0	0	0.173010380622837	0.346020761245675	0	0.173010380622837	0.173010380622837	0	0.173010380622837	31.4878892733564	0	0	0	0	3.63321799307958	0.519031141868512	0	0	0	8.99653979238754	1.55709342560554	0	1.03806228373702	0	4.67128027681661	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	480	"AWI"	480	7451	8939	8291	11.0803324099723	0	0	0	0	0	0	0.831024930747922	0	4.15512465373961	0	0.277008310249307	0	0	0	0	0	11.3573407202216	0	13.2963988919668	0	0	0	0	0	0.277008310249307	0.554016620498615	0.277008310249307	0	0.277008310249307	0	0	0	0	0	0	31.5789473684211	0	0	0	0	4.98614958448753	0.831024930747922	0	0	0.277008310249307	7.75623268698061	1.10803324099723	0	2.21606648199446	0	8.86426592797784	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	490	"AWI"	490	7871	9032	8497	8.70307167235495	0	0	0	0	0	0	0.511945392491468	0	3.92491467576792	0	0.341296928327645	0	0	0	0	0	22.0136518771331	0	10.9215017064846	0	0	0	0	0	0	0	0	0	0	0.170648464163823	0	0	0	0	0	34.9829351535836	0	0	0	0	1.36518771331058	0.68259385665529	0	0	0.170648464163823	6.8259385665529	1.5358361774744	0	1.87713310580205	0	5.80204778156997	0	0	0.170648464163823
