# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
111	58175	50.1	15.8	200	0.076	0.283	0.151	1.525	0.213	0.229	0.584	0.574	0.416	0.426	30
112	58176	50.1	15.9	199.999828823337	0.087	0.297	0.17	1.523	0.222	0.247	0.613	0.608	0.387	0.392	30
113	58177	50.1	16	199.999602277304	0.107	0.294	0.158	1.525	0.209	0.237	0.611	0.607	0.389	0.393	30
114	58178	50.1	16.1	199.999822850165	0.119	0.286	0.14	1.526	0.178	0.205	0.569	0.562	0.431	0.437	30
115	58179	50.1	16.2	199.999607727664	0.127	0.297	0.153	1.528	0.192	0.221	0.632	0.626	0.368	0.374	30
116	58180	50.1	16.3	199.985708147317	0.154	0.305	0.158	1.521	0.201	0.229	0.684	0.675	0.316	0.325	30
117	58181	50.1	16.4	199.946220083359	0.17	0.305	0.154	1.502	0.187	0.209	0.657	0.645	0.343	0.355	30
118	58182	50.1	16.5	199.820898508019	0.175	0.305	0.154	1.485	0.178	0.196	0.639	0.624	0.361	0.376	30
119	58183	50.1	16.6	199.582820077169	0.188	0.304	0.132	1.46	0.166	0.178	0.613	0.591	0.387	0.409	30
120	58184	50.1	16.7	199.514435167721	0.19	0.311	0.138	1.442	0.161	0.172	0.601	0.577	0.399	0.422	30
121	58185	50.1	16.8	197.978331901152	0.208	0.309	0.131	1.41	0.147	0.155	0.571	0.542	0.428	0.458	30
122	58186	50.1	16.9	198.502865470177	0.208	0.305	0.125	1.42	0.145	0.152	0.573	0.541	0.426	0.458	30
123	58187	50.1	17	199.22222311922	0.206	0.304	0.126	1.426	0.146	0.153	0.578	0.545	0.421	0.455	30
124	58188	50.1	17.1	196.129895718295	0.237	0.31	0.118	1.372	0.136	0.139	0.549	0.51	0.451	0.49	30
125	58189	50.1	17.2	192.534147880011	0.259	0.311	0.11	1.32	0.129	0.13	0.523	0.486	0.477	0.514	30
126	58190	50.1	17.3	194.562609932531	0.242	0.309	0.114	1.341	0.136	0.139	0.526	0.495	0.474	0.505	30
127	58191	50.1	17.4	198.160579417499	0.218	0.306	0.125	1.4	0.155	0.163	0.57	0.543	0.429	0.456	30
128	58192	50.1	17.5	199.624015977316	0.202	0.303	0.13	1.448	0.168	0.18	0.614	0.585	0.386	0.414	30
129	58193	50.1	17.6	199.957271256575	0.176	0.3	0.141	1.508	0.177	0.195	0.645	0.626	0.354	0.374	30
130	58194	50.1	17.7	199.999925592045	0.138	0.302	0.157	1.539	0.186	0.21	0.701	0.691	0.298	0.309	30
