# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2022-12-19

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/thesis/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
86	41123	54.2	20.6	200	0.068	0.285	0.117	1.524	0.134	0.152	0.407	0.41	0.593	0.59	30
87	41124	54.2	20.7	200	0.068	0.285	0.119	1.533	0.137	0.156	0.41	0.413	0.59	0.586	30
88	41125	54.2	20.8	200	0.064	0.287	0.119	1.537	0.146	0.166	0.424	0.427	0.576	0.573	30
89	41126	54.2	20.9	200	0.064	0.295	0.122	1.543	0.163	0.183	0.456	0.458	0.544	0.542	30
90	41127	54.2	21	200	0.063	0.304	0.129	1.537	0.18	0.2	0.479	0.48	0.521	0.52	30
91	41128	54.2	21.1	200	0.062	0.307	0.13	1.53	0.185	0.204	0.492	0.492	0.508	0.507	30
92	41129	54.2	21.2	200	0.065	0.309	0.131	1.527	0.187	0.206	0.502	0.503	0.498	0.497	30
93	41130	54.2	21.3	200	0.066	0.318	0.138	1.528	0.188	0.207	0.508	0.509	0.492	0.491	30
94	41131	54.2	21.4	200	0.066	0.31	0.132	1.533	0.167	0.187	0.488	0.49	0.512	0.51	30
95	41132	54.2	21.5	199.99994199076	0.068	0.299	0.124	1.525	0.142	0.16	0.448	0.45	0.552	0.55	30
96	41133	54.2	21.6	199.926758806396	0.068	0.298	0.122	1.52	0.142	0.159	0.447	0.448	0.553	0.552	30
97	41134	54.2	21.7	199.888480206118	0.068	0.299	0.122	1.516	0.148	0.163	0.446	0.444	0.554	0.556	30
98	41135	54.2	21.8	199.948019828808	0.067	0.293	0.118	1.5	0.131	0.145	0.403	0.402	0.597	0.598	30
99	41136	54.2	21.9	199.872186745145	0.073	0.289	0.115	1.482	0.115	0.128	0.375	0.374	0.625	0.626	30
100	41137	54.2	22	199.936301162695	0.077	0.285	0.113	1.476	0.111	0.125	0.379	0.378	0.621	0.622	30
