# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-26

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	qpetraea_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
153	79602	44.7	6	175.437739450607	0.223	0.313	0.137	1.382	0.181	0.19	0.554	0.535	0.446	0.465	30
154	79603	44.7	6.1	179.230270820916	0.22	0.317	0.144	1.404	0.187	0.198	0.556	0.537	0.444	0.462	30
155	79604	44.7	6.2	152.412010021747	0.242	0.314	0.133	1.36	0.166	0.172	0.528	0.507	0.472	0.493	30
156	79605	44.7	6.3	126.346324522169	0.272	0.312	0.123	1.319	0.141	0.143	0.498	0.478	0.502	0.522	30
157	79606	44.7	6.4	105.846909792062	0.283	0.312	0.117	1.286	0.128	0.129	0.478	0.461	0.522	0.539	30
158	79607	44.7	6.5	129.21299069266	0.278	0.308	0.12	1.345	0.138	0.141	0.489	0.47	0.511	0.53	30
159	79608	44.7	6.6	158.416125864877	0.262	0.312	0.135	1.394	0.163	0.17	0.514	0.495	0.486	0.505	30
160	79609	44.7	6.7	146.140322723742	0.273	0.313	0.132	1.367	0.157	0.163	0.504	0.481	0.496	0.519	30
161	79610	44.7	6.8	128.664293248993	0.279	0.307	0.124	1.335	0.131	0.131	0.481	0.452	0.519	0.548	30
162	79611	44.7	6.9	123.055778686143	0.276	0.309	0.121	1.328	0.122	0.119	0.472	0.442	0.528	0.558	30
163	79612	44.7	7	115.715690946711	0.29	0.312	0.121	1.318	0.126	0.126	0.476	0.449	0.524	0.551	30
164	79613	44.7	7.1	124.511856333567	0.296	0.313	0.123	1.312	0.133	0.133	0.482	0.457	0.518	0.543	30
165	79614	44.7	7.2	163.683408094492	0.275	0.313	0.133	1.363	0.151	0.155	0.504	0.478	0.496	0.522	30
166	79615	44.7	7.3	189.363017192427	0.224	0.31	0.143	1.441	0.174	0.194	0.543	0.528	0.457	0.472	30
167	79616	44.7	7.4	197.497218743379	0.163	0.304	0.148	1.496	0.187	0.215	0.585	0.583	0.415	0.417	30
168	79617	44.7	7.5	200	0.144	0.304	0.151	1.514	0.196	0.225	0.624	0.624	0.376	0.376	30
169	79618	44.7	7.6	200	0.145	0.306	0.155	1.516	0.207	0.23	0.656	0.649	0.344	0.351	30
170	79619	44.7	7.7	200	0.14	0.304	0.158	1.523	0.211	0.23	0.663	0.653	0.337	0.347	30
171	79620	44.7	7.8	200	0.138	0.308	0.169	1.52	0.225	0.25	0.669	0.663	0.331	0.337	30
172	79621	44.7	7.9	200	0.136	0.317	0.183	1.508	0.247	0.285	0.683	0.684	0.317	0.316	30
173	79622	44.7	8	200	0.132	0.322	0.187	1.499	0.265	0.304	0.707	0.708	0.293	0.292	30
174	79623	44.7	8.1	199.995554206732	0.139	0.328	0.192	1.487	0.282	0.328	0.72	0.721	0.28	0.28	30
175	79624	44.7	8.2	199.998343754287	0.151	0.329	0.195	1.481	0.284	0.332	0.71	0.712	0.29	0.288	30
176	79625	44.7	8.3	199.99944850202	0.144	0.331	0.197	1.484	0.284	0.329	0.707	0.71	0.293	0.29	30
177	79626	44.7	8.4	199.999837171989	0.131	0.331	0.2	1.487	0.286	0.33	0.717	0.717	0.283	0.283	30
178	79627	44.7	8.5	200	0.122	0.332	0.198	1.489	0.285	0.322	0.724	0.72	0.276	0.28	30
179	79628	44.7	8.6	200	0.114	0.334	0.199	1.495	0.28	0.318	0.721	0.718	0.279	0.283	30
180	79629	44.7	8.7	199.985803681389	0.111	0.334	0.198	1.492	0.279	0.317	0.714	0.709	0.286	0.291	30
181	79630	44.7	8.8	199.935342180093	0.109	0.338	0.201	1.479	0.298	0.341	0.721	0.718	0.279	0.282	30
182	79631	44.7	8.9	199.352840646389	0.123	0.34	0.203	1.466	0.302	0.346	0.704	0.703	0.297	0.297	30
183	79632	44.7	9	199.554170559947	0.134	0.342	0.2	1.444	0.304	0.346	0.696	0.696	0.304	0.305	30
184	79633	44.7	9.1	198.46422449537	0.161	0.344	0.196	1.424	0.285	0.323	0.681	0.677	0.319	0.323	30
185	79634	44.7	9.2	197.665355681129	0.187	0.345	0.177	1.366	0.271	0.301	0.675	0.661	0.325	0.339	30
186	79635	44.7	9.3	196.800316775884	0.17	0.343	0.185	1.403	0.28	0.316	0.677	0.668	0.324	0.332	30
187	79636	44.7	9.4	198.426397909077	0.164	0.341	0.19	1.431	0.279	0.316	0.676	0.672	0.324	0.328	30
188	79637	44.7	9.5	199.83354542249	0.156	0.342	0.189	1.409	0.285	0.325	0.697	0.69	0.303	0.31	30
189	79638	44.7	9.6	199.306630215072	0.163	0.343	0.192	1.44	0.288	0.332	0.695	0.692	0.305	0.308	30
190	79639	44.7	9.7	199.893871748148	0.147	0.343	0.19	1.422	0.293	0.337	0.708	0.702	0.292	0.298	30
191	79640	44.7	9.8	199.683776401136	0.139	0.344	0.2	1.446	0.309	0.356	0.712	0.713	0.288	0.287	30
192	79641	44.7	9.9	199.265447302091	0.135	0.346	0.21	1.46	0.316	0.366	0.72	0.723	0.28	0.277	30
193	79642	44.7	10	199.924473551867	0.127	0.342	0.213	1.476	0.313	0.362	0.719	0.723	0.281	0.277	30
194	79643	44.7	10.1	199.999680326692	0.114	0.332	0.206	1.492	0.306	0.342	0.729	0.726	0.271	0.274	30
195	79644	44.7	10.2	200	0.105	0.335	0.205	1.498	0.303	0.331	0.739	0.732	0.261	0.268	30
196	79645	44.7	10.3	200	0.095	0.331	0.201	1.505	0.294	0.308	0.75	0.739	0.249	0.261	30
197	79646	44.7	10.4	200	0.097	0.33	0.195	1.508	0.284	0.293	0.742	0.729	0.257	0.271	30
198	79647	44.7	10.5	200	0.095	0.331	0.195	1.507	0.279	0.287	0.74	0.726	0.26	0.274	30
199	79648	44.7	10.6	200	0.091	0.328	0.196	1.507	0.281	0.288	0.733	0.721	0.267	0.279	30
200	79649	44.7	10.7	200	0.086	0.326	0.196	1.508	0.28	0.288	0.73	0.719	0.27	0.281	30
