"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Morus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Prosopis"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Zanthoxylum"
344	352	"Cedar Bog"	45.41111	-93.19722	1150	"AWI"	1150	9698	11244	10444	0	0	2.77777777777778	0	0	16.6666666666667	0	3.63247863247863	0	0	0	0.854700854700855	0.427350427350427	0	0	1.92307692307692	13.034188034188	0	0	0	0	0	0	0	0	1.06837606837607	0.213675213675214	0	0	3.2051282051282	3.41880341880342	0	0	0	0	0	2.77777777777778	0	29.4871794871795	0	0	0	0	0	1.06837606837607	0	0	0.427350427350427	0	19.017094017094	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1190	"AWI"	1190	10019	11570	10790	0	0	8.12324929971989	0	0	23.249299719888	0	1.40056022408964	0	0	0	0.840336134453782	0	0	0	0.840336134453782	19.8879551820728	0	0	0	0	0	0	0	0	1.68067226890756	1.12044817927171	0	0	3.36134453781513	0.280112044817927	0	0	0	0	0	6.72268907563025	0	17.6470588235294	0	0	0	0	0	0.840336134453782	0	0.560224089635854	0	0	13.1652661064426	0	0.280112044817927	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1230	"AWI"	1230	10324	11884	11123	0.462962962962963	0	8.33333333333333	0	0	17.5925925925926	0	6.01851851851852	0	0	0	2.31481481481481	0	0	0	1.38888888888889	18.0555555555556	0	0	0	0	0	0	0	0	0	0.462962962962963	0	0	7.40740740740741	0.462962962962963	0	0	0	0	0	2.77777777777778	0	18.5185185185185	0	0	0	0	0	1.85185185185185	0	0	0.462962962962963	0	13.4259259259259	0	0	0.462962962962963	0
344	352	"Cedar Bog"	45.41111	-93.19722	1270	"AWI"	1270	10670	12171	11464	0.350877192982456	0	6.66666666666667	0	0	16.8421052631579	0	8.07017543859649	0	0	0	1.40350877192982	0	0	0	1.05263157894737	15.4385964912281	0	0	0	0	0	0	0	0	0	0.350877192982456	0	0	3.85964912280702	0.350877192982456	0	0	0	0	0	2.80701754385965	0	29.1228070175439	0	0	0	0	0	3.50877192982456	0	0	0.350877192982456	0	9.82456140350877	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1308	"AWI"	1308	10973	12436	11786	0.581395348837209	0	5.23255813953488	0	0	17.4418604651163	0	6.3953488372093	0	0	0	0	0	0	0	2.90697674418605	8.13953488372093	0	0	0	0	0	0	0	0	0	0.581395348837209	0	0	8.13953488372093	0.581395348837209	0	0	0	0	0	1.74418604651163	0	19.7674418604651	0	0	0	0	0	1.74418604651163	0	0	0.581395348837209	0	26.1627906976744	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1347	"AWI"	1347	11334	12671	12119	0.364963503649635	0	9.12408759124088	0	0	9.85401459854015	0	10.9489051094891	0	0	0	0.364963503649635	0	0	0	1.45985401459854	8.02919708029197	0	0	0	0	0	0	0	0	0.364963503649635	2.18978102189781	0	0	4.01459854014599	0.72992700729927	0	0	0	0	0	4.37956204379562	0	22.992700729927	0	0	0	0	0	1.45985401459854	0	0.364963503649635	0.364963503649635	0	22.992700729927	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1387	"AWI"	1387	11705	12921	12464	1.47058823529412	0	4.90196078431373	0	0	4.41176470588235	0	9.80392156862745	0	0	0	0	0	0	0	4.41176470588235	12.7450980392157	0	0	0	0	0	0	0	0	0.980392156862745	1.96078431372549	0	0	2.94117647058824	2.45098039215686	0	0	0	0	0	8.82352941176471	0	18.6274509803922	0	0	0	0	0	0.980392156862745	0	0	0	0	25.4901960784314	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1427	"AWI"	1427	12048	13149	12793	2.53968253968254	0	5.3968253968254	0	0	1.58730158730159	0	34.6031746031746	0	0	0	1.58730158730159	0	0	0	1.9047619047619	5.71428571428571	0	0	0	0	0	0	0	0	0.317460317460317	0.952380952380952	0	0	5.3968253968254	1.26984126984127	0	0	0	0	0	7.93650793650794	0	11.1111111111111	0	0	0	0	0	0.634920634920635	0	0	0	0	19.047619047619	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1467	"AWI"	1467	12305	13690	13086	1.33689839572193	0	9.09090909090909	0	0	4.81283422459893	0	24.331550802139	0	0	0	0.267379679144385	0	0	0	4.01069518716578	5.3475935828877	0	0	0	0	0	0	0	0	0.802139037433155	2.67379679144385	0	0	3.47593582887701	20.3208556149733	0	0	0	0	0	3.74331550802139	0	10.427807486631	0	0	0	0	0	1.60427807486631	0	0	0	0	7.75401069518717	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1507	"AWI"	1507	12566	14179	13387	1.69491525423729	0	11.6525423728814	0	0	7.6271186440678	0	14.8305084745763	0	0	0	0	0	0	0	1.48305084745763	12.7118644067797	0	0	0	0	0	0	0	0	0.211864406779661	2.11864406779661	0	0	2.11864406779661	32.6271186440678	0	0	0	0	0	4.23728813559322	0	2.33050847457627	0	0	0	0.211864406779661	0	2.11864406779661	0	0.211864406779661	0	0	3.8135593220339	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1547	"AWI"	1547	12808	14601	13697	2.27743271221532	0	2.89855072463768	0	0	10.9730848861284	0	11.1801242236025	0	0	0	0	0	0	0	0.20703933747412	7.2463768115942	0	0	0	0	0	0	0	0	3.31262939958592	3.31262939958592	0	0	1.0351966873706	45.9627329192547	0	0	0	0	0	2.48447204968944	0	2.69151138716356	0	0	0	0	0	4.96894409937888	0	0	0	0	1.44927536231884	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1567	"AWI"	1567	12945	14819	13853	2.58732212160414	0	2.45795601552393	0	0	14.4890038809832	0	9.57309184993532	0	0	0	0	0	0	0	0.905562742561449	10.0905562742561	0	0	0.129366106080207	0	0	0	0	0	3.10478654592497	2.97542043984476	0	0.129366106080207	2.32858990944373	38.1630012936611	0	0	0	0	0	1.68175937904269	0	5.69210866752911	0	0	0.129366106080207	0	0	4.01034928848642	0	0	0	0	1.55239327296248	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1587	"AWI"	1587	13054	15051	14007	0	0	1.79775280898876	0	0	9.8876404494382	0	5.1685393258427	0	0	0	0	0	0	0	2.24719101123596	9.8876404494382	0.224719101123596	0	0	0	0	0	0	0	1.34831460674157	5.1685393258427	0	0	2.69662921348315	48.7640449438202	0	0	0	0	0	3.37078651685393	0	4.9438202247191	0	0	0.224719101123596	0	0	2.24719101123596	0	0	0	0	2.02247191011236	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1617	"AWI"	1617	13242	15342	14241	0.242130750605327	0	0.968523002421308	0	0	14.2857142857143	0	7.26392251815981	0	0	0	0	0	0	0	1.93704600484262	8.95883777239709	0.242130750605327	0	0.242130750605327	0	0	0	0	0	0	0.242130750605327	0	0	3.87409200968523	46.7312348668281	0	0	0	0	0	4.11622276029056	0	8.23244552058111	0	0	0.242130750605327	0	0	1.93704600484262	0	0	0	0	0.484261501210654	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1637	"AWI"	1637	13356	15544	14396	0	0	0.22075055187638	0	0	11.2582781456954	0	7.72626931567329	0	0	0	0	0	0	0	2.42825607064018	5.51876379690949	0	0	0	0	0	0	0	0	0	1.32450331125828	0	0	2.2075055187638	56.953642384106	0	0	0	0	0	3.53200883002207	0	5.96026490066225	0	0	0	0	0	1.32450331125828	0	0.22075055187638	0	0	1.32450331125828	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1657	"AWI"	1657	13491	15740	14554	0	0	0	0	0	5.05415162454874	0	0.36101083032491	0	0	0	0.36101083032491	0	0	0	1.08303249097473	11.913357400722	0	0	0	0	0	0	0	0	0	2.52707581227437	0	0	1.44404332129964	54.5126353790614	0	0	0	0	0	14.0794223826715	0	7.22021660649819	0	0	0	0	0	0.36101083032491	0	0.36101083032491	0	0	0.72202166064982	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1664	"AWI"	1664	13524	15822	14605	0	0	0.45045045045045	0	0	0.45045045045045	0	0	0	0	0	0	0	0	0	0	1.8018018018018	0	0	0	0	0	0	0	0	0	0	0	0	0	90.990990990991	0	0	0	0	0	0.45045045045045	0	4.95495495495495	0	0	0.45045045045045	0	0	0	0	0	0	0	0.45045045045045	0	0	0	0
