"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
510	523	"Crider's Pond"	39.96667	-77.55	150	"AWI"	150	8290	13862	13455	6.09318996415771	0	11.1111111111111	0	0.3584229390681	0.716845878136201	0	0	3.9426523297491	0	0	0	0	0	0	0	1.4336917562724	0.3584229390681	9.67741935483871	0	0	0.3584229390681	2.1505376344086	0	0	0	0	0	0	0	0	0	3.584229390681	12.5448028673835	29.3906810035842	0	0	7.88530465949821	0	0	9.31899641577061	0	0	0	0	0	0.3584229390681	0	0	0	0.716845878136201
510	523	"Crider's Pond"	39.96667	-77.55	160	"AWI"	160	8524	14068	13530	4.25531914893617	0	14.8936170212766	0	0	0.354609929078014	0	0	4.25531914893617	0	0	0.354609929078014	0	0	0	0.354609929078014	1.41843971631206	0.354609929078014	14.1843971631206	0	0	0	0.354609929078014	0.354609929078014	4.60992907801418	0	0	0	0	0	0	0	1.06382978723404	12.0567375886525	25.886524822695	0	0	8.86524822695035	0	0	4.60992907801418	0	0	1.41843971631206	0	0	0	0.354609929078014	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	180	"AWI"	180	8935	14317	13701	5.20833333333333	0	20.4861111111111	0	0.694444444444444	0	0	0	3.47222222222222	0.347222222222222	0	0	0	0	0	0	1.04166666666667	0	5.90277777777778	0	0	0	0.347222222222222	0	1.38888888888889	0	0.694444444444444	0	0	0	0	0	1.04166666666667	15.625	30.2083333333333	0	0	5.55555555555556	0	0.347222222222222	3.47222222222222	0	0	3.47222222222222	0	0.347222222222222	0.347222222222222	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	200	"AWI"	200	9408	14588	13866	9.50704225352113	0	12.3239436619718	0	0.352112676056338	0	0	0	1.76056338028169	0	0	0	0	0	0	0	0.352112676056338	0	5.98591549295775	0	0	0	0.352112676056338	0	0	0	0	0	0	0	0	0	2.11267605633803	20.4225352112676	29.2253521126761	0	0	8.45070422535211	0	0	3.87323943661972	0	0	4.92957746478873	0	0	0.352112676056338	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	220	"AWI"	220	10108	14784	14048	5.59440559440559	0	10.8391608391608	0	0.699300699300699	0	0.34965034965035	0	1.3986013986014	0	0	0	0	0	0	0	0	0	7.69230769230769	0	0	0	1.04895104895105	0	2.7972027972028	0	0	0.34965034965035	0	0	0	0	1.74825174825175	23.4265734265734	31.4685314685315	0	0	8.39160839160839	0	0.34965034965035	2.44755244755245	0	0	0	0	0	0.34965034965035	1.04895104895105	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	240	"AWI"	240	10595	14990	14244	13.1205673758865	0	12.4113475177305	0	0	0	0	0	2.83687943262411	0	0	0	0	0	0	0	0	0	3.90070921985816	0	0	0	0	0	0.354609929078014	0	0	0.354609929078014	0	0	0	0	2.12765957446809	21.9858156028369	28.7234042553192	0	0	7.09219858156028	0	0	3.54609929078014	0	0	3.19148936170213	0	0	0.354609929078014	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	260	"AWI"	260	11106	15188	14431	7.63888888888889	0	15.625	0	0	0	0	0	1.38888888888889	0	0	0	0	0	0	0	0	0	11.4583333333333	0.347222222222222	0	0	0.347222222222222	0	3.125	0	0	0	0	0.694444444444444	0	0	0.347222222222222	20.1388888888889	24.6527777777778	0	0	7.29166666666667	0	0.347222222222222	2.08333333333333	0	0	2.77777777777778	0	0	1.04166666666667	0.694444444444444	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	280	"AWI"	280	11658	15348	14631	3.36700336700337	0	17.8451178451178	0	0	0	0	0	2.69360269360269	0	0	0.336700336700337	0	0	0	0	0.336700336700337	0.336700336700337	9.76430976430976	0	0	0.336700336700337	0.673400673400673	0	2.02020202020202	0	0	0	0	0	0	0	0.673400673400673	15.8249158249158	27.9461279461279	0	0	11.4478114478114	0	0	3.03030303030303	0	0	2.35690235690236	0	0	1.01010101010101	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	300	"AWI"	300	12173	15520	14831	9.42760942760943	0	14.1414141414141	0	0	0	0.673400673400673	0	1.68350168350168	0	0	0.336700336700337	0	0	0	0	0.336700336700337	0	6.3973063973064	0	0	0.336700336700337	0.336700336700337	0	0.336700336700337	0	0	0	0	0	0	0	1.01010101010101	27.2727272727273	28.6195286195286	0	0	4.71380471380471	0	0	1.68350168350168	0	0	2.35690235690236	0.336700336700337	0	0	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	320	"AWI"	320	12694	15719	15019	5.13698630136986	0	16.4383561643836	0	0	0	0.342465753424658	0	2.3972602739726	0	0	0	0	0	0	0	0	0	6.50684931506849	0	0	0	0.342465753424658	0	1.36986301369863	0	0	0	0	0	0	0	1.36986301369863	31.5068493150685	28.0821917808219	0	0	2.05479452054794	0	0.342465753424658	1.71232876712329	0	0	2.05479452054794	0	0	0.342465753424658	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	340	"AWI"	340	13260	15858	15220	10.8552631578947	0	3.94736842105263	0	0	0	0.986842105263158	0	0.986842105263158	0	0	0	0	0	0	0	0	0.328947368421053	5.92105263157895	0	0	0	0.328947368421053	0	5.59210526315789	0	0	0	0	0	0	0	0.986842105263158	31.5789473684211	27.9605263157895	0	0	6.57894736842105	0	0	0.986842105263158	0	0	2.30263157894737	0	0	0.328947368421053	0.328947368421053	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	360	"AWI"	360	13803	15993	15415	6.08974358974359	0	2.24358974358974	0	0	0.32051282051282	0	0	0.641025641025641	0	0	0	0	0	0	0	0.32051282051282	0.32051282051282	8.65384615384615	0	0	0	0	0	7.69230769230769	0	0	0.641025641025641	0	0	0	0	1.6025641025641	42.6282051282051	18.5897435897436	0	0	6.41025641025641	0	0	1.28205128205128	0	0	1.92307692307692	0	0	0	0.641025641025641	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	380	"AWI"	380	14362	16142	15621	21.9354838709677	0	2.25806451612903	0	0	0	0	0	0.967741935483871	0	0	0.32258064516129	0.967741935483871	0	0	0	0	0.645161290322581	5.80645161290323	0	0	0	0.645161290322581	0	5.80645161290323	0	0	0	0	0	0	0	0.967741935483871	40.6451612903226	13.5483870967742	0	0	1.93548387096774	0	0	3.2258064516129	0	0	0	0	0	0	0.32258064516129	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	390	"AWI"	390	14757	16189	15718	6.00600600600601	0	2.1021021021021	0	0	0	0.600600600600601	0	2.1021021021021	0	0	0	0	0	0	0	0	0	12.3123123123123	0	0	0.600600600600601	0.900900900900901	0	12.012012012012	0	0	0	0	0	0	0	0.600600600600601	37.5375375375375	13.8138138138138	0	0	6.00600600600601	0	0	2.4024024024024	0.3003003003003	0	1.2012012012012	0	0.3003003003003	0.900900900900901	0.3003003003003	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	400	"AWI"	400	15129	16256	15823	0.297619047619048	0	2.67857142857143	0	0	0.297619047619048	0.297619047619048	0	2.67857142857143	0	0	0	0	0.297619047619048	0	0	0	0.595238095238095	17.5595238095238	0	0	0	0.297619047619048	0	19.6428571428571	0	0	0	0	0	0	0	0	30.3571428571429	13.3928571428571	0	0	8.33333333333333	0	0	2.67857142857143	0	0	0	0	0	0.297619047619048	0.297619047619048	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	420	"AWI"	420	15356	16459	16002	0.716845878136201	0	1.7921146953405	0	0	0.3584229390681	0	0	1.4336917562724	0	0	0	0.3584229390681	0	0	0	0	0.3584229390681	12.1863799283154	0	0	0	0	0	1.0752688172043	0	0	0	0	0	0	0	0.716845878136201	57.7060931899642	16.4874551971326	0	0	6.45161290322581	0	0	0.3584229390681	0	0	0	0	0	0	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	440	"AWI"	440	15490	16751	16154	0.325732899022801	0	0.325732899022801	0	0	0.325732899022801	0.651465798045603	0	2.28013029315961	0.977198697068404	0	0	0	0	0	0	0	0	16.2866449511401	0	0	0	0.977198697068404	0	5.86319218241042	0	0	0	0	0	0	0	0.325732899022801	45.2768729641694	14.6579804560261	0	0	6.18892508143322	0	0	0.977198697068404	0	0	4.23452768729642	0	0	0	0.325732899022801	0	0	0
