"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Geraniaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"
1632	1687	"Lake Madjagara"	64.83333	120.96667	550	"AWI"	550	6282	6931	6580	16	0	0	3	0	103	0	0	5	1	24	0	21	0	13	43	23	0	0	0	4	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	560	"AWI"	560	6332	6984	6632	17	0	2	1	0	86	0	0	2	0	29	1	35	1	12	48	22	0	0	0	0	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	570	"AWI"	570	6373	7062	6682	18	0	0	2	0	116	0	0	8	0	35	0	6	0	7	52	54	1	0	0	7	1
1632	1687	"Lake Madjagara"	64.83333	120.96667	580	"AWI"	580	6424	7119	6736	0	0	2	1	0	131	0	0	2	1	32	0	26	0	14	45	32	0	0	0	6	2
1632	1687	"Lake Madjagara"	64.83333	120.96667	590	"AWI"	590	6461	7191	6787	0	0	2	1	0	140	0	0	9	1	31	0	11	0	11	31	34	0	0	0	3	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	600	"AWI"	600	6504	7250	6837	0	0	1	1	0	131	0	0	3	0	22	0	20	0	18	20	31	0	0	0	7	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	610	"AWI"	610	6547	7309	6890	0	1	1	3	0	108	0	0	8	1	32	0	37	0	1	22	24	0	0	0	11	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	620	"AWI"	620	6594	7367	6944	41	0	1	2	0	107	0	0	8	1	38	0	22	0	2	15	25	0	0	0	6	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	630	"AWI"	630	6636	7420	6996	39	0	1	3	0	107	0	0	6	0	31	0	28	0	8	34	24	0	0	0	3	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	640	"AWI"	640	6675	7502	7052	46	0	0	2	0	100	0	0	1	1	36	0	10	0	3	43	15	0	0	0	8	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	650	"AWI"	650	6720	7580	7113	47	0	0	4	0	94	1	0	6	2	32	0	15	1	1	48	31	0	0	0	9	0
1632	1687	"Lake Madjagara"	64.83333	120.96667	660	"AWI"	660	6751	7680	7170	0	1	1	5	0	77	0	1	4	1	26	0	16	0	4	35	22	0	0	0	4	0
