"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	200	"AWI"	200	7347	7864	7630	0.186219739292365	4.84171322160149	0	0.37243947858473	0.558659217877095	0	4.65549348230912	0	0	0.558659217877095	0.37243947858473	1.30353817504655	0.186219739292365	0	0	0.558659217877095	0	0.186219739292365	0	0.186219739292365	0	35.7541899441341	46.5549348230913	0.186219739292365	1.30353817504655	0	0.931098696461825	0.186219739292365	0	0	1.11731843575419	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	210	"AWI"	210	7607	8193	7881	0	0	0.319488817891374	0	0.319488817891374	0	8.30670926517572	0	0	0	0	0.319488817891374	0.319488817891374	0	0	0	0	0	0	0.958466453674121	0	0	87.5399361022364	0	0.319488817891374	0	0	0	0	0	1.59744408945687	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	220	"AWI"	220	7768	8520	8108	0.189753320683112	5.31309297912714	0	0	0.569259962049336	0	6.64136622390892	0	0	0	0	0.759013282732448	0.189753320683112	0	0	0.189753320683112	0	0	0	0	0	41.7457305502846	41.7457305502846	0	0.759013282732448	0	0	0	0	0	1.89753320683112	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	230	"AWI"	230	7937	8827	8338	0.362976406533575	4.90018148820327	0.181488203266788	0	0	0	8.52994555353902	0	0	0	0	0.544464609800363	0.181488203266788	0	0.181488203266788	0	0	0.181488203266788	0	0.544464609800363	0	39.7459165154265	41.7422867513612	0	0.181488203266788	0	0.181488203266788	0	0	0	1.99637023593466	0.181488203266788	0.181488203266788	0.181488203266788
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	240	"AWI"	240	8131	9067	8574	0	5.67514677103718	0	0.195694716242661	0.978473581213307	0	11.7416829745597	0	0	0	0.391389432485323	2.93542074363992	0.195694716242661	0	0.391389432485323	0.391389432485323	0	0.195694716242661	0	0.782778864970646	0	45.0097847358121	23.4833659491194	0	2.15264187866928	0	0.978473581213307	0	0	0	3.91389432485323	0	0.587084148727984	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	250	"AWI"	250	8358	9300	8809	0.75046904315197	1.68855534709193	0	0	0.187617260787992	0	20.0750469043152	0	0	0.187617260787992	0	0.938086303939963	0	0	0.187617260787992	0	0	0	0	1.12570356472795	0	49.343339587242	18.7617260787992	0.187617260787992	0.562851782363977	0	0.375234521575985	0	0	0	4.8780487804878	0	0.375234521575985	0.375234521575985
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	260	"AWI"	260	8553	9535	9049	0.182481751824818	3.64963503649635	0	0	0.912408759124087	0	15.5109489051095	0.182481751824818	0	0	0	2.37226277372263	0	0	0.364963503649635	0	0	0	0	0	0	48.9051094890511	20.985401459854	0	2.91970802919708	0	0.547445255474453	0	0	0	3.28467153284672	0	0.182481751824818	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	270	"AWI"	270	8786	9750	9283	0	2.14007782101167	0	0	0.583657587548638	0	39.6887159533074	0	0	0	0	0.583657587548638	0.194552529182879	0	0	0	0	0	0	1.94552529182879	0	41.8287937743191	9.33852140077821	0	0.778210116731518	0.194552529182879	0	0	0	0	2.52918287937743	0	0.194552529182879	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	280	"AWI"	280	9042	9949	9517	0	2.83018867924528	0.377358490566038	0	0.754716981132076	0	38.3018867924528	0	0	0	0	1.32075471698113	0.566037735849057	0	0	0.566037735849057	0	0	0	0.188679245283019	0	38.3018867924528	10.377358490566	0	2.07547169811321	0.188679245283019	0.377358490566038	0	0	0	3.77358490566038	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	290	"AWI"	290	9290	10152	9747	0.386847195357834	2.90135396518375	0	0	1.1605415860735	0	29.5938104448743	0	0	0	0	2.12765957446809	0	0	0	0.967117988394584	0	0	0	0.773694390715667	0	46.0348162475822	10.6382978723404	0	1.54738878143133	0	0.193423597678917	0	0	0	3.67504835589942	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	300	"AWI"	300	9613	10351	9986	0	2.47787610619469	0	0	0.884955752212389	0	12.3893805309735	0	0	0.176991150442478	0	1.76991150442478	0	0	0	0.530973451327434	0	0	0	1.06194690265487	0	65.6637168141593	5.84070796460177	0	1.41592920353982	0	0.176991150442478	0	0	0	6.54867256637168	0	0.353982300884956	0.707964601769911
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	310	"AWI"	310	9891	10763	10292	0	1.91938579654511	0.767754318618042	0	0.767754318618042	0	7.86948176583493	0.575815738963532	0	0	0	1.72744721689059	0	0	0	0.575815738963532	0	0	0	0	0.191938579654511	71.9769673704415	7.2936660268714	0.191938579654511	0.959692898272553	0	0.959692898272553	0	0	0	3.45489443378119	0	0.383877159309021	0.383877159309021
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	320	"AWI"	320	10171	11204	10654	0	1.66975881261596	0	0.185528756957328	1.11317254174397	0	12.430426716141	0	0	0	0	2.78293135435993	0	0	0	0	0	0	0	0.371057513914657	0.185528756957328	72.1706864564007	3.71057513914657	0	1.66975881261596	0	0.742115027829314	0	0	0	2.96846011131725	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	330	"AWI"	330	10528	11510	11022	0	1.0593220338983	0.847457627118644	0	15.4661016949153	0	24.1525423728814	0	0	0	0.211864406779661	10.8050847457627	1.27118644067797	0.211864406779661	0.635593220338983	1.0593220338983	0	0	0	0	0	24.5762711864407	4.02542372881356	0	5.50847457627119	0	2.11864406779661	0	0	0	7.83898305084746	0	0.211864406779661	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	340	"AWI"	340	10989	11831	11378	0	0	0	0	27.2727272727273	0	0	0	0	0	2.84090909090909	25.5681818181818	0	0	0	0.568181818181818	0	0	0	0	0	2.27272727272727	2.84090909090909	0.568181818181818	3.40909090909091	0	5.68181818181818	0	0	0	28.4090909090909	0	0	0.568181818181818
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	350	"AWI"	350	11381	12310	11786	0	0	4.28571428571429	0	40	0	0	0.357142857142857	0	0	1.42857142857143	5.71428571428571	0	0	0	1.78571428571429	0	0	0	0	0	0	0	0.357142857142857	27.5	0	0.357142857142857	2.14285714285714	0	0	15.7142857142857	0	0.357142857142857	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	360	"AWI"	360	11756	12727	12261	0	0	2.60586319218241	0	39.0879478827362	0	0	0	0	0	1.62866449511401	18.8925081433225	0	0	0	1.62866449511401	0	0	0	0	0	0	0	0	15.6351791530945	0	1.62866449511401	16.2866449511401	0	0	2.60586319218241	0	0	0
