"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2200	"AWI"	2200	67762	80634	73544	18.9873417721519	0	14.5569620253165	0	1.89873417721519	0	17.7215189873418	6.32911392405063	0	22.1518987341772	14.5569620253165	0.632911392405063	3.16455696202532
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2225	"AWI"	2225	68465	81183	74230	14.6496815286624	0	28.6624203821656	0	0	0.636942675159236	11.4649681528662	3.82165605095541	0	21.656050955414	8.9171974522293	1.91082802547771	8.28025477707006
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2250	"AWI"	2250	69247	81672	74950	19.620253164557	0.632911392405063	32.2784810126582	0.632911392405063	2.53164556962025	0	3.16455696202532	1.89873417721519	0	18.3544303797468	13.2911392405063	0.632911392405063	6.9620253164557
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2275	"AWI"	2275	69834	82164	75680	5.96026490066225	0.662251655629139	55.6291390728477	0	1.32450331125828	0	7.28476821192053	1.98675496688742	0	20.5298013245033	3.97350993377483	0	2.64900662251656
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2300	"AWI"	2300	70285	83031	76395	7.43243243243243	0	45.945945945946	0.675675675675676	2.7027027027027	0	2.7027027027027	4.72972972972973	0	10.1351351351351	16.8918918918919	0	8.78378378378378
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2325	"AWI"	2325	71081	83770	77057	8.2089552238806	7.46268656716418	31.3432835820896	0	2.23880597014925	2.23880597014925	6.71641791044776	5.97014925373134	0	14.1791044776119	11.9402985074627	0.746268656716418	8.95522388059701
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2350	"AWI"	2350	71929	84381	77757	16.0714285714286	12.5	4.46428571428571	0.892857142857143	10.7142857142857	2.67857142857143	5.35714285714286	7.14285714285714	0	12.5	16.0714285714286	0.892857142857143	10.7142857142857
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2375	"AWI"	2375	72569	85013	78487	1.86915887850467	29.9065420560748	10.2803738317757	0.934579439252336	13.0841121495327	9.34579439252336	3.73831775700935	0	0	8.41121495327103	8.41121495327103	3.73831775700935	10.2803738317757
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2400	"AWI"	2400	73090	85850	79198	5.12820512820513	28.2051282051282	4.27350427350427	1.70940170940171	4.27350427350427	11.965811965812	4.27350427350427	27.3504273504274	0	3.41880341880342	0.854700854700855	0.854700854700855	7.69230769230769
1628	1683	"Lynch's Crater"	-17.3667	145.6881	2425	"AWI"	2425	73691	86651	79886	1.65289256198347	27.2727272727273	3.30578512396694	8.26446280991736	4.95867768595041	11.5702479338843	3.30578512396694	22.3140495867769	0	3.30578512396694	5.78512396694215	0.826446280991736	7.43801652892562
