"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Urticaceae"
311	318	"Buckbean Fen"	44.29861	-110.26056	850	"AWI"	850	11267	14021	12461	3.80434782608696	0	0.271739130434783	2.44565217391304	0	32.8804347826087	0	0.543478260869565	0	0	0	0	0	2.98913043478261	0	0	0	1.90217391304348	0	4.34782608695652	0	0	2.98913043478261	40.4891304347826	0	3.26086956521739	0	0	2.17391304347826	0	0	0.271739130434783	0	0	0.543478260869565	0	1.08695652173913	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	860	"AWI"	860	11353	14186	12591	0.483091787439614	0	0.483091787439614	3.38164251207729	0	32.3671497584541	0	0	0	0	0	0	0	0.966183574879227	0	0	0	2.89855072463768	0	6.28019323671498	0	0	2.89855072463768	40.0966183574879	0	3.86473429951691	0	0	4.34782608695652	0	0	0	0	0	1.44927536231884	0	0.483091787439614	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	870	"AWI"	870	11492	14322	12713	1.6260162601626	0	0	5.42005420054201	0	27.6422764227642	2.710027100271	1.3550135501355	0	0	0	0	0	2.1680216802168	0	0	0	0.813008130081301	0	1.8970189701897	0	0	4.6070460704607	36.8563685636856	0	7.85907859078591	0	0	0.813008130081301	0	0	0	0.5420054200542	0.5420054200542	1.6260162601626	0	3.5230352303523	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	880	"AWI"	880	11643	14444	12841	1.85758513931889	0	0.619195046439629	1.54798761609907	0	21.3622291021672	0	0.928792569659443	0	0	0	0	0	0.928792569659443	0	0	0	4.02476780185759	0	4.64396284829721	0	0	3.40557275541796	51.702786377709	0	6.19195046439629	0	0	1.23839009287926	0	0	0	0	0	1.54798761609907	0	0	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	890	"AWI"	890	11743	14604	12964	2.2680412371134	0	0.206185567010309	3.71134020618557	0	21.8556701030928	0	1.23711340206186	0	0	0	0	0	3.91752577319588	0	0	0	4.32989690721649	0	6.80412371134021	0	0	1.03092783505155	38.3505154639175	0	9.27835051546392	0	0	1.03092783505155	0	0.206185567010309	0	0	1.44329896907216	1.85567010309278	0	1.85567010309278	0	0	0	0.618556701030928
311	318	"Buckbean Fen"	44.29861	-110.26056	900	"AWI"	900	11881	14732	13088	2.89156626506024	0	0	5.54216867469879	0	23.3734939759036	0	1.44578313253012	0	0	0.240963855421687	0	0	3.6144578313253	0	0	0	3.85542168674699	0	4.81927710843374	0	0	3.85542168674699	37.8313253012048	0	6.74698795180723	0	0	0.963855421686747	0	0.240963855421687	0	0.240963855421687	0	2.40963855421687	0	1.92771084337349	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	910	"AWI"	910	12027	14849	13218	1.0840108401084	0	0.5420054200542	5.69105691056911	0	27.9132791327913	0	3.7940379403794	0	0	0	0	0	3.2520325203252	0.5420054200542	0	0	4.0650406504065	0	5.69105691056911	0	0	3.7940379403794	27.3712737127371	0.2710027100271	9.21409214092141	0	0	0.2710027100271	0	0	0.2710027100271	0	0.5420054200542	3.5230352303523	0	1.8970189701897	0	0.2710027100271	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	920	"AWI"	920	12134	15015	13336	1.51057401812689	0	0.302114803625378	4.83383685800604	0	25.6797583081571	3.92749244712991	0.906344410876133	0	0	0	0	0	2.11480362537764	0	0	0	0	0	4.53172205438066	0	0	3.02114803625378	43.5045317220544	0	4.53172205438066	0	0	0.906344410876133	0	0	0	0	1.20845921450151	1.51057401812689	0	1.51057401812689	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	930	"AWI"	930	12288	15166	13455	0.892857142857143	0	0.535714285714286	4.28571428571429	0.178571428571429	24.1071428571429	3.21428571428571	0.535714285714286	0	0	0	0	0	3.39285714285714	0	0.178571428571429	0	3.39285714285714	0	3.39285714285714	0	0	4.28571428571429	41.6071428571429	0	5.53571428571429	0	0	0.714285714285714	0	0	0	0	0.892857142857143	1.60714285714286	0	1.25	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	943	"AWI"	943	12505	15329	13608	2.28310502283105	0	0	4.10958904109589	0	22.1461187214612	2.73972602739726	3.42465753424658	0	0	0	0	0	2.73972602739726	0	0	0	6.16438356164384	0	3.65296803652968	0	0	2.51141552511416	36.5296803652968	0	7.07762557077625	0.228310502283105	0	2.05479452054794	0	0	0.228310502283105	0.45662100456621	1.36986301369863	1.59817351598174	0	0.684931506849315	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	953	"AWI"	953	12653	15472	13726	1.08695652173913	0	0	4.89130434782609	0	19.5652173913043	0	2.17391304347826	0	0	0	0	0	3.26086956521739	0	0	0	0	0	3.26086956521739	0	0	5.43478260869565	53.2608695652174	0	4.89130434782609	0	0	0	0	0	0	0	0	0.543478260869565	0.543478260869565	1.08695652173913	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	958	"AWI"	958	12694	15557	13786	1.11524163568773	0	0	6.69144981412639	0	27.8810408921933	2.97397769516729	0.743494423791822	0	0	0	0	0	3.71747211895911	0	0	0	2.60223048327138	0	2.60223048327138	0	0	1.85873605947955	40.5204460966543	0	4.08921933085502	0	0	0	0	0.371747211895911	0	0.371747211895911	0	1.11524163568773	0	3.3457249070632	0	0	0	0
