"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
208	209	"Lac à l'Ange"	47.48167	-70.68472	538	"AWI"	538	12288	17166	14124	0	0	0	0.224719101123596	0	1.57303370786517	1.34831460674157	2.92134831460674	0.449438202247191	0	0	5.39325842696629	0	0.224719101123596	51.685393258427	0	0	0	0	0	0	0.449438202247191	0	0	1.57303370786517	0	0	0	0.449438202247191	0.224719101123596	0	4.04494382022472	0	0	14.8314606741573	0	0	0	0	0.449438202247191	0	0	0	13.2584269662921	0	0	0	0	0	0.224719101123596	0	0	0.674157303370786	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	539	"AWI"	539	12309	17277	14183	0	0	0.891861761426979	0.334448160535117	0	1.56075808249721	1.44927536231884	4.0133779264214	0.334448160535117	0	0.111482720178372	4.57079152731327	0.111482720178372	1.67224080267559	49.6098104793757	0	0	0	0	0	0.668896321070234	0	0	0	1.33779264214047	0	0	0.334448160535117	0.111482720178372	0.111482720178372	0	5.57413600891862	0	0.111482720178372	18.1716833890747	0	0	0	0.222965440356745	0.111482720178372	0	0	0	6.4659977703456	0	0	0.111482720178372	0	0.334448160535117	0.111482720178372	0	0	1.56075808249721	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	544	"AWI"	544	12426	17918	14445	0.167224080267559	0	0.668896321070234	0	0	2.34113712374582	2.17391304347826	4.18060200668896	0	0	0	5.85284280936455	0	2.0066889632107	38.4615384615385	0	0	0	0	0.167224080267559	0	0	0	0	2.34113712374582	0	0	0.334448160535117	0.668896321070234	0	0	5.68561872909699	0	0.167224080267559	20.7357859531773	0	0	0	0.668896321070234	0	0	0	0	12.5418060200669	0	0	0	0	0	0.334448160535117	0	0.334448160535117	0.167224080267559	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	547	"AWI"	547	12512	18313	14610	0	0	0	0	0	2.29007633587786	0	5.72519083969466	0	0	0	5.34351145038168	0	1.14503816793893	38.9312977099237	0	0	0	0	0	0	0	0	0	1.52671755725191	0	0	0	0	0	0	12.2137404580153	0	0	16.793893129771	0	0	0	1.14503816793893	0	0	0	0	13.7404580152672	0	0	0	0	0	0	0	0.381679389312977	0.763358778625954	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	550	"AWI"	550	12649	18466	14798	0	0	3.18725099601594	0.398406374501992	0	4.7808764940239	4.7808764940239	10.3585657370518	0	0	0	3.58565737051793	0	4.38247011952191	21.9123505976096	0	0	0.398406374501992	0	0	0	0	0	0	3.98406374501992	0	0	0	1.99203187250996	0	0	15.9362549800797	0	0.398406374501992	13.9442231075697	0	0	0	1.99203187250996	0.398406374501992	0	0	0	0	0	0	0	5.1792828685259	0	0	0	0.398406374501992	1.99203187250996	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	552	"AWI"	552	12718	18607	14919	1.13636363636364	0	4.54545454545455	0	0	3.40909090909091	0	12.5	0	0	0	1.13636363636364	0	9.09090909090909	15.9090909090909	0	0	1.13636363636364	0	0	0	0	0	0	4.54545454545455	0	0	2.27272727272727	1.13636363636364	0	0	20.4545454545455	0	0	18.1818181818182	0	0	0	2.27272727272727	0	0	0	0	0	0	0	0	0	1.13636363636364	0	0	0	1.13636363636364	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	555	"AWI"	555	12861	18850	15107	0	0	2.3121387283237	0	0	3.75722543352601	0	10.4046242774566	0	0	0	1.15606936416185	0	1.44508670520231	12.1387283236994	0.289017341040462	0	0.289017341040462	0	0	0	0	0	0	1.73410404624277	0	0	0.867052023121387	3.46820809248555	0	10.9826589595376	16.4739884393064	0	0	14.4508670520231	0	0	0	1.73410404624277	0	0.289017341040462	0	0	17.0520231213873	0	0	0	0	0	0.289017341040462	0.289017341040462	0.289017341040462	0.289017341040462	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	556	"AWI"	556	12899	18911	15178	1.01522842639594	0	3.55329949238579	0	0	4.06091370558376	0	13.7055837563452	0.50761421319797	0	0	3.04568527918782	0	2.53807106598985	17.258883248731	0	0	0	0	0	1.52284263959391	0	0	0	3.04568527918782	0	0	0.50761421319797	2.53807106598985	0	0	25.8883248730964	0	0	13.1979695431472	0	0	0	4.06091370558376	0	0	0	0	0	0	0	0	0	0	0.50761421319797	0	0	3.04568527918782	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	558	"AWI"	558	12971	19117	15298	0.641025641025641	0	10.2564102564103	0	0	1.28205128205128	0	11.5384615384615	0	0	1.92307692307692	0	0	3.2051282051282	20.5128205128205	0	0	0	0	0	0	0	0	0	0	0	0	1.92307692307692	0.641025641025641	0	0	25	0	0	15.3846153846154	0	0	0	4.48717948717949	0	0	0	0	0	0	0	0	0	0	0	0	1.28205128205128	1.92307692307692	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	561	"AWI"	561	13057	19465	15466	0	0	4.66926070038911	0	0	2.72373540856031	1.16731517509728	7.78210116731517	0.778210116731518	0	0	1.16731517509728	0	1.16731517509728	8.94941634241245	0	0	0.389105058365759	0	0	0	0	0	0	0	0	0	0.389105058365759	1.55642023346304	0	14.3968871595331	40.0778210116732	0	0	11.284046692607	0	0	0	1.16731517509728	0	0	0	0	0	0	0	0	0	0	0.389105058365759	0	0	1.94552529182879	0
