"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
821	847	"Frains Lake"	42.33	-83.63	1050	"AWI"	1050	9734	11319	10534	0	2.01005025125628	0	0	1.00502512562814	0	1.00502512562814	1.50753768844221	0	0	0.50251256281407	1.00502512562814	0	8.04020100502512	0.50251256281407	0	0	0	11.5577889447236	0	24.1206030150754	2.01005025125628	0	0	0	39.1959798994975	0	0	0	0	0.50251256281407	0	7.03517587939699
821	847	"Frains Lake"	42.33	-83.63	1065	"AWI"	1065	10030	11832	10977	0.490196078431373	1.96078431372549	0	0	0	1.96078431372549	1.47058823529412	3.92156862745098	0	0	0	0	0	7.84313725490196	0	0	0	0	6.86274509803922	0	31.3725490196078	0.490196078431373	2.45098039215686	0	0.490196078431373	31.3725490196078	0	0	0.490196078431373	0	0.490196078431373	0.490196078431373	7.84313725490196
821	847	"Frains Lake"	42.33	-83.63	1085	"AWI"	1085	10598	12422	11509	0.495049504950495	0.495049504950495	0.99009900990099	0	0.99009900990099	0	2.97029702970297	2.97029702970297	0	1.48514851485149	0	0.99009900990099	0	9.9009900990099	0.495049504950495	1.48514851485149	0	0	4.95049504950495	1.48514851485149	35.6435643564356	0	0.99009900990099	0	3.46534653465347	17.3267326732673	0	0	0	0	0.495049504950495	0	12.3762376237624
821	847	"Frains Lake"	42.33	-83.63	1100	"AWI"	1100	10937	12831	11915	1.41509433962264	0.943396226415094	0.471698113207547	0	0	0	2.83018867924528	0.943396226415094	0	0.471698113207547	0	0.943396226415094	0	3.77358490566038	0	2.35849056603774	0	0	6.13207547169811	3.77358490566038	58.4905660377358	0.471698113207547	0.943396226415094	0	1.41509433962264	10.377358490566	0	0	0.943396226415094	0	0	0	3.30188679245283
821	847	"Frains Lake"	42.33	-83.63	1141	"AWI"	1141	12054	14135	13091	0	0	1.5	0	0	0	1.5	0	0	0	0.5	2	0	0	0	1	0	0	2	20.5	62	0	1	0	3.5	1.5	0	0	0	0	0	0.5	2.5
821	847	"Frains Lake"	42.33	-83.63	1163	"AWI"	1163	12527	14790	13802	3	0	0	0	7.5	0	1.5	0	0	0	1	2	0	2.5	0	1	0.5	0	4.5	47	9	0	2	0.5	1.5	10	0	0	4.5	1	0	0	1
821	847	"Frains Lake"	42.33	-83.63	1183	"AWI"	1183	13408	15110	14245	0.72992700729927	0.72992700729927	0	0	6.56934306569343	2.18978102189781	0	0.72992700729927	1.45985401459854	2.91970802919708	0.72992700729927	12.4087591240876	0	9.48905109489051	0	0.72992700729927	0	0	12.4087591240876	26.2773722627737	1.45985401459854	0	6.56934306569343	0	3.64963503649635	5.83941605839416	0.72992700729927	0	2.18978102189781	0.72992700729927	0	0	1.45985401459854
821	847	"Frains Lake"	42.33	-83.63	1198	"AWI"	1198	13833	15372	14592	0	0	0	0	3.33333333333333	0	2.22222222222222	0	0	0	1.11111111111111	7.77777777777778	0	21.1111111111111	0	0	0	0	10	28.8888888888889	1.11111111111111	0	4.44444444444444	0	5.55555555555556	11.1111111111111	0	0	3.33333333333333	0	0	0	0
821	847	"Frains Lake"	42.33	-83.63	1226	"AWI"	1226	14222	16162	15127	0	0	1.0989010989011	0	3.2967032967033	0	0	0	0	0	6.59340659340659	2.1978021978022	0	38.4615384615385	0	0	0	0	5.49450549450549	17.5824175824176	1.0989010989011	0	2.1978021978022	0	14.2857142857143	3.2967032967033	0	0	1.0989010989011	0	0	1.0989010989011	2.1978021978022
821	847	"Frains Lake"	42.33	-83.63	1246	"AWI"	1246	14420	16547	15403	0	1.06382978723404	0	0	3.19148936170213	0	0	1.06382978723404	1.06382978723404	1.06382978723404	11.7021276595745	5.31914893617021	0	27.6595744680851	0	1.06382978723404	0	0	4.25531914893617	30.8510638297872	0	0	4.25531914893617	0	1.06382978723404	6.38297872340426	0	0	0	0	0	0	0
821	847	"Frains Lake"	42.33	-83.63	1291	"AWI"	1291	14869	17334	16038	0	0	1.25	0	0	0	0	0	0	0	25	10	0	20	0	0	0	0	1.25	26.25	0	0	2.5	0	6.25	7.5	0	0	0	0	0	0	0
821	847	"Frains Lake"	42.33	-83.63	1363	"AWI"	1363	15770	18358	17053	0.662251655629139	0.662251655629139	1.32450331125828	0.662251655629139	8.60927152317881	4.63576158940397	1.98675496688742	1.32450331125828	0	0	1.98675496688742	7.94701986754967	0	5.96026490066225	0	0	1.32450331125828	0	2.64900662251656	31.1258278145695	2.64900662251656	0	5.96026490066225	0	3.3112582781457	7.94701986754967	2.64900662251656	0	3.97350993377483	0	0	0.662251655629139	1.98675496688742
821	847	"Frains Lake"	42.33	-83.63	1400	"AWI"	1400	16250	18820	17576	0	0	2.08333333333333	0	4.16666666666667	0	4.16666666666667	0	0	0	10.4166666666667	4.16666666666667	0	16.6666666666667	0	0	0	0	0	43.75	0	0	8.33333333333333	0	0	6.25	0	0	0	0	0	0	0
