"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
970	1001	"Hail Lake"	60.03333	-129.01667	372	"AWI"	372	9260	9785	9550	0	0	0	0	0	5.63380281690141	1.40845070422535	53.5211267605634	0	0	0	0	7.04225352112676	0	0	0	0	0	4.22535211267606	0	2.8169014084507	0	0	0	0	0	0	0	1.40845070422535	0	0	0	0	0	0	0	0	22.5352112676056	1.40845070422535	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	380	"AWI"	380	9375	9847	9627	0	0	0	0	0	7.28476821192053	0	33.112582781457	0	0	0	0	2.64900662251656	0	0	0	0	0	0.662251655629139	0	27.8145695364238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.476821192053	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	396	"AWI"	396	9575	9999	9772	0	0	0	0	0	4.61538461538462	0	38.4615384615385	0	1.53846153846154	0	0	4.61538461538462	0	0	0	0	0	6.15384615384615	0	6.15384615384615	0	0	0	0	0	0	0	1.53846153846154	0	0	0	0	0	0	0	0	36.9230769230769	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	404	"AWI"	404	9631	10086	9850	0	0	0	0	0	9.23076923076923	1.53846153846154	40	0	0	0	0	6.15384615384615	0	0	0	0	0	0	0	26.1538461538462	0	0	0	0	0	0	0	1.53846153846154	0	0	0	0	0	0	0	1.53846153846154	12.3076923076923	1.53846153846154	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	412	"AWI"	412	9719	10127	9908	0	0	0	0	0	22.8571428571429	2.85714285714286	40	0	0	0	0	0	0	0	0	0	0	2.85714285714286	0	14.2857142857143	0	0	0	0	0	0	0	2.85714285714286	0	0	0	0	0	0	0	0	14.2857142857143	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	420	"AWI"	420	9759	10172	9964	0	0	0	0	0	7.95454545454545	1.13636363636364	69.3181818181818	0	0	0	0	2.27272727272727	0	0	0	0	0	3.40909090909091	0	2.27272727272727	0	0	0	0	0	0	0	3.40909090909091	0	0	0	0	0	0	0	0	9.09090909090909	0	0	0	0	1.13636363636364	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	428	"AWI"	428	9817	10248	10017	0	0	0	0	0	4.83870967741935	0	39.5161290322581	0	0	0	0	2.41935483870968	0	0	0	0	0	0.806451612903226	0	31.4516129032258	0	0	0	0	0	0	0	0.806451612903226	0	0	0	0	0	0	0	0	20.1612903225806	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	432	"AWI"	432	9841	10294	10043	0	0	0	0	0	0.943396226415094	0	45.2830188679245	0	0	0	0	1.88679245283019	0	0	0	0	0	0	0	5.66037735849057	0.943396226415094	0	0	0	0	0	0	1.88679245283019	0	0	0	0	0	0	0	0	42.4528301886792	0	0	0	0.943396226415094	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	436	"AWI"	436	9860	10353	10065	0	0	0	0	0	6.73076923076923	0	49.0384615384615	0	0	0	0	4.80769230769231	0	0	0	0	0	1.92307692307692	0	10.5769230769231	0	0	0	0	0	0	0	1.92307692307692	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	440	"AWI"	440	9875	10423	10090	0	0	0	0	0	7.64331210191083	0	47.7707006369427	0	0	0	0	8.28025477707006	0	0	0	0	0	1.91082802547771	0	19.1082802547771	0	0	0	0	0	0	0	3.18471337579618	0	0	0	0	0	0	0	0	12.1019108280255	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	444	"AWI"	444	9910	10456	10114	0	0	0	0	0	4.8780487804878	1.6260162601626	69.1056910569106	0	0	0	0	0.813008130081301	0	0	0	0	0	0	0	5.69105691056911	0	0	0	0.813008130081301	0	0	0	0.813008130081301	0	0	0	0	0	0	0	0	14.6341463414634	1.6260162601626	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	452	"AWI"	452	9969	10538	10159	0	0	0	1.14942528735632	0	6.89655172413793	0	60.3448275862069	0	0	0	0	4.59770114942529	0	0	0	0	0	0	0	9.19540229885057	0	0	0	0	0	0	0	1.72413793103448	0	0	0	0.574712643678161	0	0	0	0	13.2183908045977	2.29885057471264	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	456	"AWI"	456	9992	10582	10183	0	0	0	0	0	6.32411067193676	0.395256916996047	46.6403162055336	0	0	0	0	2.76679841897233	0	0	0	0	0	3.55731225296443	0	2.76679841897233	0.395256916996047	0	0.790513833992095	0	0	0	0	2.37154150197628	0	0	0	0	0.395256916996047	0	0	0	32.8063241106719	0.790513833992095	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	460	"AWI"	460	10066	10631	10250	0	0	0	0	0	3.68852459016393	0.409836065573771	47.5409836065574	0	0	0	0	4.50819672131148	0	0	0	0	0	2.45901639344262	0	2.04918032786885	0	0	0	0	0	0	0	0.409836065573771	0	0	0	0	0	0	0	0	38.1147540983607	0.819672131147541	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	464	"AWI"	464	10137	10692	10353	0	0	0	0	0	11.522633744856	0.823045267489712	64.1975308641975	0	0	0	0	3.7037037037037	0	0	0	0	0	2.05761316872428	0	0.411522633744856	0	0	0	0	0	0	0	0.823045267489712	0	0	0	0	0	0	0	0.411522633744856	15.2263374485597	0.823045267489712	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	468	"AWI"	468	10187	10767	10450	0	0	0	0.45045045045045	0	15.7657657657658	0.45045045045045	63.963963963964	0	0	0	0	5.40540540540541	0	0	0	0	0	0.900900900900901	0	0.45045045045045	0	0.45045045045045	0	0	0	0	0	2.25225225225225	0	0	0	0	0	0	0	0	9.00900900900901	0.900900900900901	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	472	"AWI"	472	10215	10879	10544	0	0	0	0	0	7.26495726495727	0.427350427350427	60.2564102564103	0	0	0	0	3.84615384615385	0	0	0	0	0	3.41880341880342	0	2.13675213675214	0	0	0	0	0	0	0	2.13675213675214	0	0	0	0	0	0	0	0	17.0940170940171	3.41880341880342	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	476	"AWI"	476	10277	11011	10629	0	0	0	0	0	14.5945945945946	2.7027027027027	62.7027027027027	0	0	0	0	5.40540540540541	0	0	0	0	0	0.540540540540541	0	0	0.540540540540541	0	0	0	0	0	0	1.08108108108108	0	0	0	0	0	0	0	0	11.8918918918919	0.540540540540541	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	480	"AWI"	480	10411	11064	10714	0	0	0	0.564971751412429	0	11.864406779661	2.25988700564972	49.1525423728814	0	0	0.564971751412429	0	9.03954802259887	0	0	0	0	0	1.12994350282486	0	2.82485875706215	0	0	0	0	0	0	0	6.77966101694915	0	0	0	0	0	0	0	0	15.819209039548	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	484	"AWI"	484	10478	11178	10808	0	0	0	0	0	13.1818181818182	1.36363636363636	49.5454545454545	0	0	0	0	5.90909090909091	0	0	0	0	0	2.27272727272727	0	0	0	0	0	0	0	0	0	8.63636363636364	0	0	0	0	0	0	0	0	19.0909090909091	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	488	"AWI"	488	10538	11388	10905	1.6260162601626	0	0.813008130081301	0	0	20.3252032520325	1.6260162601626	41.4634146341463	0	0	0	0	11.3821138211382	0	0	0	0	0	1.6260162601626	0	0	0	0	0	0	0	0	0	9.75609756097561	0	0	0	0	0	0	0	0	10.5691056910569	0	0	0	0	0.813008130081301	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	492	"AWI"	492	10575	11630	10993	1.31578947368421	0	0	0	0	13.1578947368421	0	35.5263157894737	0	0	0	0	7.89473684210526	0	0.657894736842105	0	0	0.657894736842105	12.5	0	0	0	0	0.657894736842105	0	0	7.23684210526316	0	5.26315789473684	0	0	0	0	0	0	0	0	11.8421052631579	0	0	0	0	2.63157894736842	0	0.657894736842105	0
970	1001	"Hail Lake"	60.03333	-129.01667	496	"AWI"	496	10633	11766	11084	1.5	0	0	0	0	22	1.5	35.5	0	0	0	0	10.5	1.5	0.5	0	0	0	4	0	0.5	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	17	0	0	0	0	0.5	0	0	0.5
970	1001	"Hail Lake"	60.03333	-129.01667	500	"AWI"	500	10685	11891	11173	0	0	0.961538461538462	0	0	20.1923076923077	0	27.8846153846154	0	0	0	0	11.5384615384615	0	0	0	0	0	8.65384615384615	0	0	0	0	0	0	0	0	0	3.84615384615385	0	0	0	0	0	0	0	0	25	0	0	0.961538461538462	0	0.961538461538462	0	0	0
