"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Viburnum"
513	527	"Crowsnest Lake"	68.33333	-146.48333	340	"AWI"	340	7248	9372	8423	0	1	6	0	117	0	1	0	132	2	0	0	0	0	0	0	0	0	67	0	0	30	0	0	1	0	0	0	8	0	0	2
513	527	"Crowsnest Lake"	68.33333	-146.48333	350	"AWI"	350	7443	9567	8612	0	0	7	0	228	0	0	0	41	0	0	0	2	0	0	0	0	0	17	0	0	15	0	0	0	0	0	0	9	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	357	"AWI"	357	7626	9658	8743	0	1	6	0	211	0	1	0	101	1	0	0	2	0	0	0	0	0	99	0	0	22	0	0	8	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	370	"AWI"	370	7891	9891	8983	0	0	4	0	85	0	3	0	61	3	3	0	2	0	2	1	0	0	31	0	0	17	0	0	0	0	0	0	3	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	380	"AWI"	380	8147	9990	9169	0	0	3	0	209	0	0	0	54	1	0	0	2	0	0	0	0	0	35	0	0	9	0	0	2	0	0	0	6	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	390	"AWI"	390	8335	10167	9355	0	0	8	0	184	0	0	0	102	2	0	0	1	0	0	0	0	0	26	0	0	9	0	0	0	0	0	0	4	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	400	"AWI"	400	8710	10237	9517	0	0	3	0	62	0	1	0	89	9	0	1	1	0	0	1	0	0	20	0	0	7	0	0	0	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	406	"AWI"	406	8864	10299	9620	0	1	2	0	172	0	3	0	73	4	0	0	2	3	0	0	0	0	30	0	0	15	0	0	3	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	415	"AWI"	415	9045	10421	9755	0	0	2	0	176	0	0	0	92	2	0	0	1	0	0	0	0	0	4	0	0	14	0	0	1	0	0	0	7	0	0	1
513	527	"Crowsnest Lake"	68.33333	-146.48333	422	"AWI"	422	9147	10483	9821	0	0	1	0	172	0	0	0	84	10	0	0	3	1	0	1	0	0	19	0	0	7	0	0	0	0	0	0	15	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	425	"AWI"	425	9190	10514	9854	0	0	0	0	53	0	0	0	67	20	0	0	4	0	1	0	0	0	49	0	0	10	0	0	0	0	0	0	5	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	426	"AWI"	426	9213	10528	9867	0	0	2	0	75	0	0	0	58	24	0	1	1	0	0	0	0	0	18	0	0	8	0	0	1	0	0	0	10	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	430	"AWI"	430	9276	10586	9917	0	0	3	0	255	0	0	0	69	3	0	0	2	2	0	0	0	1	24	0	0	15	0	0	0	0	0	0	13	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	440	"AWI"	440	9394	10681	10002	0	0	6	0	187	0	0	0	96	1	0	1	4	0	0	2	0	0	9	0	0	18	0	0	1	0	0	0	15	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	450	"AWI"	450	9485	10762	10070	0	0	3	0	113	0	1	0	44	3	0	0	8	0	0	0	0	0	8	0	0	9	0	0	5	0	0	0	7	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	460	"AWI"	460	9581	10846	10138	0	0	8	0	186	0	1	0	85	10	0	0	2	3	0	0	0	0	9	0	0	9	0	0	0	0	0	0	11	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	475	"AWI"	475	9720	10963	10244	0	1	4	0	152	0	0	0	105	12	0	1	3	2	1	0	0	0	7	0	0	9	0	0	1	0	0	0	6	0	0	0
