"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liquidambar"	"Magnolia"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
971	1002	"Hams Lake"	43.23667	-80.41333	1010	"AWI"	1010	2614	3291	2993	0	9.96884735202492	0	0	0	0.311526479750779	0	0	6.54205607476635	0	2.28452751817238	0	0	0	0	0	0	0.415368639667705	0	0	0	27.2066458982347	8.61889927310488	0	0.103842159916926	0.623052959501558	1.03842159916926	0	0.415368639667705	0	0	0	0	4.88058151609553	0.103842159916926	2.80373831775701	0	2.18068535825545	0.415368639667705	0.519210799584631	19.1069574247144	0.103842159916926	0	0	0.103842159916926	0	0	0	1.45379023883697	1.03842159916926	9.65732087227414	0.103842159916926
971	1002	"Hams Lake"	43.23667	-80.41333	1018	"AWI"	1018	2663	3492	3092	0	8.22510822510823	0	0.108225108225108	0	0.324675324675325	0	0	7.03463203463204	0	3.8961038961039	0	0.216450216450216	0.108225108225108	0	0	0.108225108225108	1.62337662337662	0	0	0	28.7878787878788	8.33333333333333	0	0	0	0.649350649350649	0	0.432900432900433	0.108225108225108	0	0	0	4.22077922077922	0.324675324675325	4.004329004329	0	1.2987012987013	0.108225108225108	0	17.3160173160173	0	0	0	0.108225108225108	0.108225108225108	0	0.108225108225108	1.40692640692641	1.62337662337662	9.41558441558442	0
971	1002	"Hams Lake"	43.23667	-80.41333	1026	"AWI"	1026	2844	3561	3203	0	6.39269406392694	0	0.228310502283105	0	0.570776255707762	0	0	5.25114155251141	0.228310502283105	4.22374429223744	0	0.114155251141553	0	0	0	0	1.48401826484018	0	0	0	22.7168949771689	5.70776255707763	0	0.114155251141553	0	0.342465753424658	0	0	0	0	0	0	5.02283105022831	0.228310502283105	4.90867579908676	0	1.94063926940639	0.570776255707762	0	26.2557077625571	0	0	0	0.45662100456621	0	0	0.114155251141553	2.62557077625571	1.59817351598174	8.9041095890411	0
971	1002	"Hams Lake"	43.23667	-80.41333	1034	"AWI"	1034	2961	3647	3321	0	9.0146750524109	0	0	0	0.314465408805031	0	0	4.61215932914046	0	3.77358490566038	0	0.10482180293501	0.10482180293501	0	0	0.209643605870021	0.838574423480084	0	0	0	23.3752620545073	7.33752620545073	0	0	0	0.628930817610063	0	0.838574423480084	0	0	0	0	5.13626834381551	0.10482180293501	6.70859538784067	0	0.733752620545073	0.10482180293501	0.10482180293501	21.4884696016771	0	0	0	0.10482180293501	0	0.10482180293501	0.10482180293501	1.46750524109015	1.88679245283019	10.7966457023061	0
971	1002	"Hams Lake"	43.23667	-80.41333	1042	"AWI"	1042	3096	3767	3438	0	10.2754237288136	0	0	0	0.317796610169492	0	0	4.97881355932203	0	5.29661016949153	0	0	0	0	0	0	0.847457627118644	0.105932203389831	0	0	19.1737288135593	4.66101694915254	0	0.741525423728814	0	2.11864406779661	0	0.635593220338983	0.105932203389831	0	0	0	5.93220338983051	0	5.40254237288136	0	1.48305084745763	0.423728813559322	0.211864406779661	19.5974576271186	0.211864406779661	0	0	0.211864406779661	0	0.105932203389831	0.211864406779661	2.33050847457627	2.01271186440678	12.6059322033898	0
971	1002	"Hams Lake"	43.23667	-80.41333	1049	"AWI"	1049	3322	3828	3547	0	10.8053007135576	0	0	0	0.203873598369011	0	0	5.70846075433231	0	3.16004077471967	0	0	0	0	0	0.101936799184506	0.815494393476045	0	0	0	20.9989806320082	10.2956167176351	0	0.101936799184506	0	0.815494393476045	0	1.22324159021407	0	0	0	0	4.28134556574923	0.101936799184506	2.65035677879715	0	1.42711518858308	0	0.305810397553517	20.1834862385321	0	0	0	0.203873598369011	0.101936799184506	0	0	1.52905198776758	0.815494393476045	14.1692150866463	0
971	1002	"Hams Lake"	43.23667	-80.41333	1058	"AWI"	1058	3455	4020	3694	0	10.7740585774059	0	0	0	0	0	0	6.06694560669456	0	2.40585774058577	0	0	0	0	0	0.313807531380753	1.04602510460251	0	0	0	25.418410041841	7.21757322175732	0	0	0	0.941422594142259	0	0.732217573221757	0	0	0	0	3.34728033472803	0	5.02092050209205	0	0.941422594142259	0.209205020920502	0.104602510460251	20.9205020920502	0	0	0	0.523012552301255	0	0	0	1.35983263598326	0.836820083682008	11.8200836820084	0
971	1002	"Hams Lake"	43.23667	-80.41333	1066	"AWI"	1066	3574	4203	3844	0	9.82532751091703	0	0	0	0.327510917030568	0	0	2.7292576419214	0	2.29257641921397	0	0	0.109170305676856	0	0	0	0.873362445414847	0	0	0	20.6331877729258	7.09606986899563	0	0.109170305676856	0	0.764192139737991	0	0.218340611353712	0.109170305676856	0	0	0	6.87772925764192	0	6.65938864628821	0	1.41921397379913	0.109170305676856	0.218340611353712	23.7991266375546	0	0	0	0.218340611353712	0.109170305676856	0	0	2.83842794759825	0.655021834061135	12.0087336244541	0
971	1002	"Hams Lake"	43.23667	-80.41333	1074	"AWI"	1074	3649	4408	4010	0	7.75862068965517	0	0	0	0.156739811912226	0	0	3.6833855799373	0	3.52664576802508	0	0	0	0	0	0.156739811912226	0.626959247648903	0	0	0	22.884012539185	6.42633228840125	0	0.235109717868339	1.01880877742947	0.54858934169279	0	0.235109717868339	0	0	0	0	3.76175548589342	0	3.76175548589342	0	1.56739811912226	0.0783699059561128	0	27.6645768025078	0	0	0	0.705329153605016	0	0	0	1.48902821316614	0.156739811912226	13.5579937304075	0
971	1002	"Hams Lake"	43.23667	-80.41333	1082	"AWI"	1082	3699	4693	4167	0	6.50406504065041	0	0.101626016260163	0	0.304878048780488	0	0	3.76016260162602	0.101626016260163	3.55691056910569	0	0.101626016260163	0	0.101626016260163	0	0.101626016260163	0.40650406504065	0	0	0	17.479674796748	3.86178861788618	0	0.203252032520325	0	0.304878048780488	0	0.304878048780488	0	0	0	0	4.67479674796748	0	8.94308943089431	0	1.11788617886179	0	0	36.9918699186992	0	0	0	0.304878048780488	0	0	0	1.21951219512195	0.203252032520325	9.34959349593496	0
