"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
263	269	"Banks Island 74MS15"	73.53333	-120.21667	100	"AWI"	100	5549	6631	5997	0	1.49253731343284	0	5.07462686567164	1.49253731343284	0	56.7164179104478	0	1.19402985074627	2.98507462686567	0	26.865671641791	0	0	1.49253731343284	2.6865671641791
263	269	"Banks Island 74MS15"	73.53333	-120.21667	105	"AWI"	105	5708	6905	6219	0	2.04678362573099	0	4.3859649122807	1.75438596491228	0	54.6783625730994	0	0.87719298245614	4.09356725146199	0	27.7777777777778	0	0	2.63157894736842	1.75438596491228
263	269	"Banks Island 74MS15"	73.53333	-120.21667	109	"AWI"	109	5782	7270	6382	2.80701754385965	3.50877192982456	0	7.01754385964912	1.40350877192982	0	45.6140350877193	0	2.10526315789474	2.10526315789474	0	24.5614035087719	0	0	7.36842105263158	3.50877192982456
263	269	"Banks Island 74MS15"	73.53333	-120.21667	115	"AWI"	115	5958	7581	6643	2.31023102310231	4.29042904290429	0	6.93069306930693	1.65016501650165	0	41.9141914191419	0	3.63036303630363	2.97029702970297	0.33003300330033	24.0924092409241	0	0	7.26072607260726	4.62046204620462
263	269	"Banks Island 74MS15"	73.53333	-120.21667	120	"AWI"	120	6066	7949	6851	0	0.550964187327824	1.10192837465565	4.40771349862259	0	0	53.9944903581267	1.10192837465565	0.550964187327824	1.92837465564738	0	29.7520661157025	3.30578512396694	0	1.10192837465565	2.20385674931129
263	269	"Banks Island 74MS15"	73.53333	-120.21667	125	"AWI"	125	6245	8113	7081	0	0.78740157480315	1.83727034120735	5.51181102362205	0	0	50.9186351706037	1.31233595800525	1.31233595800525	2.36220472440945	0	27.0341207349081	3.41207349081365	0	3.6745406824147	1.83727034120735
263	269	"Banks Island 74MS15"	73.53333	-120.21667	130	"AWI"	130	6359	8431	7303	4.0133779264214	3.01003344481605	0	6.02006688963211	0	0	46.1538461538462	0	1.67224080267559	4.0133779264214	0	22.0735785953177	3.01003344481605	0	6.02006688963211	4.0133779264214
263	269	"Banks Island 74MS15"	73.53333	-120.21667	135	"AWI"	135	6586	8593	7537	3.42465753424658	3.08219178082192	0	7.19178082191781	0	0	45.8904109589041	0	0.684931506849315	3.76712328767123	0.684931506849315	23.6301369863014	3.76712328767123	0	5.82191780821918	2.05479452054794
263	269	"Banks Island 74MS15"	73.53333	-120.21667	140	"AWI"	140	6712	8861	7756	0	4.04984423676012	0	3.73831775700935	0	0	40.4984423676012	0	0.311526479750779	3.73831775700935	0	37.3831775700935	0	0	5.9190031152648	4.3613707165109
263	269	"Banks Island 74MS15"	73.53333	-120.21667	145	"AWI"	145	6974	9032	7982	0	4.51807228915663	0	6.62650602409639	0	0	37.6506024096386	0	2.10843373493976	4.51807228915663	0.301204819277108	34.3373493975904	0	0	6.32530120481928	3.6144578313253
263	269	"Banks Island 74MS15"	73.53333	-120.21667	150	"AWI"	150	7110	9280	8209	0	1.77935943060498	0	4.27046263345196	0	0	49.1103202846975	0	1.06761565836299	8.18505338078292	4.27046263345196	23.4875444839858	0	0	3.91459074733096	3.91459074733096
263	269	"Banks Island 74MS15"	73.53333	-120.21667	155	"AWI"	155	7338	9414	8426	0	1.03448275862069	0	6.55172413793103	0	0	46.551724137931	0	2.41379310344828	7.24137931034483	3.79310344827586	23.1034482758621	0	0	5.86206896551724	3.44827586206897
263	269	"Banks Island 74MS15"	73.53333	-120.21667	161	"AWI"	161	7570	9663	8701	0	5.98290598290598	3.41880341880342	0.854700854700855	0	3.41880341880342	43.5897435897436	0	0.854700854700855	3.41880341880342	3.41880341880342	24.2165242165242	0	0	3.41880341880342	7.40740740740741
263	269	"Banks Island 74MS15"	73.53333	-120.21667	165	"AWI"	165	7815	9773	8874	0	5	3.66666666666667	2.33333333333333	0	4.33333333333333	38.6666666666667	0	2.66666666666667	5	3.66666666666667	27	0	0	3.66666666666667	4
263	269	"Banks Island 74MS15"	73.53333	-120.21667	170	"AWI"	170	8012	9961	9090	0	5.43478260869565	0	5.43478260869565	2.17391304347826	0	47.463768115942	0	1.44927536231884	3.6231884057971	0	25	0	0	5.07246376811594	4.34782608695652
263	269	"Banks Island 74MS15"	73.53333	-120.21667	175	"AWI"	175	8348	10062	9307	0	4.2483660130719	0	8.16993464052288	2.28758169934641	0	45.4248366013072	0	0.65359477124183	4.90196078431373	0.326797385620915	22.5490196078431	0	0	7.84313725490196	3.59477124183007
263	269	"Banks Island 74MS15"	73.53333	-120.21667	180	"AWI"	180	8535	10242	9519	0	7.52688172043011	0	1.4336917562724	0	0	51.6129032258064	0	1.0752688172043	3.2258064516129	0	25.8064516129032	0	0	0	9.31899641577061
263	269	"Banks Island 74MS15"	73.53333	-120.21667	185	"AWI"	185	8978	10329	9721	0	5.53745928338762	0	5.53745928338762	0	0	47.8827361563518	0	2.93159609120521	3.58306188925081	0	23.1270358306189	0	0	5.21172638436482	6.18892508143322
263	269	"Banks Island 74MS15"	73.53333	-120.21667	190	"AWI"	190	9251	10496	9941	0	6.79611650485437	0	0.970873786407767	4.20711974110032	0	28.8025889967638	0	1.29449838187702	3.23624595469256	0	45.6310679611651	0	0	4.20711974110032	4.85436893203883
263	269	"Banks Island 74MS15"	73.53333	-120.21667	195	"AWI"	195	9466	10607	10082	0	2.83018867924528	0	4.08805031446541	3.45911949685535	0	29.559748427673	0	1.88679245283019	4.08805031446541	0.628930817610063	43.0817610062893	0	0	7.23270440251572	3.14465408805031
263	269	"Banks Island 74MS15"	73.53333	-120.21667	200	"AWI"	200	9575	10829	10245	0	0.980392156862745	0	2.28758169934641	0	0	34.3137254901961	0	0.65359477124183	2.28758169934641	2.28758169934641	57.1895424836601	0	0	0	0
263	269	"Banks Island 74MS15"	73.53333	-120.21667	205	"AWI"	205	9683	10942	10348	0	0.297619047619048	0	5.05952380952381	0.595238095238095	0	33.3333333333333	0	1.78571428571429	2.67857142857143	1.48809523809524	50.8928571428571	0	0	2.97619047619048	0.892857142857143
263	269	"Banks Island 74MS15"	73.53333	-120.21667	209.5	"AWI"	209.5	9754	11091	10447	0	3.37837837837838	0	1.01351351351351	0	0	25.3378378378378	0	0.337837837837838	5.06756756756757	0	57.4324324324324	2.02702702702703	0	3.37837837837838	2.02702702702703
263	269	"Banks Island 74MS15"	73.53333	-120.21667	215	"AWI"	215	9894	11218	10576	0	0.943396226415094	0	4.08805031446541	0	0	25.4716981132075	0	2.20125786163522	4.08805031446541	0.314465408805031	51.8867924528302	2.83018867924528	0	6.28930817610063	1.88679245283019
263	269	"Banks Island 74MS15"	73.53333	-120.21667	220	"AWI"	220	9979	11384	10697	0	3.44827586206897	0	0.940438871473354	1.56739811912226	2.19435736677116	27.8996865203762	0	0.940438871473354	3.13479623824451	2.19435736677116	49.8432601880878	1.56739811912226	0	2.19435736677116	4.07523510971787
263	269	"Banks Island 74MS15"	73.53333	-120.21667	225	"AWI"	225	10100	11487	10816	0	0.895522388059702	0	3.88059701492537	1.7910447761194	2.08955223880597	28.6567164179104	0	2.08955223880597	3.88059701492537	2.6865671641791	45.3731343283582	1.7910447761194	0	5.07462686567164	1.7910447761194
263	269	"Banks Island 74MS15"	73.53333	-120.21667	230	"AWI"	230	10182	11642	10929	1.29032258064516	4.19354838709677	0	1.29032258064516	2.25806451612903	0	24.5161290322581	4.51612903225806	0.967741935483871	1.29032258064516	0	46.4516129032258	4.51612903225806	0	5.80645161290323	2.90322580645161
263	269	"Banks Island 74MS15"	73.53333	-120.21667	235	"AWI"	235	10326	11740	11048	1.54320987654321	2.16049382716049	0	4.32098765432099	1.54320987654321	0	25.3086419753086	4.01234567901235	1.54320987654321	4.32098765432099	0	44.7530864197531	3.08641975308642	0	5.8641975308642	1.54320987654321
263	269	"Banks Island 74MS15"	73.53333	-120.21667	239.5	"AWI"	239.5	10402.5	11860.5	11151	0	3.85852090032154	0	4.82315112540193	0	0	18.0064308681672	0	1.28617363344051	9.64630225080386	0	45.016077170418	0	12.2186495176849	2.57234726688103	2.57234726688103
263	269	"Banks Island 74MS15"	73.53333	-120.21667	245	"AWI"	245	10558	11965	11270	0	1.61290322580645	0	5.48387096774194	0	0	20	0	2.58064516129032	10.3225806451613	0	44.1935483870968	0	8.06451612903226	5.48387096774194	2.25806451612903
263	269	"Banks Island 74MS15"	73.53333	-120.21667	250	"AWI"	250	10652	12086	11387	0	2.87539936102236	0	4.47284345047923	0	0	31.629392971246	0	0.319488817891374	2.23642172523962	0	51.7571884984025	0	0	2.87539936102236	3.83386581469649
263	269	"Banks Island 74MS15"	73.53333	-120.21667	255	"AWI"	255	10811	12165	11508	0	0.923076923076923	0	5.23076923076923	0	0	30.1538461538462	0	2.15384615384615	5.23076923076923	0	50.7692307692308	0	0	3.07692307692308	2.46153846153846
263	269	"Banks Island 74MS15"	73.53333	-120.21667	260	"AWI"	260	10926	12296	11627	0	2.22222222222222	0	4.76190476190476	0	0	22.8571428571429	0	0.952380952380952	0.952380952380952	0	65.7142857142857	0	0	0.952380952380952	1.58730158730159
263	269	"Banks Island 74MS15"	73.53333	-120.21667	265	"AWI"	265	11088	12370	11734	0	0	0	5.29411764705882	0	0	24.1176470588235	0	2.64705882352941	2.64705882352941	0	63.8235294117647	0	0	0.882352941176471	0.588235294117647
263	269	"Banks Island 74MS15"	73.53333	-120.21667	270	"AWI"	270	11196	12473	11852	0	0	0	1.68918918918919	0	0	28.7162162162162	0	2.02702702702703	1.68918918918919	1.68918918918919	62.5	0	0	1.68918918918919	0
263	269	"Banks Island 74MS15"	73.53333	-120.21667	275	"AWI"	275	11363	12559	11975	0	0.578034682080925	0	4.33526011560694	0	0	25.7225433526012	0	2.60115606936416	7.22543352601156	2.60115606936416	54.3352601156069	0	0	2.60115606936416	0
263	269	"Banks Island 74MS15"	73.53333	-120.21667	280	"AWI"	280	11485	12707	12102	0	1.63398692810458	0	0.65359477124183	3.59477124183007	1.30718954248366	21.2418300653595	0	1.30718954248366	4.57516339869281	0	60.1307189542484	0	0	2.61437908496732	2.94117647058824
263	269	"Banks Island 74MS15"	73.53333	-120.21667	285	"AWI"	285	11612	13023	12305	0	0.301204819277108	0	3.6144578313253	3.6144578313253	0.903614457831325	20.4819277108434	0	2.71084337349398	7.2289156626506	0	54.5180722891566	0	0	5.42168674698795	1.20481927710843
263	269	"Banks Island 74MS15"	73.53333	-120.21667	290	"AWI"	290	11696	13490	12487	0	3.7542662116041	0	2.73037542662116	2.73037542662116	0	23.2081911262799	0	1.02389078498294	10.2389078498294	1.36518771331058	49.1467576791809	0	0	2.73037542662116	3.07167235494881
263	269	"Banks Island 74MS15"	73.53333	-120.21667	295	"AWI"	295	11833	13743	12668	0.69204152249135	4.49826989619377	0	1.3840830449827	0	1.3840830449827	34.9480968858132	0	1.03806228373702	11.0726643598616	1.3840830449827	38.7543252595156	0	0	3.11418685121107	1.73010380622837
263	269	"Banks Island 74MS15"	73.53333	-120.21667	300	"AWI"	300	11924	14138	12843	0	3.60655737704918	0	2.95081967213115	0	0	55.0819672131148	0.983606557377049	1.63934426229508	9.50819672131147	0.983606557377049	19.672131147541	0	0	2.95081967213115	2.62295081967213
263	269	"Banks Island 74MS15"	73.53333	-120.21667	305	"AWI"	305	12075	14369	13047	0	2.734375	0	4.6875	0	0	46.09375	1.5625	2.34375	8.59375	3.90625	23.4375	0	0	4.6875	1.953125
