"cluster.id" "x" "y"
"23782.6" "clust.12" 14.7375 48.00417
"23784.3" "clust.12" 16.045833 47.92083
"23931.2" "clust.12" 11.129167 46.70417
"23772" "clust.12" 15.745833 48.27083
"23931.3" "clust.12" 11.129167 46.70417
"23784.4" "clust.12" 16.045833 47.92083
"23775" "clust.12" 16.204167 48.1875
"23779.1" "clust.12" 16.195833 48.1625
"23782.7" "clust.12" 14.7375 48.00417
"23784.5" "clust.12" 16.045833 47.92083
"23782.8" "clust.12" 14.7375 48.00417
"23782.9" "clust.12" 14.7375 48.00417
"23931.4" "clust.12" 11.129167 46.70417
"23772.1" "clust.12" 15.745833 48.27083
"23931.5" "clust.12" 11.129167 46.70417
"23779.2" "clust.12" 16.195833 48.1625
"23779.3" "clust.12" 16.195833 48.1625
"23782.10" "clust.12" 14.7375 48.00417
"23782.11" "clust.12" 14.7375 48.00417
"23772.2" "clust.12" 15.745833 48.27083
"23782.12" "clust.12" 14.7375 48.00417
"23772.3" "clust.12" 15.745833 48.27083
"23772.4" "clust.12" 15.745833 48.27083
"23782.13" "clust.12" 14.7375 48.00417
"23777.3" "clust.12" 16.079167 48.17917
"23784.6" "clust.12" 16.045833 47.92083
"23802.1" "clust.12" 16.329167 47.77917
"23782.14" "clust.12" 14.7375 48.00417
"23802.2" "clust.12" 16.329167 47.77917
"23931.6" "clust.12" 11.129167 46.70417
"23784.7" "clust.12" 16.045833 47.92083
"23782.15" "clust.12" 14.7375 48.00417
"23802.3" "clust.12" 16.329167 47.77917
"23777.4" "clust.12" 16.079167 48.17917
"23784.8" "clust.12" 16.045833 47.92083
"23779.4" "clust.12" 16.195833 48.1625
"23777.5" "clust.12" 16.079167 48.17917
"23772.5" "clust.12" 15.745833 48.27083
"23772.6" "clust.12" 15.745833 48.27083
"23931.7" "clust.12" 11.129167 46.70417
"23784.9" "clust.12" 16.045833 47.92083
"23777.6" "clust.12" 16.079167 48.17917
"23784.10" "clust.12" 16.045833 47.92083
"23775.1" "clust.12" 16.204167 48.1875
"23779.5" "clust.12" 16.195833 48.1625
"23772.7" "clust.12" 15.745833 48.27083
"23784.11" "clust.12" 16.045833 47.92083
"23777.7" "clust.12" 16.079167 48.17917
"23772.8" "clust.12" 15.745833 48.27083
"23802.4" "clust.12" 16.329167 47.77917
"23782.16" "clust.12" 14.7375 48.00417
"23777.8" "clust.12" 16.079167 48.17917
"23772.9" "clust.12" 15.745833 48.27083
"23775.2" "clust.12" 16.204167 48.1875
"23802.5" "clust.12" 16.329167 47.77917
"23802.6" "clust.12" 16.329167 47.77917
"23931.8" "clust.12" 11.129167 46.70417
"23779.6" "clust.12" 16.195833 48.1625
"23777.9" "clust.12" 16.079167 48.17917
"23775.3" "clust.12" 16.204167 48.1875
"23772.10" "clust.12" 15.745833 48.27083
